ModelGeography,Year,RAIL+IPT3W+IPT4W+4W+BUS+2W
INDIA,2014,162829539400
INDIA,2015,330099756800
INDIA,2016,157457863500
INDIA,2017,160853287500.00003
INDIA,2018,165394612500
INDIA,2019,163726369499.99997
INDIA,2020,168904976750
INDIA,2021,31588170000
INDIA,2022,71107383000
INDIA,2023,174936926505.88263
INDIA,2024,180185034301.0591
INDIA,2025,187697345511.9829
INDIA,2026,191952880399.42465
INDIA,2027,196042681083.8313
INDIA,2028,200021141559.5844
INDIA,2029,203946451104.02893
INDIA,2030,208019319401.3779
INDIA,2031,212250498395.29974
INDIA,2032,216726502100.51627
INDIA,2033,221636065369.50333
INDIA,2034,227055224175.38666
INDIA,2035,233072567641.96735
INDIA,2036,239790626901.76932
INDIA,2037,247327095197.01254
INDIA,2038,255815648453.42712
INDIA,2039,265406041490.92343
INDIA,2040,276262989858.03827
INDIA,2041,288563077534.5068
