ModelGeography,SubGeography1,SubGeography2,Year,ServiceTechCategory,ServiceTech,TechSplitRatio
INDIA,SR,AP,2021,2W,2W_E,0.00014058793834183865
INDIA,SR,AP,2021,2W,2W_MS,0.9998594120616582
INDIA,SR,AP,2022,2W,2W_E,0.0012962432677869477
INDIA,SR,AP,2022,2W,2W_MS,0.998703756732213
INDIA,SR,AP,2023,2W,2W_E,0.0062262625034970875
INDIA,SR,AP,2023,2W,2W_MS,0.993773737496503
INDIA,SR,AP,2024,2W,2W_E,0.01373675859654204
INDIA,SR,AP,2024,2W,2W_MS,0.9862632414034579
INDIA,SR,AP,2025,2W,2W_E,0.020554224251666656
INDIA,SR,AP,2025,2W,2W_MS,0.9794457757483334
INDIA,SR,AP,2026,2W,2W_E,0.03352042989279331
INDIA,SR,AP,2026,2W,2W_MS,0.9664795701072066
INDIA,SR,AP,2027,2W,2W_E,0.0514138109662245
INDIA,SR,AP,2027,2W,2W_MS,0.9485861890337756
INDIA,SR,AP,2028,2W,2W_E,0.07619153323404115
INDIA,SR,AP,2028,2W,2W_MS,0.9238084667659588
INDIA,SR,AP,2029,2W,2W_E,0.11055637674239104
INDIA,SR,AP,2029,2W,2W_MS,0.8894436232576091
INDIA,SR,AP,2030,2W,2W_E,0.15826697269977866
INDIA,SR,AP,2030,2W,2W_MS,0.8417330273002214
INDIA,SR,AP,2031,2W,2W_E,0.2055020628194369
INDIA,SR,AP,2031,2W,2W_MS,0.7944979371805632
INDIA,SR,AP,2032,2W,2W_E,0.2515406184991345
INDIA,SR,AP,2032,2W,2W_MS,0.7484593815008656
INDIA,SR,AP,2033,2W,2W_E,0.29554480504477937
INDIA,SR,AP,2033,2W,2W_MS,0.7044551949552206
INDIA,SR,AP,2034,2W,2W_E,0.36067160181573876
INDIA,SR,AP,2034,2W,2W_MS,0.6393283981842613
INDIA,SR,AP,2035,2W,2W_E,0.42462359071590466
INDIA,SR,AP,2035,2W,2W_MS,0.5753764092840954
INDIA,SR,AP,2036,2W,2W_E,0.4845513955737318
INDIA,SR,AP,2036,2W,2W_MS,0.5154486044262683
INDIA,SR,AP,2037,2W,2W_E,0.5421215622872084
INDIA,SR,AP,2037,2W,2W_MS,0.4578784377127916
INDIA,SR,AP,2038,2W,2W_E,0.6015702450227862
INDIA,SR,AP,2038,2W,2W_MS,0.3984297549772138
INDIA,SR,AP,2039,2W,2W_E,0.6548846530561498
INDIA,SR,AP,2039,2W,2W_MS,0.34511534694385015
INDIA,SR,AP,2040,2W,2W_E,0.7012878453424216
INDIA,SR,AP,2040,2W,2W_MS,0.29871215465757844
INDIA,SR,AP,2041,2W,2W_E,0.7289484433007456
INDIA,SR,AP,2041,2W,2W_MS,0.27105155669925435
INDIA,NER,AS,2021,2W,2W_E,9.504567474734029e-05
INDIA,NER,AS,2021,2W,2W_MS,0.9999049543252526
INDIA,NER,AS,2022,2W,2W_E,0.00032595103894105274
INDIA,NER,AS,2022,2W,2W_MS,0.9996740489610589
INDIA,NER,AS,2023,2W,2W_E,0.000912141446117409
INDIA,NER,AS,2023,2W,2W_MS,0.9990878585538826
INDIA,NER,AS,2024,2W,2W_E,0.002100537122309731
INDIA,NER,AS,2024,2W,2W_MS,0.9978994628776903
INDIA,NER,AS,2025,2W,2W_E,0.0036508432413591436
INDIA,NER,AS,2025,2W,2W_MS,0.9963491567586409
INDIA,NER,AS,2026,2W,2W_E,0.007138737271640102
INDIA,NER,AS,2026,2W,2W_MS,0.99286126272836
INDIA,NER,AS,2027,2W,2W_E,0.013302680032369828
INDIA,NER,AS,2027,2W,2W_MS,0.9866973199676302
INDIA,NER,AS,2028,2W,2W_E,0.02418069073719725
INDIA,NER,AS,2028,2W,2W_MS,0.9758193092628027
INDIA,NER,AS,2029,2W,2W_E,0.044256467965949724
INDIA,NER,AS,2029,2W,2W_MS,0.9557435320340504
INDIA,NER,AS,2030,2W,2W_E,0.08479743361239286
INDIA,NER,AS,2030,2W,2W_MS,0.9152025663876071
INDIA,NER,AS,2031,2W,2W_E,0.12512027647815246
INDIA,NER,AS,2031,2W,2W_MS,0.8748797235218476
INDIA,NER,AS,2032,2W,2W_E,0.1643814351754823
INDIA,NER,AS,2032,2W,2W_MS,0.8356185648245177
INDIA,NER,AS,2033,2W,2W_E,0.20198893643252597
INDIA,NER,AS,2033,2W,2W_MS,0.7980110635674741
INDIA,NER,AS,2034,2W,2W_E,0.2561952497193483
INDIA,NER,AS,2034,2W,2W_MS,0.7438047502806517
INDIA,NER,AS,2035,2W,2W_E,0.309920409467128
INDIA,NER,AS,2035,2W,2W_MS,0.6900795905328719
INDIA,NER,AS,2036,2W,2W_E,0.3639474528584408
INDIA,NER,AS,2036,2W,2W_MS,0.6360525471415592
INDIA,NER,AS,2037,2W,2W_E,0.41800074716631574
INDIA,NER,AS,2037,2W,2W_MS,0.5819992528336843
INDIA,NER,AS,2038,2W,2W_E,0.47995339162773093
INDIA,NER,AS,2038,2W,2W_MS,0.5200466083722691
