ModelGeography,Year,RAIL+LGV+MGV+HGV+AIR+WATER
INDIA,2014,665810045000
INDIA,2015,681696498000
INDIA,2016,654480608000
INDIA,2017,620174910000
INDIA,2018,692916406999.9999
INDIA,2019,738523061000
INDIA,2020,707665419999.9999
INDIA,2021,720890000000
INDIA,2022,880025000000
INDIA,2023,1563053034769.9895
INDIA,2024,1681058381213.4048
INDIA,2025,1816047027118.1096
INDIA,2026,1981833215697.356
INDIA,2027,2162397476068.5952
INDIA,2028,2338405045395.5894
INDIA,2029,2511923661216.9214
INDIA,2030,2675462722580.519
INDIA,2031,2824258019835.2646
INDIA,2032,2956138136554.5073
INDIA,2033,3070875556617.277
INDIA,2034,3176873988667.399
INDIA,2035,3273741990912.5605
INDIA,2036,3361276329877.8384
INDIA,2037,3442062364211.9077
INDIA,2038,3515674574950.875
INDIA,2039,3581680970132.531
INDIA,2040,3639624491382.2603
INDIA,2041,3689003569350.38
