ModelGeography,Year,WATER+AIR
INDIA,2014,406.83388507060215
INDIA,2015,409.4756005604114
INDIA,2016,377.94456005025256
INDIA,2017,404.6259994546913
INDIA,2018,429.1766057769755
INDIA,2019,464.48060855979844
INDIA,2020,453.95579716199586
INDIA,2021,498.7132410674685
INDIA,2022,328.6635036573839
INDIA,2023,334.721972456664
INDIA,2024,340.8921209641666
INDIA,2025,347.17600784481886
INDIA,2026,353.5757297122615
INDIA,2027,360.0934218283825
INDIA,2028,366.7312588157454
INDIA,2029,373.49145538315025
INDIA,2030,380.3762670645695
INDIA,2031,387.3879909717048
INDIA,2032,394.5289665604167
INDIA,2033,401.8015764112817
INDIA,2034,409.20824702453893
INDIA,2035,416.7514496296895
INDIA,2036,424.4337010100201
INDIA,2037,432.257564342326
INDIA,2038,440.2256500521126
INDIA,2039,448.34061668456184
INDIA,2040,456.6051717915536
INDIA,2041,465.02207283503793
