ModelGeography,Year,RAIL+BUS+IPT4W+AIR
INDIA,2014,992385146000.0001
INDIA,2015,847099312000
INDIA,2016,999447510000
INDIA,2017,1006125787000
INDIA,2018,1030115737000.0001
INDIA,2019,1012574693000
INDIA,2020,915462187000.0001
INDIA,2021,201052098000
INDIA,2022,520623885000
INDIA,2023,638245848377.2998
INDIA,2024,1033174985575.6553
INDIA,2025,1082664067384.7291
INDIA,2026,1133738833440.165
INDIA,2027,1184474241444.8982
INDIA,2028,1234739883687.9958
INDIA,2029,1284410579972.0557
INDIA,2030,1333366167688.726
INDIA,2031,1384068792190.6216
INDIA,2032,1436556722490.0696
INDIA,2033,1490863859607.4565
INDIA,2034,1547018401022.8218
INDIA,2035,1605041220776.0068
INDIA,2036,1664943907803.7869
INDIA,2037,1726726393624.2517
INDIA,2038,1790374086710.0679
INDIA,2039,1855854414376.245
INDIA,2040,1923112653196.658
INDIA,2041,1992066905199.4275
