ModelGeography,SubGeography1,SubGeography2,Year,IPT3W+2W+IPT4W+4W+BUS+RAIL
INDIA,ER,BR,2014,39975
INDIA,ER,BR,2015,39975
INDIA,ER,BR,2016,39975
INDIA,ER,BR,2017,39975
INDIA,ER,BR,2018,39975
INDIA,ER,BR,2019,39975
INDIA,ER,BR,2020,39975
INDIA,ER,BR,2021,39975
INDIA,ER,BR,2022,39975
INDIA,ER,BR,2023,39975
INDIA,ER,BR,2024,39975
INDIA,ER,BR,2025,39975
INDIA,ER,BR,2026,39975
INDIA,ER,BR,2027,39975
INDIA,ER,BR,2028,39975
INDIA,ER,BR,2029,39975
INDIA,ER,BR,2030,39975
INDIA,ER,BR,2031,39312.74829039804
INDIA,ER,BR,2032,38661.467871024244
INDIA,ER,BR,2033,38020.97698438742
INDIA,ER,BR,2034,37391.09688410855
INDIA,ER,BR,2035,36771.65178503679
INDIA,ER,BR,2036,36162.468814191794
INDIA,ER,BR,2037,35563.37796251885
INDIA,ER,BR,2038,34974.212037443205
INDIA,ER,BR,2039,34394.80661621047
INDIA,ER,BR,2040,33825.00000000001
INDIA,ER,BR,2041,33264.63316879835
INDIA,ER,JH,2014,39975
INDIA,ER,JH,2015,39975
INDIA,ER,JH,2016,39975
INDIA,ER,JH,2017,39975
INDIA,ER,JH,2018,39975
INDIA,ER,JH,2019,39975
INDIA,ER,JH,2020,39975
INDIA,ER,JH,2021,39975
INDIA,ER,JH,2022,39975
INDIA,ER,JH,2023,39975
INDIA,ER,JH,2024,39975
INDIA,ER,JH,2025,39975
INDIA,ER,JH,2026,39975
INDIA,ER,JH,2027,39975
INDIA,ER,JH,2028,39975
INDIA,ER,JH,2029,39975
INDIA,ER,JH,2030,39975
INDIA,ER,JH,2031,39312.74829039804
INDIA,ER,JH,2032,38661.467871024244
INDIA,ER,JH,2033,38020.97698438742
INDIA,ER,JH,2034,37391.09688410855
INDIA,ER,JH,2035,36771.65178503679
INDIA,ER,JH,2036,36162.468814191794
INDIA,ER,JH,2037,35563.37796251885
