ModelGeography,SubGeography1,SubGeography2,Year,ServiceTechCategory,ServiceTech,TechSplitRatio
INDIA,SR,AP,2021,2W,2W_E,0.00014058793834183865
INDIA,SR,AP,2021,2W,2W_MS,0.9998594120616582
INDIA,SR,AP,2022,2W,2W_E,0.0012962432677869477
INDIA,SR,AP,2022,2W,2W_MS,0.998703756732213
INDIA,SR,AP,2023,2W,2W_E,0.0062262625034970875
INDIA,SR,AP,2023,2W,2W_MS,0.993773737496503
INDIA,SR,AP,2024,2W,2W_E,0.01373675859654204
INDIA,SR,AP,2024,2W,2W_MS,0.9862632414034579
INDIA,SR,AP,2025,2W,2W_E,0.02335730162356072
INDIA,SR,AP,2025,2W,2W_MS,0.9766426983764392
INDIA,SR,AP,2026,2W,2W_E,0.036677817425073235
INDIA,SR,AP,2026,2W,2W_MS,0.9633221825749269
INDIA,SR,AP,2027,2W,2W_E,0.05523047876407903
INDIA,SR,AP,2027,2W,2W_MS,0.944769521235921
INDIA,SR,AP,2028,2W,2W_E,0.08117632720348743
INDIA,SR,AP,2028,2W,2W_MS,0.9188236727965126
INDIA,SR,AP,2029,2W,2W_E,0.11756211419507746
INDIA,SR,AP,2029,2W,2W_MS,0.8824378858049226
INDIA,SR,AP,2030,2W,2W_E,0.16872489692171083
INDIA,SR,AP,2030,2W,2W_MS,0.8312751030782892
INDIA,SR,AP,2031,2W,2W_E,0.21984494705091498
INDIA,SR,AP,2031,2W,2W_MS,0.7801550529490852
INDIA,SR,AP,2032,2W,2W_E,0.27022865685364034
INDIA,SR,AP,2032,2W,2W_MS,0.7297713431463597
INDIA,SR,AP,2033,2W,2W_E,0.3190400715934877
INDIA,SR,AP,2033,2W,2W_MS,0.6809599284065122
INDIA,SR,AP,2034,2W,2W_E,0.3873372114932213
INDIA,SR,AP,2034,2W,2W_MS,0.6126627885067788
INDIA,SR,AP,2035,2W,2W_E,0.4540729512001599
INDIA,SR,AP,2035,2W,2W_MS,0.5459270487998401
INDIA,SR,AP,2036,2W,2W_E,0.5166947471976173
INDIA,SR,AP,2036,2W,2W_MS,0.4833052528023827
INDIA,SR,AP,2037,2W,2W_E,0.5765008247840941
INDIA,SR,AP,2037,2W,2W_MS,0.42349917521590585
INDIA,SR,AP,2038,2W,2W_E,0.6373884054906895
INDIA,SR,AP,2038,2W,2W_MS,0.3626115945093105
INDIA,SR,AP,2039,2W,2W_E,0.6917255140462286
INDIA,SR,AP,2039,2W,2W_MS,0.30827448595377127
INDIA,SR,AP,2040,2W,2W_E,0.738971002942766
INDIA,SR,AP,2040,2W,2W_MS,0.2610289970572339
INDIA,SR,AP,2041,2W,2W_E,0.7702728349867338
INDIA,SR,AP,2041,2W,2W_MS,0.2297271650132661
INDIA,NER,AS,2021,2W,2W_E,9.504567474734029e-05
INDIA,NER,AS,2021,2W,2W_MS,0.9999049543252526
INDIA,NER,AS,2022,2W,2W_E,0.00032595103894105274
INDIA,NER,AS,2022,2W,2W_MS,0.9996740489610589
INDIA,NER,AS,2023,2W,2W_E,0.000912141446117409
INDIA,NER,AS,2023,2W,2W_MS,0.9990878585538826
INDIA,NER,AS,2024,2W,2W_E,0.002100537122309731
INDIA,NER,AS,2024,2W,2W_MS,0.9978994628776903
INDIA,NER,AS,2025,2W,2W_E,0.004101708807453777
INDIA,NER,AS,2025,2W,2W_MS,0.9958982911925461
INDIA,NER,AS,2026,2W,2W_E,0.00769116853993088
INDIA,NER,AS,2026,2W,2W_MS,0.9923088314600691
INDIA,NER,AS,2027,2W,2W_E,0.014150965368901772
INDIA,NER,AS,2027,2W,2W_MS,0.9858490346310982
INDIA,NER,AS,2028,2W,2W_E,0.02579173260926466
INDIA,NER,AS,2028,2W,2W_MS,0.9742082673907354
INDIA,NER,AS,2029,2W,2W_E,0.047754945905079615
INDIA,NER,AS,2029,2W,2W_MS,0.9522450540949204
INDIA,NER,AS,2030,2W,2W_E,0.09286437188330984
INDIA,NER,AS,2030,2W,2W_MS,0.9071356281166901
INDIA,NER,AS,2031,2W,2W_E,0.1383596696553679
INDIA,NER,AS,2031,2W,2W_MS,0.8616403303446322
INDIA,NER,AS,2032,2W,2W_E,0.1834093546571573
INDIA,NER,AS,2032,2W,2W_MS,0.8165906453428428
INDIA,NER,AS,2033,2W,2W_E,0.2274498636947959
INDIA,NER,AS,2033,2W,2W_MS,0.7725501363052041
INDIA,NER,AS,2034,2W,2W_E,0.28711297339787056
INDIA,NER,AS,2034,2W,2W_MS,0.7128870266021293
INDIA,NER,AS,2035,2W,2W_E,0.3463422340718974
INDIA,NER,AS,2035,2W,2W_MS,0.6536577659281025
INDIA,NER,AS,2036,2W,2W_E,0.40571858956244017
INDIA,NER,AS,2036,2W,2W_MS,0.5942814104375598
INDIA,NER,AS,2037,2W,2W_E,0.46479170968600886
INDIA,NER,AS,2037,2W,2W_MS,0.5352082903139912
INDIA,NER,AS,2038,2W,2W_E,0.5304965802440307
INDIA,NER,AS,2038,2W,2W_MS,0.4695034197559694
