ModelGeography,Year,WATER+RAIL+LGV+MGV+HGV+AIR
INDIA,2014,265.9078
INDIA,2015,291.9064
INDIA,2016,311.66999999999996
INDIA,2017,352.4438
INDIA,2018,300.8688
INDIA,2019,334.7578
INDIA,2020,332.37800000000004
INDIA,2021,308.324
INDIA,2022,374.51800000000003
INDIA,2023,388.70747681320336
INDIA,2024,403.43455462884833
INDIA,2025,418.7196016988184
INDIA,2026,434.5837579731206
INDIA,2027,451.04896433744585
INDIA,2028,468.13799295846155
INDIA,2029,485.87447877880567
INDIA,2030,504.2829522053409
INDIA,2031,523.3888730358789
INDIA,2032,543.2186656712962
INDIA,2033,563.7997556617429
INDIA,2034,585.1606076374877
INDIA,2035,607.3307646768612
INDIA,2036,630.340889165744
INDIA,2037,654.22280520511
INDIA,2038,679.0095426252788
INDIA,2039,704.7353826677472
INDIA,2040,731.4359053977842
INDIA,2041,759.1480389133595
