ModelGeography,Year,AIR+BUS+RAIL+IPT4W
INDIA,2014,59140000000
INDIA,2015,67019999999.99999
INDIA,2016,80960000000
INDIA,2017,98640000000
INDIA,2018,117040000000
INDIA,2019,134880000000
INDIA,2020,136947725563
INDIA,2021,53203026096.99999
INDIA,2022,82185330981.59999
INDIA,2023,131507898381.77414
INDIA,2024,155083318238.35748
INDIA,2025,175551498918.1609
INDIA,2026,195387055904.71768
INDIA,2027,212935155197.90762
INDIA,2028,228092610236.0294
INDIA,2029,240906893551.7835
INDIA,2030,252932587279.56
INDIA,2031,264107768367.63177
INDIA,2032,274382398171.23257
INDIA,2033,283715660562.3171
INDIA,2034,293161158784.4935
INDIA,2035,302673898298.9614
INDIA,2036,312197321432.178
INDIA,2037,321660902909.30566
INDIA,2038,330977262347.613
INDIA,2039,340038697296.6707
INDIA,2040,348713021192.3816
INDIA,2041,356838567541.5664
