ModelGeography,SubGeography1,SubGeography2,Year,ServiceTechCategory,ServiceTech,TechSplitRatio
INDIA,SR,AP,2021,2W,2W_E,0.00014058793834183865
INDIA,SR,AP,2021,2W,2W_MS,0.9998594120616582
INDIA,SR,AP,2022,2W,2W_E,0.0012962432677869477
INDIA,SR,AP,2022,2W,2W_MS,0.998703756732213
INDIA,SR,AP,2023,2W,2W_E,0.0062262625034970875
INDIA,SR,AP,2023,2W,2W_MS,0.993773737496503
INDIA,SR,AP,2024,2W,2W_E,0.01373675859654204
INDIA,SR,AP,2024,2W,2W_MS,0.9862632414034579
INDIA,SR,AP,2025,2W,2W_E,0.021393879705750997
INDIA,SR,AP,2025,2W,2W_MS,0.978606120294249
INDIA,SR,AP,2026,2W,2W_E,0.0335672468575871
INDIA,SR,AP,2026,2W,2W_MS,0.9664327531424128
INDIA,SR,AP,2027,2W,2W_E,0.04982340314078059
INDIA,SR,AP,2027,2W,2W_MS,0.9501765968592194
INDIA,SR,AP,2028,2W,2W_E,0.07161946386713115
INDIA,SR,AP,2028,2W,2W_MS,0.9283805361328689
INDIA,SR,AP,2029,2W,2W_E,0.10091110483456636
INDIA,SR,AP,2029,2W,2W_MS,0.8990888951654337
INDIA,SR,AP,2030,2W,2W_E,0.14036351793163032
INDIA,SR,AP,2030,2W,2W_MS,0.8596364820683696
INDIA,SR,AP,2031,2W,2W_E,0.18105284412900025
INDIA,SR,AP,2031,2W,2W_MS,0.8189471558709998
INDIA,SR,AP,2032,2W,2W_E,0.22240255280152949
INDIA,SR,AP,2032,2W,2W_MS,0.7775974471984705
INDIA,SR,AP,2033,2W,2W_E,0.26354000093979324
INDIA,SR,AP,2033,2W,2W_MS,0.7364599990602068
INDIA,SR,AP,2034,2W,2W_E,0.324955230599969
INDIA,SR,AP,2034,2W,2W_MS,0.6750447694000309
INDIA,SR,AP,2035,2W,2W_E,0.3870789737088239
INDIA,SR,AP,2035,2W,2W_MS,0.6129210262911761
INDIA,SR,AP,2036,2W,2W_E,0.44656298353738527
INDIA,SR,AP,2036,2W,2W_MS,0.5534370164626147
INDIA,SR,AP,2037,2W,2W_E,0.5044484051350515
INDIA,SR,AP,2037,2W,2W_MS,0.49555159486494843
INDIA,SR,AP,2038,2W,2W_E,0.5627816587069122
INDIA,SR,AP,2038,2W,2W_MS,0.43721834129308773
INDIA,SR,AP,2039,2W,2W_E,0.6157561475266848
INDIA,SR,AP,2039,2W,2W_MS,0.3842438524733152
INDIA,SR,AP,2040,2W,2W_E,0.6643616203430283
INDIA,SR,AP,2040,2W,2W_MS,0.33563837965697185
INDIA,SR,AP,2041,2W,2W_E,0.6951827092113363
INDIA,SR,AP,2041,2W,2W_MS,0.3048172907886637
INDIA,NER,AS,2021,2W,2W_E,9.504567474734029e-05
INDIA,NER,AS,2021,2W,2W_MS,0.9999049543252526
INDIA,NER,AS,2022,2W,2W_E,0.00032595103894105274
INDIA,NER,AS,2022,2W,2W_MS,0.9996740489610589
INDIA,NER,AS,2023,2W,2W_E,0.000912141446117409
INDIA,NER,AS,2023,2W,2W_MS,0.9990878585538826
INDIA,NER,AS,2024,2W,2W_E,0.002100537122309731
INDIA,NER,AS,2024,2W,2W_MS,0.9978994628776903
INDIA,NER,AS,2025,2W,2W_E,0.0037679176727096566
INDIA,NER,AS,2025,2W,2W_MS,0.9962320823272903
INDIA,NER,AS,2026,2W,2W_E,0.007046091790770003
INDIA,NER,AS,2026,2W,2W_MS,0.99295390820923
INDIA,NER,AS,2027,2W,2W_E,0.012682365320509724
INDIA,NER,AS,2027,2W,2W_MS,0.9873176346794903
INDIA,NER,AS,2028,2W,2W_E,0.022375816767003696
INDIA,NER,AS,2028,2W,2W_MS,0.9776241832329964
INDIA,NER,AS,2029,2W,2W_E,0.039820471006678966
INDIA,NER,AS,2029,2W,2W_MS,0.960179528993321
INDIA,NER,AS,2030,2W,2W_E,0.0741088204500154
INDIA,NER,AS,2030,2W,2W_MS,0.9258911795499846
INDIA,NER,AS,2031,2W,2W_E,0.10964346929462511
INDIA,NER,AS,2031,2W,2W_MS,0.8903565307053749
INDIA,NER,AS,2032,2W,2W_E,0.1459944340795551
INDIA,NER,AS,2032,2W,2W_MS,0.8540055659204449
INDIA,NER,AS,2033,2W,2W_E,0.18255582418994332
INDIA,NER,AS,2033,2W,2W_MS,0.8174441758100567
INDIA,NER,AS,2034,2W,2W_E,0.23543151039244048
INDIA,NER,AS,2034,2W,2W_MS,0.7645684896075595
INDIA,NER,AS,2035,2W,2W_E,0.28915042912222
INDIA,NER,AS,2035,2W,2W_MS,0.71084957087778
INDIA,NER,AS,2036,2W,2W_E,0.3440058066923178
INDIA,NER,AS,2036,2W,2W_MS,0.6559941933076823
INDIA,NER,AS,2037,2W,2W_E,0.39941482423191405
INDIA,NER,AS,2037,2W,2W_MS,0.600585175768086
INDIA,NER,AS,2038,2W,2W_E,0.4608988465578317
INDIA,NER,AS,2038,2W,2W_MS,0.5391011534421682
