Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,BR,9.596835547400868,585.406968391453
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,JH,9.617613353285181,586.674414550396
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,OD,22.90298540997201,1397.0821100082926
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,WB,18.867601688107353,1150.9237029745486
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,CG,16.33808407813296,996.6231287661107
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GJ,38.64077449176333,2357.0872439975633
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MP,30.857812213796077,1882.3265450415606
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MH,53.26796583217591,3249.3459157627303
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GA,1.4539365534096813,88.69012975799056
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,UT,4.157741898613278,253.62225581540994
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,DL,8.817853059460464,537.8890366270883
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HR,17.8810165492234,1090.7420095026273
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HP,2.608421203712333,159.11369342645233
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,JK,2.229689473937369,136.01105791017952
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,PB,20.549172610970732,1253.4995292692147
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,RJ,30.10444201156327,1836.3709627053593
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UP,44.31177292355975,2703.018148337145
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UK,3.9225455492706987,239.27527850551263
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,AP,26.28088007355692,1603.133684486972
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KA,30.98765553041833,1890.246987355518
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KL,6.450592312833459,393.486131082841
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TN,36.130805353494594,2203.97912656317
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TS,28.843255319950526,1759.438574516982
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,AS,2.25936346539913,137.82117138934692
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,NE,1.3709955283982036,83.63072723229043
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,BR,11.56597579818325,705.5245236891782
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,JH,11.443507203120111,698.0539393903268
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,OD,27.25629141134979,1662.633776092337
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,WB,20.701476516286945,1262.7900674935036
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,CG,19.20314817196221,1171.3920384896946
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GJ,45.680187453998876,2786.4914346939313
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MP,34.93982964584819,2131.32960839674
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MH,60.62373807427289,3698.0480225306464
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GA,1.65584092441503,101.00629638931683
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,UT,5.2144165121684765,318.07940724227706
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,DL,12.18511932505195,743.292278828169
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HR,21.481766233408752,1310.387740237934
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HP,3.2962690572392113,201.07241249159188
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,JK,2.911684095418322,177.61272982051764
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,PB,24.987341044430305,1524.2278037102487
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,RJ,34.471703512235585,2102.7739142463706
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,UP,51.527751594183655,3143.1928472452028
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,UK,5.214409368292515,318.0789714658434
