DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,4816483.816674475,AVERAGE
D_RES,2022,INDIA,ER,BR,RURAL,Q1,4953965.913149539,AVERAGE
D_RES,2023,INDIA,ER,BR,RURAL,Q1,5071185.249976912,AVERAGE
D_RES,2024,INDIA,ER,BR,RURAL,Q1,5188492.866953834,AVERAGE
D_RES,2025,INDIA,ER,BR,RURAL,Q1,5305828.5055326875,AVERAGE
D_RES,2026,INDIA,ER,BR,RURAL,Q1,5423657.035630989,AVERAGE
D_RES,2027,INDIA,ER,BR,RURAL,Q1,5541825.517207876,AVERAGE
D_RES,2028,INDIA,ER,BR,RURAL,Q1,5661043.901868852,AVERAGE
D_RES,2029,INDIA,ER,BR,RURAL,Q1,5781307.677216903,AVERAGE
D_RES,2030,INDIA,ER,BR,RURAL,Q1,5902613.532200979,AVERAGE
D_RES,2031,INDIA,ER,BR,RURAL,Q1,6024959.022799495,AVERAGE
D_RES,2021,INDIA,ER,JH,RURAL,Q1,1186516.2784022049,AVERAGE
D_RES,2022,INDIA,ER,JH,RURAL,Q1,1239272.8146242406,AVERAGE
D_RES,2023,INDIA,ER,JH,RURAL,Q1,1281807.102855122,AVERAGE
D_RES,2024,INDIA,ER,JH,RURAL,Q1,1324211.8054840409,AVERAGE
D_RES,2025,INDIA,ER,JH,RURAL,Q1,1366409.7378844854,AVERAGE
D_RES,2026,INDIA,ER,JH,RURAL,Q1,1408595.8254857184,AVERAGE
D_RES,2027,INDIA,ER,JH,RURAL,Q1,1450650.0636172409,AVERAGE
D_RES,2028,INDIA,ER,JH,RURAL,Q1,1492900.8766438337,AVERAGE
D_RES,2029,INDIA,ER,JH,RURAL,Q1,1535308.5543248493,AVERAGE
D_RES,2030,INDIA,ER,JH,RURAL,Q1,1577833.4308171435,AVERAGE
D_RES,2031,INDIA,ER,JH,RURAL,Q1,1620435.4670737314,AVERAGE
D_RES,2021,INDIA,ER,OD,RURAL,Q1,2494250.5100106844,AVERAGE
D_RES,2022,INDIA,ER,OD,RURAL,Q1,2603650.5244960957,AVERAGE
D_RES,2023,INDIA,ER,OD,RURAL,Q1,2697983.3438739274,AVERAGE
D_RES,2024,INDIA,ER,OD,RURAL,Q1,2792201.6379958577,AVERAGE
D_RES,2025,INDIA,ER,OD,RURAL,Q1,2886255.7597608976,AVERAGE
D_RES,2026,INDIA,ER,OD,RURAL,Q1,2980462.195645838,AVERAGE
D_RES,2027,INDIA,ER,OD,RURAL,Q1,3074709.634848789,AVERAGE
D_RES,2028,INDIA,ER,OD,RURAL,Q1,3169461.617397369,AVERAGE
D_RES,2029,INDIA,ER,OD,RURAL,Q1,3264692.5366771794,AVERAGE
D_RES,2030,INDIA,ER,OD,RURAL,Q1,3360380.6622313373,AVERAGE
D_RES,2031,INDIA,ER,OD,RURAL,Q1,3456507.992625588,AVERAGE
D_RES,2021,INDIA,ER,WB,RURAL,Q1,3914247.9655715,AVERAGE
D_RES,2022,INDIA,ER,WB,RURAL,Q1,4030804.907355222,AVERAGE
D_RES,2023,INDIA,ER,WB,RURAL,Q1,4120349.753491929,AVERAGE
D_RES,2024,INDIA,ER,WB,RURAL,Q1,4207111.051976268,AVERAGE
D_RES,2025,INDIA,ER,WB,RURAL,Q1,4290845.29376606,AVERAGE
D_RES,2026,INDIA,ER,WB,RURAL,Q1,4371916.462010343,AVERAGE
D_RES,2027,INDIA,ER,WB,RURAL,Q1,4449953.664568446,AVERAGE
