Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,BR,ALL,1.3949268487703652,85.09053777499228
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,JH,ALL,0.4629770421427614,28.241599570708445
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,OD,ALL,1.0060045464467713,61.36627733325305
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,WB,ALL,3.4786575480207125,212.19811042926347
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,CG,ALL,0.6460674698298119,39.410115659618526
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GJ,ALL,2.713544747303666,165.52622958552362
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MP,ALL,3.422258293017204,208.75775587404945
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MH,ALL,7.847247402349288,478.68209154330657
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GA,ALL,0.2002166053430422,12.213212925925575
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,UT,ALL,0.3177734788860828,19.38418221205105
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,DL,ALL,3.240044839444832,197.64273520613474
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HR,ALL,2.3453719609990005,143.06768962093903
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HP,ALL,0.5186126602310961,31.635372274096863
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,JK,ALL,1.1249019085085978,68.61901641902446
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,PB,ALL,2.479674440733388,151.26014088473667
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,RJ,ALL,2.6090388903187383,159.15137230944305
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UP,ALL,4.407630179154407,268.8654409284188
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UK,ALL,0.6296917950087375,38.41119949553299
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,AP,ALL,2.778318000586237,169.47739803576044
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KA,ALL,4.115814848560957,251.06470576221838
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KL,ALL,1.7644086708281437,107.62892892051677
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TN,ALL,5.225449639398606,318.752428003315
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TS,ALL,2.7578977695935536,168.23176394520678
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,AS,ALL,0.6325485420863145,38.585461067265186
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,NE,ALL,0.4516593330237848,27.551219314450872
