Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,0.3891830282072929
2021,INDIA,ER,BR,RURAL,Q2,0.3642021030693787
2021,INDIA,ER,BR,RURAL,Q3,0.3424485561605773
2021,INDIA,ER,BR,RURAL,Q4,0.3833650441183497
2021,INDIA,ER,BR,RURAL,Q5,0.4191656097738349
2021,INDIA,ER,BR,URBAN,Q1,0.0179341093393263
2021,INDIA,ER,BR,URBAN,Q2,0.0209463988163967
2021,INDIA,ER,BR,URBAN,Q3,0.0207867562300549
2021,INDIA,ER,BR,URBAN,Q4,0.0191907440090719
2021,INDIA,ER,BR,URBAN,Q5,0.0126569416440762
2021,INDIA,ER,JH,RURAL,Q1,0.0052795274782369
2021,INDIA,ER,JH,RURAL,Q2,0.0076790653082343
2021,INDIA,ER,JH,RURAL,Q3,0.0075208112544253
2021,INDIA,ER,JH,RURAL,Q4,0.0100138999925078
2021,INDIA,ER,JH,RURAL,Q5,0.0107194731692343
2021,INDIA,ER,JH,URBAN,Q1,0.0036465153215654
2021,INDIA,ER,JH,URBAN,Q2,0.0038402863705658
2021,INDIA,ER,JH,URBAN,Q3,0.0045255898041181
2021,INDIA,ER,JH,URBAN,Q4,0.0041039174904086
2021,INDIA,ER,JH,URBAN,Q5,0.0029259524878968
2021,INDIA,ER,OD,RURAL,Q1,0.0057133899697258
2021,INDIA,ER,OD,RURAL,Q2,0.0072144996636721
2021,INDIA,ER,OD,RURAL,Q3,0.0093378152276345
2021,INDIA,ER,OD,RURAL,Q4,0.0097018635260609
2021,INDIA,ER,OD,RURAL,Q5,0.0150927511680816
2021,INDIA,ER,OD,URBAN,Q1,0.003345829072565
2021,INDIA,ER,OD,URBAN,Q2,0.0056589653973369
2021,INDIA,ER,OD,URBAN,Q3,0.0062697996805135
2021,INDIA,ER,OD,URBAN,Q4,0.0054845282160744
2021,INDIA,ER,OD,URBAN,Q5,0.0052731426891624
2021,INDIA,ER,WB,RURAL,Q1,0.0179262808028991
2021,INDIA,ER,WB,RURAL,Q2,0.0231607280641953
2021,INDIA,ER,WB,RURAL,Q3,0.0211566428713001
2021,INDIA,ER,WB,RURAL,Q4,0.0354731247580125
2021,INDIA,ER,WB,RURAL,Q5,0.0480416629602393
2021,INDIA,ER,WB,URBAN,Q1,0.0422907806843512
2021,INDIA,ER,WB,URBAN,Q2,0.0460692778814211
2021,INDIA,ER,WB,URBAN,Q3,0.0424064168859461
2021,INDIA,ER,WB,URBAN,Q4,0.0447055592057002
2021,INDIA,ER,WB,URBAN,Q5,0.0416495176396875
2021,INDIA,WR,CG,RURAL,Q1,0.0110082830724755
2021,INDIA,WR,CG,RURAL,Q2,0.0129470504441143
2021,INDIA,WR,CG,RURAL,Q3,0.009500418457017
2021,INDIA,WR,CG,RURAL,Q4,0.018479069392137
2021,INDIA,WR,CG,RURAL,Q5,0.0210092778125283
2021,INDIA,WR,CG,URBAN,Q1,0.0013834613721432
2021,INDIA,WR,CG,URBAN,Q2,0.0021933752323525
2021,INDIA,WR,CG,URBAN,Q3,0.0021797585210247
2021,INDIA,WR,CG,URBAN,Q4,0.0022851585853514
2021,INDIA,WR,CG,URBAN,Q5,0.0021452636661966
2021,INDIA,WR,GJ,RURAL,Q1,0.1314982523544387
2021,INDIA,WR,GJ,RURAL,Q2,0.141507013086079
2021,INDIA,WR,GJ,RURAL,Q3,0.1376047380028481
2021,INDIA,WR,GJ,RURAL,Q4,0.1288436197499061
2021,INDIA,WR,GJ,RURAL,Q5,0.1365480352845438
2021,INDIA,WR,GJ,URBAN,Q1,0.1006881584766693
2021,INDIA,WR,GJ,URBAN,Q2,0.0780701101789104
2021,INDIA,WR,GJ,URBAN,Q3,0.0714485243089189
2021,INDIA,WR,GJ,URBAN,Q4,0.0530059791228644
2021,INDIA,WR,GJ,URBAN,Q5,0.0773151003814714
2021,INDIA,WR,MP,RURAL,Q1,0.122850112677834
2021,INDIA,WR,MP,RURAL,Q2,0.1187273267337336
2021,INDIA,WR,MP,RURAL,Q3,0.1354997079815167
2021,INDIA,WR,MP,RURAL,Q4,0.1336726926705214
2021,INDIA,WR,MP,RURAL,Q5,0.1313588390418409
2021,INDIA,WR,MP,URBAN,Q1,0.010550032899118
2021,INDIA,WR,MP,URBAN,Q2,0.0127156474627409
2021,INDIA,WR,MP,URBAN,Q3,0.012195535398701
2021,INDIA,WR,MP,URBAN,Q4,0.0092375033484209
2021,INDIA,WR,MP,URBAN,Q5,0.0076782388085018
2021,INDIA,WR,MH,RURAL,Q1,0.2786181963486951
2021,INDIA,WR,MH,RURAL,Q2,0.3663442090427701
2021,INDIA,WR,MH,RURAL,Q3,0.3697268400876328
2021,INDIA,WR,MH,RURAL,Q4,0.4363978234044545
2021,INDIA,WR,MH,RURAL,Q5,0.3569798898366896
2021,INDIA,WR,MH,URBAN,Q1,0.0533511593158623
2021,INDIA,WR,MH,URBAN,Q2,0.043728592191979
2021,INDIA,WR,MH,URBAN,Q3,0.0370339506570239
2021,INDIA,WR,MH,URBAN,Q4,0.0313936582645018
2021,INDIA,WR,MH,URBAN,Q5,0.0279912628530194
2021,INDIA,WR,GA,RURAL,Q1,0.0
2021,INDIA,WR,GA,RURAL,Q2,0.0
2021,INDIA,WR,GA,RURAL,Q3,0.0
2021,INDIA,WR,GA,RURAL,Q4,0.0
2021,INDIA,WR,GA,RURAL,Q5,0.0
2021,INDIA,WR,GA,URBAN,Q1,0.0
2021,INDIA,WR,GA,URBAN,Q2,0.0
2021,INDIA,WR,GA,URBAN,Q3,0.0
2021,INDIA,WR,GA,URBAN,Q4,0.0
2021,INDIA,WR,GA,URBAN,Q5,0.0
2021,INDIA,WR,UT,RURAL,Q1,0.0
2021,INDIA,WR,UT,RURAL,Q2,0.0
2021,INDIA,WR,UT,RURAL,Q3,0.0
2021,INDIA,WR,UT,RURAL,Q4,0.0
2021,INDIA,WR,UT,RURAL,Q5,0.0
2021,INDIA,WR,UT,URBAN,Q1,0.0
2021,INDIA,WR,UT,URBAN,Q2,0.0
2021,INDIA,WR,UT,URBAN,Q3,0.0
2021,INDIA,WR,UT,URBAN,Q4,0.0
2021,INDIA,WR,UT,URBAN,Q5,0.0
2021,INDIA,NR,DL,RURAL,Q1,0.0004091222586868
2021,INDIA,NR,DL,RURAL,Q2,0.0002386896420865
2021,INDIA,NR,DL,RURAL,Q3,0.000158198159831
2021,INDIA,NR,DL,RURAL,Q4,0.000231929630932
2021,INDIA,NR,DL,RURAL,Q5,0.0002378043355525
2021,INDIA,NR,DL,URBAN,Q1,0.0
2021,INDIA,NR,DL,URBAN,Q2,0.0
2021,INDIA,NR,DL,URBAN,Q3,0.0
2021,INDIA,NR,DL,URBAN,Q4,0.0
2021,INDIA,NR,DL,URBAN,Q5,0.0
2021,INDIA,NR,HR,RURAL,Q1,0.0060542033482239
2021,INDIA,NR,HR,RURAL,Q2,0.0057710850475093
2021,INDIA,NR,HR,RURAL,Q3,0.0068015538864641
2021,INDIA,NR,HR,RURAL,Q4,0.0069520856942868
2021,INDIA,NR,HR,RURAL,Q5,0.0056999542377611
2021,INDIA,NR,HR,URBAN,Q1,0.0066280432150733
2021,INDIA,NR,HR,URBAN,Q2,0.0065718890837384
