Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,11.238252866825931
2021,INDIA,ER,BR,RURAL,Q2,10.516890685852331
2021,INDIA,ER,BR,RURAL,Q3,9.888723933302414
2021,INDIA,ER,BR,RURAL,Q4,11.070249660897728
2021,INDIA,ER,BR,RURAL,Q5,12.10404523779368
2021,INDIA,ER,BR,URBAN,Q1,3.2924143051415844
2021,INDIA,ER,BR,URBAN,Q2,3.845421879399757
2021,INDIA,ER,BR,URBAN,Q3,3.816113674921361
2021,INDIA,ER,BR,URBAN,Q4,3.523111527365328
2021,INDIA,ER,BR,URBAN,Q5,2.3236109474241946
2021,INDIA,ER,JH,RURAL,Q1,0.8473250717616264
2021,INDIA,ER,JH,RURAL,Q2,1.2324334318462198
2021,INDIA,ER,JH,RURAL,Q3,1.2070351882587602
2021,INDIA,ER,JH,RURAL,Q4,1.6071577090314932
2021,INDIA,ER,JH,RURAL,Q5,1.7203965324095811
2021,INDIA,ER,JH,URBAN,Q1,1.690960860845054
2021,INDIA,ER,JH,URBAN,Q2,1.7808174378260888
2021,INDIA,ER,JH,URBAN,Q3,2.098605875159933
2021,INDIA,ER,JH,URBAN,Q4,1.903067340148516
2021,INDIA,ER,JH,URBAN,Q5,1.356821775978491
2021,INDIA,ER,OD,RURAL,Q1,1.2996161769405443
2021,INDIA,ER,OD,RURAL,Q2,1.6410720807472363
2021,INDIA,ER,OD,RURAL,Q3,2.124059750356594
2021,INDIA,ER,OD,RURAL,Q4,2.206868653549082
2021,INDIA,ER,OD,RURAL,Q5,3.4331274454059173
2021,INDIA,ER,OD,URBAN,Q1,1.1035776310528287
2021,INDIA,ER,OD,URBAN,Q2,1.8665362575443087
2021,INDIA,ER,OD,URBAN,Q3,2.0680111241152845
2021,INDIA,ER,OD,URBAN,Q4,1.809000270332364
2021,INDIA,ER,OD,URBAN,Q5,1.7392770703444835
2021,INDIA,ER,WB,RURAL,Q1,2.128496986271353
2021,INDIA,ER,WB,RURAL,Q2,2.750015099716437
2021,INDIA,ER,WB,RURAL,Q3,2.512057974269545
2021,INDIA,ER,WB,RURAL,Q4,4.211942134744664
2021,INDIA,ER,WB,RURAL,Q5,5.704282154590475
2021,INDIA,ER,WB,URBAN,Q1,7.404175095885894
2021,INDIA,ER,WB,URBAN,Q2,8.065706078556005
2021,INDIA,ER,WB,URBAN,Q3,7.424419881318485
2021,INDIA,ER,WB,URBAN,Q4,7.826948459728578
2021,INDIA,ER,WB,URBAN,Q5,7.291904100164004
2021,INDIA,WR,CG,RURAL,Q1,1.228234639838676
2021,INDIA,WR,CG,RURAL,Q2,1.4445495639595831
2021,INDIA,WR,CG,RURAL,Q3,1.0599963529926908
2021,INDIA,WR,CG,RURAL,Q4,2.0617777468854945
2021,INDIA,WR,CG,RURAL,Q5,2.344082033080727
2021,INDIA,WR,CG,URBAN,Q1,1.0094551093731827
2021,INDIA,WR,CG,URBAN,Q2,1.6004167195028465
2021,INDIA,WR,CG,URBAN,Q3,1.590482089572728
2021,INDIA,WR,CG,URBAN,Q4,1.667387071473073
2021,INDIA,WR,CG,URBAN,Q5,1.5653118916893536
2021,INDIA,WR,GJ,RURAL,Q1,4.73347148846828
2021,INDIA,WR,GJ,RURAL,Q2,5.093751800807559
2021,INDIA,WR,GJ,RURAL,Q3,4.953283553972797
2021,INDIA,WR,GJ,RURAL,Q4,4.63791444800159
2021,INDIA,WR,GJ,RURAL,Q5,4.915245968132468
2021,INDIA,WR,GJ,URBAN,Q1,6.906823321985117
2021,INDIA,WR,GJ,URBAN,Q2,5.355311925722441
2021,INDIA,WR,GJ,URBAN,Q3,4.901096255719087
2021,INDIA,WR,GJ,URBAN,Q4,3.636007996586631
2021,INDIA,WR,GJ,URBAN,Q5,5.303521229515908
2021,INDIA,WR,MP,RURAL,Q1,4.508060090643848
2021,INDIA,WR,MP,RURAL,Q2,4.356772184944958
2021,INDIA,WR,MP,RURAL,Q3,4.972244748331425
2021,INDIA,WR,MP,RURAL,Q4,4.905201608134247
2021,INDIA,WR,MP,RURAL,Q5,4.820293024502323
2021,INDIA,WR,MP,URBAN,Q1,6.023521893122145
2021,INDIA,WR,MP,URBAN,Q2,7.259973466345173
2021,INDIA,WR,MP,URBAN,Q3,6.963016252561936
2021,INDIA,WR,MP,URBAN,Q4,5.274133311897051
