Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,0.3891830282072929
2021,INDIA,ER,BR,RURAL,Q2,0.3642021030693787
2021,INDIA,ER,BR,RURAL,Q3,0.3424485561605773
2021,INDIA,ER,BR,RURAL,Q4,0.3833650441183497
2021,INDIA,ER,BR,RURAL,Q5,0.4191656097738349
2021,INDIA,ER,BR,URBAN,Q1,0.017934109339326373
2021,INDIA,ER,BR,URBAN,Q2,0.020946398816396768
2021,INDIA,ER,BR,URBAN,Q3,0.020786756230054992
2021,INDIA,ER,BR,URBAN,Q4,0.019190744009071906
2021,INDIA,ER,BR,URBAN,Q5,0.012656941644076266
2021,INDIA,ER,JH,RURAL,Q1,0.005279527478236904
2021,INDIA,ER,JH,RURAL,Q2,0.007679065308234306
2021,INDIA,ER,JH,RURAL,Q3,0.007520811254425318
2021,INDIA,ER,JH,RURAL,Q4,0.010013899992507827
2021,INDIA,ER,JH,RURAL,Q5,0.010719473169234361
2021,INDIA,ER,JH,URBAN,Q1,0.0036465153215654387
2021,INDIA,ER,JH,URBAN,Q2,0.0038402863705658424
2021,INDIA,ER,JH,URBAN,Q3,0.004525589804118168
2021,INDIA,ER,JH,URBAN,Q4,0.0041039174904086775
2021,INDIA,ER,JH,URBAN,Q5,0.0029259524878968057
2021,INDIA,ER,OD,RURAL,Q1,0.005713389969725856
2021,INDIA,ER,OD,RURAL,Q2,0.007214499663672189
2021,INDIA,ER,OD,RURAL,Q3,0.009337815227634515
2021,INDIA,ER,OD,RURAL,Q4,0.009701863526060908
2021,INDIA,ER,OD,RURAL,Q5,0.015092751168081649
2021,INDIA,ER,OD,URBAN,Q1,0.0033458290725650436
2021,INDIA,ER,OD,URBAN,Q2,0.005658965397336926
2021,INDIA,ER,OD,URBAN,Q3,0.006269799680513571
2021,INDIA,ER,OD,URBAN,Q4,0.005484528216074411
2021,INDIA,ER,OD,URBAN,Q5,0.005273142689162471
2021,INDIA,ER,WB,RURAL,Q1,0.0179262808028991
2021,INDIA,ER,WB,RURAL,Q2,0.02316072806419535
2021,INDIA,ER,WB,RURAL,Q3,0.02115664287130016
2021,INDIA,ER,WB,RURAL,Q4,0.035473124758012536
2021,INDIA,ER,WB,RURAL,Q5,0.04804166296023931
2021,INDIA,ER,WB,URBAN,Q1,0.042290780684351256
2021,INDIA,ER,WB,URBAN,Q2,0.04606927788142118
2021,INDIA,ER,WB,URBAN,Q3,0.04240641688594617
2021,INDIA,ER,WB,URBAN,Q4,0.04470555920570025
2021,INDIA,ER,WB,URBAN,Q5,0.04164951763968752
2021,INDIA,WR,CG,RURAL,Q1,0.011008283072475582
2021,INDIA,WR,CG,RURAL,Q2,0.012947050444114361
2021,INDIA,WR,CG,RURAL,Q3,0.00950041845701701
2021,INDIA,WR,CG,RURAL,Q4,0.018479069392137004
2021,INDIA,WR,CG,RURAL,Q5,0.021009277812528333
2021,INDIA,WR,CG,URBAN,Q1,0.0013834613721432543
2021,INDIA,WR,CG,URBAN,Q2,0.002193375232352557
2021,INDIA,WR,CG,URBAN,Q3,0.002179758521024719
2021,INDIA,WR,CG,URBAN,Q4,0.0022851585853514156
2021,INDIA,WR,CG,URBAN,Q5,0.0021452636661966583
2021,INDIA,WR,GJ,RURAL,Q1,0.1314982523544387
2021,INDIA,WR,GJ,RURAL,Q2,0.14150701308607902
2021,INDIA,WR,GJ,RURAL,Q3,0.13760473800284817
2021,INDIA,WR,GJ,RURAL,Q4,0.1288436197499061
2021,INDIA,WR,GJ,RURAL,Q5,0.13654803528454384
2021,INDIA,WR,GJ,URBAN,Q1,0.1006881584766693
2021,INDIA,WR,GJ,URBAN,Q2,0.0780701101789104
2021,INDIA,WR,GJ,URBAN,Q3,0.07144852430891892
2021,INDIA,WR,GJ,URBAN,Q4,0.0530059791228644
2021,INDIA,WR,GJ,URBAN,Q5,0.07731510038147144
2021,INDIA,WR,MP,RURAL,Q1,0.12285011267783405
2021,INDIA,WR,MP,RURAL,Q2,0.11872732673373367
2021,INDIA,WR,MP,RURAL,Q3,0.13549970798151675
2021,INDIA,WR,MP,RURAL,Q4,0.13367269267052145
2021,INDIA,WR,MP,RURAL,Q5,0.13135883904184092
2021,INDIA,WR,MP,URBAN,Q1,0.010550032899118019
2021,INDIA,WR,MP,URBAN,Q2,0.012715647462740965
2021,INDIA,WR,MP,URBAN,Q3,0.012195535398701093
2021,INDIA,WR,MP,URBAN,Q4,0.009237503348420922
2021,INDIA,WR,MP,URBAN,Q5,0.007678238808501886
2021,INDIA,WR,MH,RURAL,Q1,0.27861819634869517
2021,INDIA,WR,MH,RURAL,Q2,0.3663442090427701
2021,INDIA,WR,MH,RURAL,Q3,0.36972684008763285
2021,INDIA,WR,MH,RURAL,Q4,0.4363978234044545
2021,INDIA,WR,MH,RURAL,Q5,0.3569798898366896
2021,INDIA,WR,MH,URBAN,Q1,0.05335115931586236
2021,INDIA,WR,MH,URBAN,Q2,0.043728592191979096
2021,INDIA,WR,MH,URBAN,Q3,0.03703395065702399
2021,INDIA,WR,MH,URBAN,Q4,0.03139365826450183
2021,INDIA,WR,MH,URBAN,Q5,0.027991262853019457
2021,INDIA,WR,GA,RURAL,Q1,0.0
2021,INDIA,WR,GA,RURAL,Q2,0.0
2021,INDIA,WR,GA,RURAL,Q3,0.0
2021,INDIA,WR,GA,RURAL,Q4,0.0
2021,INDIA,WR,GA,RURAL,Q5,0.0
2021,INDIA,WR,GA,URBAN,Q1,0.0
2021,INDIA,WR,GA,URBAN,Q2,0.0
2021,INDIA,WR,GA,URBAN,Q3,0.0
2021,INDIA,WR,GA,URBAN,Q4,0.0
2021,INDIA,WR,GA,URBAN,Q5,0.0
2021,INDIA,WR,UT,RURAL,Q1,0.0
2021,INDIA,WR,UT,RURAL,Q2,0.0
2021,INDIA,WR,UT,RURAL,Q3,0.0
2021,INDIA,WR,UT,RURAL,Q4,0.0
2021,INDIA,WR,UT,RURAL,Q5,0.0
2021,INDIA,WR,UT,URBAN,Q1,0.0
2021,INDIA,WR,UT,URBAN,Q2,0.0
2021,INDIA,WR,UT,URBAN,Q3,0.0
2021,INDIA,WR,UT,URBAN,Q4,0.0
2021,INDIA,WR,UT,URBAN,Q5,0.0
2021,INDIA,NR,DL,RURAL,Q1,0.00040912225868686597
2021,INDIA,NR,DL,RURAL,Q2,0.00023868964208651887
2021,INDIA,NR,DL,RURAL,Q3,0.00015819815983102975
2021,INDIA,NR,DL,RURAL,Q4,0.000231929630932004
2021,INDIA,NR,DL,RURAL,Q5,0.00023780433555256836
2021,INDIA,NR,DL,URBAN,Q1,0.0
2021,INDIA,NR,DL,URBAN,Q2,0.0
2021,INDIA,NR,DL,URBAN,Q3,0.0
2021,INDIA,NR,DL,URBAN,Q4,0.0
2021,INDIA,NR,DL,URBAN,Q5,0.0
2021,INDIA,NR,HR,RURAL,Q1,0.0060542033482239525
2021,INDIA,NR,HR,RURAL,Q2,0.005771085047509304
2021,INDIA,NR,HR,RURAL,Q3,0.006801553886464106
2021,INDIA,NR,HR,RURAL,Q4,0.006952085694286835
2021,INDIA,NR,HR,RURAL,Q5,0.0056999542377611885
2021,INDIA,NR,HR,URBAN,Q1,0.006628043215073395
