EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy,TotalEnergyDemand
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,58.13099834031614,3545.9908987592844
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,140.15593316469958,8549.511923046673
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,124.35680168847563,7585.764902997013
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,123.61219194014288,7540.343708348715
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,3.258811152026305,198.78748027360461
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,70.04692030874264,4272.862138833301
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,165.89643498025254,10119.682533795405
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,152.19549495655338,9283.925192349756
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,147.22207012376333,8980.546277549563
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,4.726685802301975,288.3278339404205
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,ER,71.6087186480365,4368.131837530226
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,WR,163.07060303083168,9947.306784880733
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NR,159.48275301605867,9728.447933979578
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,SR,143.83769979592853,8774.09968755164
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NER,5.921667364987611,361.2217092642443
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,70.29211419327092,4287.818965789526
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,153.15522813999004,9342.468916539392
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,150.6435744197875,9189.258039607039
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,132.00484294289612,8052.295419516663
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,5.232378919972961,319.1751141183506
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,111.64669052564673,6810.448122064451
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,205.6733847923941,12546.07647233604
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,242.97741807776117,14821.622502743432
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,184.53644573641643,11256.723189921402
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,9.737288878281808,593.9746215751902
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,134.49983403909513,8204.489876384803
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,314.7306348312212,19198.568724704495
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,298.12769308100536,18185.789277941327
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,274.7319362220468,16758.648109544854
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,7.961755145475232,485.66706387398915
