Year,ModelGeography,SubGeography1,EnergyDemand
2021,INDIA,ER,1635.9484880333712
2021,INDIA,WR,1538.5911068782775
2021,INDIA,NR,442.3802889378056
2021,INDIA,SR,477.9781206720803
2021,INDIA,NER,9.242469309843653
2022,INDIA,ER,1691.76444722105
2022,INDIA,WR,1607.6864179587942
2022,INDIA,NR,460.41785972774977
2022,INDIA,SR,499.0874846951944
2022,INDIA,NER,9.636014121939615
2023,INDIA,ER,1739.3229778488048
2023,INDIA,WR,1670.1933849312734
2023,INDIA,NR,476.4024356887677
2023,INDIA,SR,518.0840617197451
2023,INDIA,NER,9.989030966581833
2024,INDIA,ER,1796.5913234168672
2024,INDIA,WR,1743.4435220940882
2024,INDIA,NR,495.26551479861934
2024,INDIA,SR,540.3369285594732
2024,INDIA,NER,10.405150046377347
2025,INDIA,ER,1854.322718954108
2025,INDIA,WR,1818.6443315541733
2025,INDIA,NR,514.4857001321355
2025,INDIA,SR,563.1109149449953
2025,INDIA,NER,10.831756967556451
2026,INDIA,ER,1913.0614768744524
2026,INDIA,WR,1896.3920909421176
2026,INDIA,NR,534.2208431970137
2026,INDIA,SR,586.5830994092704
2026,INDIA,NER,11.272413600899222
2027,INDIA,ER,1972.5602981814616
2027,INDIA,WR,1976.509722294638
2027,INDIA,NR,554.4094499941411
2027,INDIA,SR,610.6906584493911
2027,INDIA,NER,11.726079273147446
2028,INDIA,ER,2033.8112682576248
2028,INDIA,WR,2060.0753389878887
2028,INDIA,NR,575.3403588450077
2028,INDIA,SR,635.7577572333365
2028,INDIA,NER,12.199154085133015
2029,INDIA,ER,2096.862174284104
2029,INDIA,WR,2147.240063918005
2029,INDIA,NR,597.0399021695633
2029,INDIA,SR,661.821010299601
2029,INDIA,NER,12.692528412013983
2030,INDIA,ER,2161.761957627029
2030,INDIA,WR,2238.161704133459
2030,INDIA,NR,619.5353004848293
2030,INDIA,SR,688.918350699609
2030,INDIA,NER,13.207137770506597
2031,INDIA,ER,2228.560738573969
2031,INDIA,WR,2333.0050435558346
2031,INDIA,NR,642.8546901663134
2031,INDIA,SR,717.0890745189909
2031,INDIA,NER,13.743965372896213
