DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,1370.15556704099,3STAR
D_RES,2022,INDIA,ER,BR,RURAL,Q1,1456.5793286921842,3STAR
D_RES,2023,INDIA,ER,BR,RURAL,Q1,1538.1338964564854,3STAR
D_RES,2024,INDIA,ER,BR,RURAL,Q1,1938.0391397702545,3STAR
D_RES,2025,INDIA,ER,BR,RURAL,Q1,2439.4774981622563,3STAR
D_RES,2026,INDIA,ER,BR,RURAL,Q1,3068.703541554581,3STAR
D_RES,2027,INDIA,ER,BR,RURAL,Q1,3857.2842520549752,3STAR
D_RES,2028,INDIA,ER,BR,RURAL,Q1,4847.584802616806,3STAR
D_RES,2029,INDIA,ER,BR,RURAL,Q1,6090.97208651403,3STAR
D_RES,2030,INDIA,ER,BR,RURAL,Q1,7651.826809163662,3STAR
D_RES,2031,INDIA,ER,BR,RURAL,Q1,9610.834005969951,3STAR
D_RES,2021,INDIA,ER,JH,RURAL,Q1,553.8367809125658,3STAR
D_RES,2022,INDIA,ER,JH,RURAL,Q1,596.5726393225973,3STAR
D_RES,2023,INDIA,ER,JH,RURAL,Q1,636.7108141606325,3STAR
D_RES,2024,INDIA,ER,JH,RURAL,Q1,824.3694260109311,3STAR
D_RES,2025,INDIA,ER,JH,RURAL,Q1,1065.7490832049104,3STAR
D_RES,2026,INDIA,ER,JH,RURAL,Q1,1376.43401550445,3STAR
D_RES,2027,INDIA,ER,JH,RURAL,Q1,1775.6040510989749,3STAR
D_RES,2028,INDIA,ER,JH,RURAL,Q1,2289.6201265088425,3STAR
D_RES,2029,INDIA,ER,JH,RURAL,Q1,2951.2463541776997,3STAR
D_RES,2030,INDIA,ER,JH,RURAL,Q1,3802.5089091901787,3STAR
D_RES,2031,INDIA,ER,JH,RURAL,Q1,4897.291157974671,3STAR
D_RES,2021,INDIA,ER,OD,RURAL,Q1,1912.4373819683105,3STAR
D_RES,2022,INDIA,ER,OD,RURAL,Q1,2111.538034829298,3STAR
D_RES,2023,INDIA,ER,OD,RURAL,Q1,2873.812181189118,3STAR
D_RES,2024,INDIA,ER,OD,RURAL,Q1,3941.3061167161964,3STAR
D_RES,2025,INDIA,ER,OD,RURAL,Q1,5396.135032357446,3STAR
D_RES,2026,INDIA,ER,OD,RURAL,Q1,7379.467752558524,3STAR
D_RES,2027,INDIA,ER,OD,RURAL,Q1,10078.130216138381,3STAR
D_RES,2028,INDIA,ER,OD,RURAL,Q1,13756.882788560857,3STAR
D_RES,2029,INDIA,ER,OD,RURAL,Q1,18768.946888518196,3STAR
D_RES,2030,INDIA,ER,OD,RURAL,Q1,25593.748116916904,3STAR
D_RES,2031,INDIA,ER,OD,RURAL,Q1,34881.578954498735,3STAR
D_RES,2021,INDIA,ER,WB,RURAL,Q1,5144.2135390958365,3STAR
D_RES,2022,INDIA,ER,WB,RURAL,Q1,5488.993019077566,3STAR
D_RES,2023,INDIA,ER,WB,RURAL,Q1,5800.028277014244,3STAR
D_RES,2024,INDIA,ER,WB,RURAL,Q1,6170.713536737777,3STAR
D_RES,2025,INDIA,ER,WB,RURAL,Q1,6580.36787061495,3STAR
D_RES,2026,INDIA,ER,WB,RURAL,Q1,7008.1492739506675,3STAR
D_RES,2027,INDIA,ER,WB,RURAL,Q1,7452.597729531045,3STAR
D_RES,2028,INDIA,ER,WB,RURAL,Q1,7919.60339647647,3STAR
D_RES,2029,INDIA,ER,WB,RURAL,Q1,8409.694631262275,3STAR
D_RES,2030,INDIA,ER,WB,RURAL,Q1,8923.332043368544,3STAR
D_RES,2031,INDIA,ER,WB,RURAL,Q1,9460.891561957877,3STAR
D_RES,2021,INDIA,NER,AS,RURAL,Q1,1171.7809516429256,3STAR
D_RES,2022,INDIA,NER,AS,RURAL,Q1,1302.0387473241879,3STAR
D_RES,2023,INDIA,NER,AS,RURAL,Q1,1497.8812498213545,3STAR
D_RES,2024,INDIA,NER,AS,RURAL,Q1,1739.1311862524965,3STAR
D_RES,2025,INDIA,NER,AS,RURAL,Q1,2015.4644121974077,3STAR
D_RES,2026,INDIA,NER,AS,RURAL,Q1,2332.871855214416,3STAR
D_RES,2027,INDIA,NER,AS,RURAL,Q1,2696.3557581643877,3STAR
D_RES,2028,INDIA,NER,AS,RURAL,Q1,3115.1783693000757,3STAR
D_RES,2029,INDIA,NER,AS,RURAL,Q1,3597.544999528163,3STAR
D_RES,2030,INDIA,NER,AS,RURAL,Q1,4152.841555033403,3STAR
D_RES,2031,INDIA,NER,AS,RURAL,Q1,4791.794289218079,3STAR
D_RES,2021,INDIA,NER,NE,RURAL,Q1,496.26586832287416,3STAR
D_RES,2022,INDIA,NER,NE,RURAL,Q1,527.5503593319834,3STAR
D_RES,2023,INDIA,NER,NE,RURAL,Q1,565.525602043977,3STAR
D_RES,2024,INDIA,NER,NE,RURAL,Q1,609.61606492473,3STAR
D_RES,2025,INDIA,NER,NE,RURAL,Q1,656.6662736485283,3STAR
D_RES,2026,INDIA,NER,NE,RURAL,Q1,707.0922194692789,3STAR
D_RES,2027,INDIA,NER,NE,RURAL,Q1,761.007373665694,3STAR
D_RES,2028,INDIA,NER,NE,RURAL,Q1,819.0963722284162,3STAR
D_RES,2029,INDIA,NER,NE,RURAL,Q1,881.6771134624739,3STAR
D_RES,2030,INDIA,NER,NE,RURAL,Q1,949.0894479618531,3STAR
D_RES,2031,INDIA,NER,NE,RURAL,Q1,1021.6969866476044,3STAR
D_RES,2021,INDIA,NR,DL,RURAL,Q1,496.88341930791836,3STAR
D_RES,2022,INDIA,NR,DL,RURAL,Q1,528.4559532131689,3STAR
D_RES,2023,INDIA,NR,DL,RURAL,Q1,640.4650912935138,3STAR
D_RES,2024,INDIA,NR,DL,RURAL,Q1,778.4851084781914,3STAR
D_RES,2025,INDIA,NR,DL,RURAL,Q1,942.6554046092203,3STAR
D_RES,2026,INDIA,NR,DL,RURAL,Q1,1137.4587172504985,3STAR
D_RES,2027,INDIA,NR,DL,RURAL,Q1,1367.445687986301,3STAR
D_RES,2028,INDIA,NR,DL,RURAL,Q1,1638.575034532141,3STAR
D_RES,2029,INDIA,NR,DL,RURAL,Q1,1956.7843691632374,3STAR
D_RES,2030,INDIA,NR,DL,RURAL,Q1,2328.4520522908037,3STAR
D_RES,2031,INDIA,NR,DL,RURAL,Q1,2760.3405955336193,3STAR
D_RES,2021,INDIA,NR,HP,RURAL,Q1,668.5632453578083,3STAR
D_RES,2022,INDIA,NR,HP,RURAL,Q1,725.2487050646641,3STAR
D_RES,2023,INDIA,NR,HP,RURAL,Q1,862.0175117153321,3STAR
D_RES,2024,INDIA,NR,HP,RURAL,Q1,1031.5739494955756,3STAR
D_RES,2025,INDIA,NR,HP,RURAL,Q1,1232.5512798650282,3STAR
D_RES,2026,INDIA,NR,HP,RURAL,Q1,1471.1023905444085,3STAR
D_RES,2027,INDIA,NR,HP,RURAL,Q1,1753.6163876150333,3STAR
D_RES,2028,INDIA,NR,HP,RURAL,Q1,2089.3652322834955,3STAR
D_RES,2029,INDIA,NR,HP,RURAL,Q1,2488.1530162134723,3STAR
D_RES,2030,INDIA,NR,HP,RURAL,Q1,2961.539113054638,3STAR
D_RES,2031,INDIA,NR,HP,RURAL,Q1,3523.14001857169,3STAR
D_RES,2021,INDIA,NR,HR,RURAL,Q1,17132.56487062144,3STAR
D_RES,2022,INDIA,NR,HR,RURAL,Q1,18604.733045245925,3STAR
D_RES,2023,INDIA,NR,HR,RURAL,Q1,23546.505796374277,3STAR
D_RES,2024,INDIA,NR,HR,RURAL,Q1,29919.03268302192,3STAR
D_RES,2025,INDIA,NR,HR,RURAL,Q1,37922.370642267284,3STAR
D_RES,2026,INDIA,NR,HR,RURAL,Q1,47966.397002817655,3STAR
D_RES,2027,INDIA,NR,HR,RURAL,Q1,60537.778127215504,3STAR
D_RES,2028,INDIA,NR,HR,RURAL,Q1,76277.95124157783,3STAR
D_RES,2029,INDIA,NR,HR,RURAL,Q1,95950.76380648099,3STAR
D_RES,2030,INDIA,NR,HR,RURAL,Q1,120495.30253810265,3STAR
D_RES,2031,INDIA,NR,HR,RURAL,Q1,151064.08942421692,3STAR
D_RES,2021,INDIA,NR,JK,RURAL,Q1,2318.4662343047694,3STAR
D_RES,2022,INDIA,NR,JK,RURAL,Q1,2480.168163589155,3STAR
D_RES,2023,INDIA,NR,JK,RURAL,Q1,2627.884096259388,3STAR
D_RES,2024,INDIA,NR,JK,RURAL,Q1,2803.1486808238155,3STAR
D_RES,2025,INDIA,NR,JK,RURAL,Q1,3436.183954171074,3STAR
D_RES,2026,INDIA,NR,JK,RURAL,Q1,4206.978688435182,3STAR
D_RES,2027,INDIA,NR,JK,RURAL,Q1,5143.426587801272,3STAR
D_RES,2028,INDIA,NR,JK,RURAL,Q1,6284.308830104749,3STAR
D_RES,2029,INDIA,NR,JK,RURAL,Q1,7673.274009038601,3STAR
D_RES,2030,INDIA,NR,JK,RURAL,Q1,9363.053857623967,3STAR
D_RES,2031,INDIA,NR,JK,RURAL,Q1,11417.296304822417,3STAR
D_RES,2021,INDIA,NR,PB,RURAL,Q1,22832.166616934268,3STAR
D_RES,2022,INDIA,NR,PB,RURAL,Q1,24495.404644265287,3STAR
D_RES,2023,INDIA,NR,PB,RURAL,Q1,25964.194359771212,3STAR
D_RES,2024,INDIA,NR,PB,RURAL,Q1,30755.87339485117,3STAR
D_RES,2025,INDIA,NR,PB,RURAL,Q1,36308.108221006,3STAR
D_RES,2026,INDIA,NR,PB,RURAL,Q1,42740.53647268556,3STAR
D_RES,2027,INDIA,NR,PB,RURAL,Q1,50160.20110924507,3STAR
D_RES,2028,INDIA,NR,PB,RURAL,Q1,58735.314875855176,3STAR
D_RES,2029,INDIA,NR,PB,RURAL,Q1,68617.9548522397,3STAR
D_RES,2030,INDIA,NR,PB,RURAL,Q1,79974.68438055691,3STAR
D_RES,2031,INDIA,NR,PB,RURAL,Q1,92986.80335144818,3STAR
D_RES,2021,INDIA,NR,RJ,RURAL,Q1,15261.220364757188,3STAR
D_RES,2022,INDIA,NR,RJ,RURAL,Q1,16536.45270769309,3STAR
D_RES,2023,INDIA,NR,RJ,RURAL,Q1,21152.475813038356,3STAR
D_RES,2024,INDIA,NR,RJ,RURAL,Q1,27206.802720530464,3STAR
D_RES,2025,INDIA,NR,RJ,RURAL,Q1,34938.97259458794,3STAR
D_RES,2026,INDIA,NR,RJ,RURAL,Q1,44816.9515227031,3STAR
D_RES,2027,INDIA,NR,RJ,RURAL,Q1,57413.34922902202,3STAR
D_RES,2028,INDIA,NR,RJ,RURAL,Q1,73502.0554163441,3STAR
D_RES,2029,INDIA,NR,RJ,RURAL,Q1,94036.7602010739,3STAR
D_RES,2030,INDIA,NR,RJ,RURAL,Q1,120227.25236234217,3STAR
D_RES,2031,INDIA,NR,RJ,RURAL,Q1,153606.95296286006,3STAR
D_RES,2021,INDIA,NR,UK,RURAL,Q1,1668.376520604666,3STAR
D_RES,2022,INDIA,NR,UK,RURAL,Q1,1790.7271920834917,3STAR
D_RES,2023,INDIA,NR,UK,RURAL,Q1,2188.323076627757,3STAR
D_RES,2024,INDIA,NR,UK,RURAL,Q1,2685.4624595194773,3STAR
D_RES,2025,INDIA,NR,UK,RURAL,Q1,3292.0202539747565,3STAR
D_RES,2026,INDIA,NR,UK,RURAL,Q1,4032.528742246937,3STAR
D_RES,2027,INDIA,NR,UK,RURAL,Q1,4935.330077298676,3STAR
D_RES,2028,INDIA,NR,UK,RURAL,Q1,6037.955676677962,3STAR
D_RES,2029,INDIA,NR,UK,RURAL,Q1,7384.089436406746,3STAR
D_RES,2030,INDIA,NR,UK,RURAL,Q1,9026.832826298416,3STAR
D_RES,2031,INDIA,NR,UK,RURAL,Q1,11030.707378977952,3STAR
D_RES,2021,INDIA,NR,UP,RURAL,Q1,20905.001018336287,3STAR
D_RES,2022,INDIA,NR,UP,RURAL,Q1,22431.615671392567,3STAR
D_RES,2023,INDIA,NR,UP,RURAL,Q1,23870.30570666919,3STAR
D_RES,2024,INDIA,NR,UP,RURAL,Q1,30272.84745332477,3STAR
D_RES,2025,INDIA,NR,UP,RURAL,Q1,38336.00354620583,3STAR
D_RES,2026,INDIA,NR,UP,RURAL,Q1,48496.14871224679,3STAR
D_RES,2027,INDIA,NR,UP,RURAL,Q1,61275.43348532401,3STAR
D_RES,2028,INDIA,NR,UP,RURAL,Q1,77381.53378490727,3STAR
D_RES,2029,INDIA,NR,UP,RURAL,Q1,97668.73503765179,3STAR
D_RES,2030,INDIA,NR,UP,RURAL,Q1,123207.2866685723,3STAR
D_RES,2031,INDIA,NR,UP,RURAL,Q1,155337.0169597082,3STAR
D_RES,2021,INDIA,SR,AP,RURAL,Q1,19236.155975769314,3STAR
D_RES,2022,INDIA,SR,AP,RURAL,Q1,22022.601346578147,3STAR
D_RES,2023,INDIA,SR,AP,RURAL,Q1,27303.533603857635,3STAR
D_RES,2024,INDIA,SR,AP,RURAL,Q1,34230.7468123731,3STAR
D_RES,2025,INDIA,SR,AP,RURAL,Q1,42750.69158414532,3STAR
D_RES,2026,INDIA,SR,AP,RURAL,Q1,53228.291015944604,3STAR
D_RES,2027,INDIA,SR,AP,RURAL,Q1,66046.154899851,3STAR
D_RES,2028,INDIA,SR,AP,RURAL,Q1,81768.83615559914,3STAR
D_RES,2029,INDIA,SR,AP,RURAL,Q1,100995.79339581946,3STAR
D_RES,2030,INDIA,SR,AP,RURAL,Q1,124432.00026941375,3STAR
D_RES,2031,INDIA,SR,AP,RURAL,Q1,152901.2874414312,3STAR
D_RES,2021,INDIA,SR,KA,RURAL,Q1,2655.1439835292945,3STAR
D_RES,2022,INDIA,SR,KA,RURAL,Q1,3027.1329320089267,3STAR
D_RES,2023,INDIA,SR,KA,RURAL,Q1,3577.6562826613686,3STAR
D_RES,2024,INDIA,SR,KA,RURAL,Q1,4271.172695744224,3STAR
D_RES,2025,INDIA,SR,KA,RURAL,Q1,5088.162115253295,3STAR
D_RES,2026,INDIA,SR,KA,RURAL,Q1,6052.722827391594,3STAR
D_RES,2027,INDIA,SR,KA,RURAL,Q1,7187.866327180268,3STAR
D_RES,2028,INDIA,SR,KA,RURAL,Q1,8530.951851898393,3STAR
D_RES,2029,INDIA,SR,KA,RURAL,Q1,10118.946951193293,3STAR
D_RES,2030,INDIA,SR,KA,RURAL,Q1,11995.129497767173,3STAR
D_RES,2031,INDIA,SR,KA,RURAL,Q1,14210.092693612616,3STAR
D_RES,2021,INDIA,SR,KL,RURAL,Q1,2776.492368401239,3STAR
D_RES,2022,INDIA,SR,KL,RURAL,Q1,2898.9727173670294,3STAR
D_RES,2023,INDIA,SR,KL,RURAL,Q1,2981.3891898216625,3STAR
D_RES,2024,INDIA,SR,KL,RURAL,Q1,3154.0386883954293,3STAR
D_RES,2025,INDIA,SR,KL,RURAL,Q1,3314.8083774989373,3STAR
D_RES,2026,INDIA,SR,KL,RURAL,Q1,3460.3818612296373,3STAR
D_RES,2027,INDIA,SR,KL,RURAL,Q1,3583.7985498972525,3STAR
D_RES,2028,INDIA,SR,KL,RURAL,Q1,3681.2518816372494,3STAR
D_RES,2029,INDIA,SR,KL,RURAL,Q1,3744.2631361239664,3STAR
D_RES,2030,INDIA,SR,KL,RURAL,Q1,3762.6754839150285,3STAR
