DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,30522.558113348114,AVERAGE
D_RES,2022,INDIA,ER,BR,RURAL,Q1,32172.81378393456,AVERAGE
D_RES,2023,INDIA,ER,BR,RURAL,Q1,33688.683913291854,AVERAGE
D_RES,2024,INDIA,ER,BR,RURAL,Q1,34915.196992565485,AVERAGE
D_RES,2025,INDIA,ER,BR,RURAL,Q1,36036.862397058634,AVERAGE
D_RES,2026,INDIA,ER,BR,RURAL,Q1,37026.72445836778,AVERAGE
D_RES,2027,INDIA,ER,BR,RURAL,Q1,37830.89086814589,AVERAGE
D_RES,2028,INDIA,ER,BR,RURAL,Q1,38410.01320182462,AVERAGE
D_RES,2029,INDIA,ER,BR,RURAL,Q1,38688.55928133974,AVERAGE
D_RES,2030,INDIA,ER,BR,RURAL,Q1,38571.62718073987,AVERAGE
D_RES,2031,INDIA,ER,BR,RURAL,Q1,37940.20355194928,AVERAGE
D_RES,2021,INDIA,ER,JH,RURAL,Q1,14705.277636853853,AVERAGE
D_RES,2022,INDIA,ER,JH,RURAL,Q1,15705.75577047256,AVERAGE
D_RES,2023,INDIA,ER,JH,RURAL,Q1,16621.599743019156,AVERAGE
D_RES,2024,INDIA,ER,JH,RURAL,Q1,17462.987382243464,AVERAGE
D_RES,2025,INDIA,ER,JH,RURAL,Q1,18262.77759201258,AVERAGE
D_RES,2026,INDIA,ER,JH,RURAL,Q1,19005.91446344091,AVERAGE
D_RES,2027,INDIA,ER,JH,RURAL,Q1,19659.040029367647,AVERAGE
D_RES,2028,INDIA,ER,JH,RURAL,Q1,20199.274669419538,AVERAGE
D_RES,2029,INDIA,ER,JH,RURAL,Q1,20578.560740869227,AVERAGE
D_RES,2030,INDIA,ER,JH,RURAL,Q1,20734.871650125882,AVERAGE
D_RES,2031,INDIA,ER,JH,RURAL,Q1,20588.393792871513,AVERAGE
D_RES,2021,INDIA,ER,OD,RURAL,Q1,61666.54943955595,AVERAGE
D_RES,2022,INDIA,ER,OD,RURAL,Q1,67509.5471445389,AVERAGE
D_RES,2023,INDIA,ER,OD,RURAL,Q1,72131.40609304815,AVERAGE
D_RES,2024,INDIA,ER,OD,RURAL,Q1,77378.74957561985,AVERAGE
D_RES,2025,INDIA,ER,OD,RURAL,Q1,82475.5687761603,AVERAGE
D_RES,2026,INDIA,ER,OD,RURAL,Q1,87264.95409756002,AVERAGE
D_RES,2027,INDIA,ER,OD,RURAL,Q1,91454.74247969872,AVERAGE
D_RES,2028,INDIA,ER,OD,RURAL,Q1,94746.7511631321,AVERAGE
D_RES,2029,INDIA,ER,OD,RURAL,Q1,96628.0907631288,AVERAGE
D_RES,2030,INDIA,ER,OD,RURAL,Q1,96392.7183177003,AVERAGE
D_RES,2031,INDIA,ER,OD,RURAL,Q1,93074.0717216867,AVERAGE
D_RES,2021,INDIA,ER,WB,RURAL,Q1,6989.068942662466,AVERAGE
D_RES,2022,INDIA,ER,WB,RURAL,Q1,7394.296419144209,AVERAGE
D_RES,2023,INDIA,ER,WB,RURAL,Q1,7747.638596877115,AVERAGE
D_RES,2024,INDIA,ER,WB,RURAL,Q1,8174.105339521073,AVERAGE
D_RES,2025,INDIA,ER,WB,RURAL,Q1,8561.57997582238,AVERAGE
D_RES,2026,INDIA,ER,WB,RURAL,Q1,8955.960077909021,AVERAGE
D_RES,2027,INDIA,ER,WB,RURAL,Q1,9354.631015446097,AVERAGE
D_RES,2028,INDIA,ER,WB,RURAL,Q1,9764.214309853543,AVERAGE
D_RES,2029,INDIA,ER,WB,RURAL,Q1,10184.333977062788,AVERAGE
