DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,1293666.479533613,AVERAGE
D_RES,2022,INDIA,ER,BR,RURAL,Q1,1321737.6971697717,AVERAGE
D_RES,2023,INDIA,ER,BR,RURAL,Q1,1348460.1025215366,AVERAGE
D_RES,2024,INDIA,ER,BR,RURAL,Q1,1376031.3246711171,AVERAGE
D_RES,2025,INDIA,ER,BR,RURAL,Q1,1403679.6670525288,AVERAGE
D_RES,2026,INDIA,ER,BR,RURAL,Q1,1431666.0732214255,AVERAGE
D_RES,2027,INDIA,ER,BR,RURAL,Q1,1460669.0342825663,AVERAGE
D_RES,2028,INDIA,ER,BR,RURAL,Q1,1490150.3436332329,AVERAGE
D_RES,2029,INDIA,ER,BR,RURAL,Q1,1520271.376904481,AVERAGE
D_RES,2030,INDIA,ER,BR,RURAL,Q1,1551119.3702927504,AVERAGE
D_RES,2031,INDIA,ER,BR,RURAL,Q1,1582804.253771888,AVERAGE
D_RES,2021,INDIA,ER,JH,RURAL,Q1,132407.54814124372,AVERAGE
D_RES,2022,INDIA,ER,JH,RURAL,Q1,135824.10336537278,AVERAGE
D_RES,2023,INDIA,ER,JH,RURAL,Q1,139121.59715825194,AVERAGE
D_RES,2024,INDIA,ER,JH,RURAL,Q1,142736.30337919437,AVERAGE
D_RES,2025,INDIA,ER,JH,RURAL,Q1,146487.73930466457,AVERAGE
D_RES,2026,INDIA,ER,JH,RURAL,Q1,150383.7005859451,AVERAGE
D_RES,2027,INDIA,ER,JH,RURAL,Q1,154438.89095387014,AVERAGE
D_RES,2028,INDIA,ER,JH,RURAL,Q1,158690.61380514968,AVERAGE
D_RES,2029,INDIA,ER,JH,RURAL,Q1,163154.85354900718,AVERAGE
D_RES,2030,INDIA,ER,JH,RURAL,Q1,167852.15411742395,AVERAGE
D_RES,2031,INDIA,ER,JH,RURAL,Q1,172789.50093729736,AVERAGE
D_RES,2021,INDIA,ER,OD,RURAL,Q1,236613.4978329212,AVERAGE
D_RES,2022,INDIA,ER,OD,RURAL,Q1,245446.46880785646,AVERAGE
D_RES,2023,INDIA,ER,OD,RURAL,Q1,254142.05436301645,AVERAGE
D_RES,2024,INDIA,ER,OD,RURAL,Q1,263866.1883474165,AVERAGE
D_RES,2025,INDIA,ER,OD,RURAL,Q1,274223.89915910363,AVERAGE
D_RES,2026,INDIA,ER,OD,RURAL,Q1,285315.92962411675,AVERAGE
D_RES,2027,INDIA,ER,OD,RURAL,Q1,297331.85866159113,AVERAGE
D_RES,2028,INDIA,ER,OD,RURAL,Q1,310282.5166792041,AVERAGE
D_RES,2029,INDIA,ER,OD,RURAL,Q1,324379.88636189525,AVERAGE
D_RES,2030,INDIA,ER,OD,RURAL,Q1,339774.03491865343,AVERAGE
D_RES,2031,INDIA,ER,OD,RURAL,Q1,356598.7188354703,AVERAGE
D_RES,2021,INDIA,ER,WB,RURAL,Q1,387545.29472196905,AVERAGE
D_RES,2022,INDIA,ER,WB,RURAL,Q1,397057.2004693244,AVERAGE
D_RES,2023,INDIA,ER,WB,RURAL,Q1,405703.77912266634,AVERAGE
D_RES,2024,INDIA,ER,WB,RURAL,Q1,415534.9439566039,AVERAGE
D_RES,2025,INDIA,ER,WB,RURAL,Q1,425489.4279795655,AVERAGE
D_RES,2026,INDIA,ER,WB,RURAL,Q1,435699.51318214217,AVERAGE
D_RES,2027,INDIA,ER,WB,RURAL,Q1,446161.97427343816,AVERAGE
D_RES,2028,INDIA,ER,WB,RURAL,Q1,456925.3143915116,AVERAGE
D_RES,2029,INDIA,ER,WB,RURAL,Q1,468012.2888529264,AVERAGE
D_RES,2030,INDIA,ER,WB,RURAL,Q1,479442.0151403519,AVERAGE
D_RES,2031,INDIA,ER,WB,RURAL,Q1,491229.97840345674,AVERAGE
D_RES,2021,INDIA,NER,AS,RURAL,Q1,358659.40328024054,AVERAGE
D_RES,2022,INDIA,NER,AS,RURAL,Q1,384964.0569739556,AVERAGE
D_RES,2023,INDIA,NER,AS,RURAL,Q1,410450.13990742626,AVERAGE
D_RES,2024,INDIA,NER,AS,RURAL,Q1,441284.03659665526,AVERAGE
D_RES,2025,INDIA,NER,AS,RURAL,Q1,474393.90296569245,AVERAGE
D_RES,2026,INDIA,NER,AS,RURAL,Q1,509971.97496745765,AVERAGE
D_RES,2027,INDIA,NER,AS,RURAL,Q1,547887.2127112655,AVERAGE
D_RES,2028,INDIA,NER,AS,RURAL,Q1,588384.9675728009,AVERAGE
D_RES,2029,INDIA,NER,AS,RURAL,Q1,631304.0049638517,AVERAGE
D_RES,2030,INDIA,NER,AS,RURAL,Q1,676429.5859660311,AVERAGE
D_RES,2031,INDIA,NER,AS,RURAL,Q1,723460.6934751531,AVERAGE
D_RES,2021,INDIA,NER,NE,RURAL,Q1,114828.34688625306,AVERAGE
D_RES,2022,INDIA,NER,NE,RURAL,Q1,119034.04636094163,AVERAGE
D_RES,2023,INDIA,NER,NE,RURAL,Q1,122959.35403780462,AVERAGE
D_RES,2024,INDIA,NER,NE,RURAL,Q1,127562.89838755903,AVERAGE
D_RES,2025,INDIA,NER,NE,RURAL,Q1,132378.97949166395,AVERAGE
D_RES,2026,INDIA,NER,NE,RURAL,Q1,137447.4380110389,AVERAGE
D_RES,2027,INDIA,NER,NE,RURAL,Q1,142772.94323133363,AVERAGE
D_RES,2028,INDIA,NER,NE,RURAL,Q1,148415.97034602697,AVERAGE
D_RES,2029,INDIA,NER,NE,RURAL,Q1,154384.86517423397,AVERAGE
D_RES,2030,INDIA,NER,NE,RURAL,Q1,160697.18616001337,AVERAGE
D_RES,2031,INDIA,NER,NE,RURAL,Q1,167364.20703622652,AVERAGE
D_RES,2021,INDIA,NR,DL,RURAL,Q1,15836.643944836378,AVERAGE
D_RES,2022,INDIA,NR,DL,RURAL,Q1,15983.922461338034,AVERAGE
D_RES,2023,INDIA,NR,DL,RURAL,Q1,15894.296716260114,AVERAGE
D_RES,2024,INDIA,NR,DL,RURAL,Q1,15782.928703466032,AVERAGE
D_RES,2025,INDIA,NR,DL,RURAL,Q1,15648.379025822582,AVERAGE
D_RES,2026,INDIA,NR,DL,RURAL,Q1,15489.096877635935,AVERAGE
D_RES,2027,INDIA,NR,DL,RURAL,Q1,15303.56887051325,AVERAGE
D_RES,2028,INDIA,NR,DL,RURAL,Q1,15090.0645665754,AVERAGE
D_RES,2029,INDIA,NR,DL,RURAL,Q1,14846.889348437311,AVERAGE
D_RES,2030,INDIA,NR,DL,RURAL,Q1,14572.081424214428,AVERAGE
D_RES,2031,INDIA,NR,DL,RURAL,Q1,14263.722619164942,AVERAGE
D_RES,2021,INDIA,NR,HP,RURAL,Q1,72065.03078667163,AVERAGE
D_RES,2022,INDIA,NR,HP,RURAL,Q1,76865.2900711485,AVERAGE
D_RES,2023,INDIA,NR,HP,RURAL,Q1,81390.24859119418,AVERAGE
D_RES,2024,INDIA,NR,HP,RURAL,Q1,86776.85002917773,AVERAGE
D_RES,2025,INDIA,NR,HP,RURAL,Q1,92449.15496154291,AVERAGE
D_RES,2026,INDIA,NR,HP,RURAL,Q1,98431.46689990057,AVERAGE
D_RES,2027,INDIA,NR,HP,RURAL,Q1,104692.15317538973,AVERAGE
D_RES,2028,INDIA,NR,HP,RURAL,Q1,111284.04302701014,AVERAGE
D_RES,2029,INDIA,NR,HP,RURAL,Q1,118185.036306356,AVERAGE
D_RES,2030,INDIA,NR,HP,RURAL,Q1,125366.47792042472,AVERAGE
D_RES,2031,INDIA,NR,HP,RURAL,Q1,132781.5258171537,AVERAGE
D_RES,2021,INDIA,NR,HR,RURAL,Q1,278484.6896326813,AVERAGE
D_RES,2022,INDIA,NR,HR,RURAL,Q1,299759.36500617757,AVERAGE
D_RES,2023,INDIA,NR,HR,RURAL,Q1,320089.3719596764,AVERAGE
D_RES,2024,INDIA,NR,HR,RURAL,Q1,344020.56440011243,AVERAGE
D_RES,2025,INDIA,NR,HR,RURAL,Q1,369625.71482810366,AVERAGE
D_RES,2026,INDIA,NR,HR,RURAL,Q1,396964.4384901067,AVERAGE
D_RES,2027,INDIA,NR,HR,RURAL,Q1,425897.7088027876,AVERAGE
D_RES,2028,INDIA,NR,HR,RURAL,Q1,456567.851654112,AVERAGE
D_RES,2029,INDIA,NR,HR,RURAL,Q1,488815.3589986573,AVERAGE
D_RES,2030,INDIA,NR,HR,RURAL,Q1,522444.78593681246,AVERAGE
D_RES,2031,INDIA,NR,HR,RURAL,Q1,557191.6663351099,AVERAGE
