ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q1,INDIA,NR,JK,2021,0
RURAL,Q2,INDIA,NR,JK,2021,0
RURAL,Q3,INDIA,NR,JK,2021,0
RURAL,Q4,INDIA,NR,JK,2021,0
RURAL,Q5,INDIA,NR,JK,2021,0
RURAL,Q1,INDIA,NR,JK,2022,0
RURAL,Q2,INDIA,NR,JK,2022,0
RURAL,Q3,INDIA,NR,JK,2022,0
RURAL,Q4,INDIA,NR,JK,2022,0
RURAL,Q5,INDIA,NR,JK,2022,0
RURAL,Q1,INDIA,NR,JK,2023,0
RURAL,Q2,INDIA,NR,JK,2023,0
RURAL,Q3,INDIA,NR,JK,2023,0
RURAL,Q4,INDIA,NR,JK,2023,0
RURAL,Q5,INDIA,NR,JK,2023,0
RURAL,Q1,INDIA,NR,JK,2024,0
RURAL,Q2,INDIA,NR,JK,2024,0
RURAL,Q3,INDIA,NR,JK,2024,0
RURAL,Q4,INDIA,NR,JK,2024,0
RURAL,Q5,INDIA,NR,JK,2024,0
RURAL,Q1,INDIA,NR,JK,2025,0
RURAL,Q2,INDIA,NR,JK,2025,0
RURAL,Q3,INDIA,NR,JK,2025,0
RURAL,Q4,INDIA,NR,JK,2025,0
RURAL,Q5,INDIA,NR,JK,2025,0
RURAL,Q1,INDIA,NR,JK,2026,0
RURAL,Q2,INDIA,NR,JK,2026,0
RURAL,Q3,INDIA,NR,JK,2026,0
RURAL,Q4,INDIA,NR,JK,2026,0
RURAL,Q5,INDIA,NR,JK,2026,0
RURAL,Q1,INDIA,NR,JK,2027,0
RURAL,Q2,INDIA,NR,JK,2027,0
RURAL,Q3,INDIA,NR,JK,2027,0
RURAL,Q4,INDIA,NR,JK,2027,0
RURAL,Q5,INDIA,NR,JK,2027,0
RURAL,Q1,INDIA,NR,JK,2028,0
RURAL,Q2,INDIA,NR,JK,2028,0
RURAL,Q3,INDIA,NR,JK,2028,0
RURAL,Q4,INDIA,NR,JK,2028,0
RURAL,Q5,INDIA,NR,JK,2028,0
RURAL,Q1,INDIA,NR,JK,2029,0
RURAL,Q2,INDIA,NR,JK,2029,0
RURAL,Q3,INDIA,NR,JK,2029,0
RURAL,Q4,INDIA,NR,JK,2029,0
RURAL,Q5,INDIA,NR,JK,2029,0
RURAL,Q1,INDIA,NR,JK,2030,0
RURAL,Q2,INDIA,NR,JK,2030,0
RURAL,Q3,INDIA,NR,JK,2030,0
RURAL,Q4,INDIA,NR,JK,2030,0
RURAL,Q5,INDIA,NR,JK,2030,0
RURAL,Q1,INDIA,NR,JK,2031,0
RURAL,Q2,INDIA,NR,JK,2031,0
RURAL,Q3,INDIA,NR,JK,2031,0
RURAL,Q4,INDIA,NR,JK,2031,0
RURAL,Q5,INDIA,NR,JK,2031,0
RURAL,Q1,INDIA,ER,JH,2021,0.000347365
RURAL,Q2,INDIA,ER,JH,2021,0.000419317
RURAL,Q3,INDIA,ER,JH,2021,0.000493549
RURAL,Q4,INDIA,ER,JH,2021,0.00070256
RURAL,Q5,INDIA,ER,JH,2021,0.001015861
URBAN,Q1,INDIA,ER,JH,2021,0.00154526
URBAN,Q2,INDIA,ER,JH,2021,0.001718739
URBAN,Q3,INDIA,ER,JH,2021,0.002444783
URBAN,Q4,INDIA,ER,JH,2021,0.002738556
URBAN,Q5,INDIA,ER,JH,2021,0.002967838
RURAL,Q1,INDIA,ER,JH,2022,0.000312448
RURAL,Q2,INDIA,ER,JH,2022,0.000379058
RURAL,Q3,INDIA,ER,JH,2022,0.000449073
RURAL,Q4,INDIA,ER,JH,2022,0.000640827
RURAL,Q5,INDIA,ER,JH,2022,0.000950143
URBAN,Q1,INDIA,ER,JH,2022,0.001547753
URBAN,Q2,INDIA,ER,JH,2022,0.001727458
URBAN,Q3,INDIA,ER,JH,2022,0.002411801
URBAN,Q4,INDIA,ER,JH,2022,0.002670271
URBAN,Q5,INDIA,ER,JH,2022,0.00286803
RURAL,Q1,INDIA,ER,JH,2023,0.00028759
RURAL,Q2,INDIA,ER,JH,2023,0.000350418
RURAL,Q3,INDIA,ER,JH,2023,0.000417508
RURAL,Q4,INDIA,ER,JH,2023,0.000596941
RURAL,Q5,INDIA,ER,JH,2023,0.000903309
URBAN,Q1,INDIA,ER,JH,2023,0.00154793
URBAN,Q2,INDIA,ER,JH,2023,0.001729857
URBAN,Q3,INDIA,ER,JH,2023,0.002379328
URBAN,Q4,INDIA,ER,JH,2023,0.002610545
URBAN,Q5,INDIA,ER,JH,2023,0.002784825
RURAL,Q1,INDIA,ER,JH,2024,0.000269935
RURAL,Q2,INDIA,ER,JH,2024,0.000330694
RURAL,Q3,INDIA,ER,JH,2024,0.000396763
RURAL,Q4,INDIA,ER,JH,2024,0.000568608
RURAL,Q5,INDIA,ER,JH,2024,0.000880672
URBAN,Q1,INDIA,ER,JH,2024,0.001562467
URBAN,Q2,INDIA,ER,JH,2024,0.001745734
URBAN,Q3,INDIA,ER,JH,2024,0.00236078
URBAN,Q4,INDIA,ER,JH,2024,0.00256444
URBAN,Q5,INDIA,ER,JH,2024,0.002715505
RURAL,Q1,INDIA,ER,JH,2025,0.000256902
RURAL,Q2,INDIA,ER,JH,2025,0.000316464
RURAL,Q3,INDIA,ER,JH,2025,0.000382427
RURAL,Q4,INDIA,ER,JH,2025,0.000549274
RURAL,Q5,INDIA,ER,JH,2025,0.000869552
URBAN,Q1,INDIA,ER,JH,2025,0.001580479
URBAN,Q2,INDIA,ER,JH,2025,0.001762681
URBAN,Q3,INDIA,ER,JH,2025,0.0023459
URBAN,Q4,INDIA,ER,JH,2025,0.002525191
URBAN,Q5,INDIA,ER,JH,2025,0.002656255
RURAL,Q1,INDIA,ER,JH,2026,0.000247185
RURAL,Q2,INDIA,ER,JH,2026,0.000306255
RURAL,Q3,INDIA,ER,JH,2026,0.000372831
RURAL,Q4,INDIA,ER,JH,2026,0.000536613
RURAL,Q5,INDIA,ER,JH,2026,0.000867179
URBAN,Q1,INDIA,ER,JH,2026,0.001601789
URBAN,Q2,INDIA,ER,JH,2026,0.001780776
URBAN,Q3,INDIA,ER,JH,2026,0.002334264
URBAN,Q4,INDIA,ER,JH,2026,0.002491659
URBAN,Q5,INDIA,ER,JH,2026,0.002605264
RURAL,Q1,INDIA,ER,JH,2027,0.000238277
RURAL,Q2,INDIA,ER,JH,2027,0.000296978
RURAL,Q3,INDIA,ER,JH,2027,0.000364277
RURAL,Q4,INDIA,ER,JH,2027,0.000525326
RURAL,Q5,INDIA,ER,JH,2027,0.000865316
URBAN,Q1,INDIA,ER,JH,2027,0.001624856
URBAN,Q2,INDIA,ER,JH,2027,0.001798617
URBAN,Q3,INDIA,ER,JH,2027,0.002324108
URBAN,Q4,INDIA,ER,JH,2027,0.002461773
URBAN,Q5,INDIA,ER,JH,2027,0.002560064
RURAL,Q1,INDIA,ER,JH,2028,0.000231039
RURAL,Q2,INDIA,ER,JH,2028,0.00028974
RURAL,Q3,INDIA,ER,JH,2028,0.000358193
RURAL,Q4,INDIA,ER,JH,2028,0.000517491
RURAL,Q5,INDIA,ER,JH,2028,0.0008677
URBAN,Q1,INDIA,ER,JH,2028,0.001634435
URBAN,Q2,INDIA,ER,JH,2028,0.001799456
URBAN,Q3,INDIA,ER,JH,2028,0.002293476
URBAN,Q4,INDIA,ER,JH,2028,0.00241195
URBAN,Q5,INDIA,ER,JH,2028,0.002495753
RURAL,Q1,INDIA,ER,JH,2029,0.000225976
RURAL,Q2,INDIA,ER,JH,2029,0.000285216
RURAL,Q3,INDIA,ER,JH,2029,0.000355461
RURAL,Q4,INDIA,ER,JH,2029,0.000514401
RURAL,Q5,INDIA,ER,JH,2029,0.000876648
URBAN,Q1,INDIA,ER,JH,2029,0.001651762
URBAN,Q2,INDIA,ER,JH,2029,0.001807108
URBAN,Q3,INDIA,ER,JH,2029,0.002273174
URBAN,Q4,INDIA,ER,JH,2029,0.002374702
URBAN,Q5,INDIA,ER,JH,2029,0.002445931
RURAL,Q1,INDIA,ER,JH,2030,0.000222612
RURAL,Q2,INDIA,ER,JH,2030,0.000282854
RURAL,Q3,INDIA,ER,JH,2030,0.00035542
RURAL,Q4,INDIA,ER,JH,2030,0.0005151
RURAL,Q5,INDIA,ER,JH,2030,0.000890803
URBAN,Q1,INDIA,ER,JH,2030,0.00167498
URBAN,Q2,INDIA,ER,JH,2030,0.001819536
URBAN,Q3,INDIA,ER,JH,2030,0.002260291
URBAN,Q4,INDIA,ER,JH,2030,0.002346638
URBAN,Q5,INDIA,ER,JH,2030,0.002406857
RURAL,Q1,INDIA,ER,JH,2031,0.00022061
RURAL,Q2,INDIA,ER,JH,2031,0.000282236
RURAL,Q3,INDIA,ER,JH,2031,0.000357661
RURAL,Q4,INDIA,ER,JH,2031,0.000518991
RURAL,Q5,INDIA,ER,JH,2031,0.000909221
URBAN,Q1,INDIA,ER,JH,2031,0.001702689
URBAN,Q2,INDIA,ER,JH,2031,0.001835314
URBAN,Q3,INDIA,ER,JH,2031,0.002252798
URBAN,Q4,INDIA,ER,JH,2031,0.002325447
URBAN,Q5,INDIA,ER,JH,2031,0.002375879
RURAL,Q1,INDIA,ER,OD,2021,0.00123207
RURAL,Q2,INDIA,ER,OD,2021,0.001581578
RURAL,Q3,INDIA,ER,OD,2021,0.002120427
RURAL,Q4,INDIA,ER,OD,2021,0.002515149
RURAL,Q5,INDIA,ER,OD,2021,0.004519178
URBAN,Q1,INDIA,ER,OD,2021,0.000171244
URBAN,Q2,INDIA,ER,OD,2021,0.000289924
URBAN,Q3,INDIA,ER,OD,2021,0.000391079
URBAN,Q4,INDIA,ER,OD,2021,0.000434946
URBAN,Q5,INDIA,ER,OD,2021,0.000453666
RURAL,Q1,INDIA,ER,OD,2022,0.001135968
RURAL,Q2,INDIA,ER,OD,2022,0.001466564
RURAL,Q3,INDIA,ER,OD,2022,0.001974824
RURAL,Q4,INDIA,ER,OD,2022,0.002357995
RURAL,Q5,INDIA,ER,OD,2022,0.004244974
URBAN,Q1,INDIA,ER,OD,2022,0.000233475
URBAN,Q2,INDIA,ER,OD,2022,0.000382869
URBAN,Q3,INDIA,ER,OD,2022,0.000504718
URBAN,Q4,INDIA,ER,OD,2022,0.00055398
URBAN,Q5,INDIA,ER,OD,2022,0.000572176
RURAL,Q1,INDIA,ER,OD,2023,0.001060692
RURAL,Q2,INDIA,ER,OD,2023,0.00137656
RURAL,Q3,INDIA,ER,OD,2023,0.001860978
RURAL,Q4,INDIA,ER,OD,2023,0.002234733
RURAL,Q5,INDIA,ER,OD,2023,0.004025951
URBAN,Q1,INDIA,ER,OD,2023,0.000317365
URBAN,Q2,INDIA,ER,OD,2023,0.000506421
URBAN,Q3,INDIA,ER,OD,2023,0.000655264
URBAN,Q4,INDIA,ER,OD,2023,0.000711736
URBAN,Q5,INDIA,ER,OD,2023,0.000729495
RURAL,Q1,INDIA,ER,OD,2024,0.001004443
RURAL,Q2,INDIA,ER,OD,2024,0.001311522
RURAL,Q3,INDIA,ER,OD,2024,0.001781543
RURAL,Q4,INDIA,ER,OD,2024,0.002153023
RURAL,Q5,INDIA,ER,OD,2024,0.003877347
URBAN,Q1,INDIA,ER,OD,2024,0.000436088
URBAN,Q2,INDIA,ER,OD,2024,0.000674935
URBAN,Q3,INDIA,ER,OD,2024,0.000856151
URBAN,Q4,INDIA,ER,OD,2024,0.000919817
URBAN,Q5,INDIA,ER,OD,2024,0.000935345
RURAL,Q1,INDIA,ER,OD,2025,0.000960821
RURAL,Q2,INDIA,ER,OD,2025,0.001262342
RURAL,Q3,INDIA,ER,OD,2025,0.001723078
RURAL,Q4,INDIA,ER,OD,2025,0.002095109
RURAL,Q5,INDIA,ER,OD,2025,0.003767087
URBAN,Q1,INDIA,ER,OD,2025,0.000598439
URBAN,Q2,INDIA,ER,OD,2025,0.000899405
URBAN,Q3,INDIA,ER,OD,2025,0.001120401
URBAN,Q4,INDIA,ER,OD,2025,0.001191943
URBAN,Q5,INDIA,ER,OD,2025,0.001203608
RURAL,Q1,INDIA,ER,OD,2026,0.000927101
RURAL,Q2,INDIA,ER,OD,2026,0.001225828
RURAL,Q3,INDIA,ER,OD,2026,0.001681666
RURAL,Q4,INDIA,ER,OD,2026,0.002056581
RURAL,Q5,INDIA,ER,OD,2026,0.003687168
URBAN,Q1,INDIA,ER,OD,2026,0.000820023
URBAN,Q2,INDIA,ER,OD,2026,0.001198065
URBAN,Q3,INDIA,ER,OD,2026,0.001467833
URBAN,Q4,INDIA,ER,OD,2026,0.00154775
URBAN,Q5,INDIA,ER,OD,2026,0.001551194
RURAL,Q1,INDIA,ER,OD,2027,0.000893715
RURAL,Q2,INDIA,ER,OD,2027,0.001189362
RURAL,Q3,INDIA,ER,OD,2027,0.001639809
RURAL,Q4,INDIA,ER,OD,2027,0.002016309
RURAL,Q5,INDIA,ER,OD,2027,0.003599914
URBAN,Q1,INDIA,ER,OD,2027,0.001121419
URBAN,Q2,INDIA,ER,OD,2027,0.00159483
URBAN,Q3,INDIA,ER,OD,2027,0.001924566
URBAN,Q4,INDIA,ER,OD,2027,0.002004109
URBAN,Q5,INDIA,ER,OD,2027,0.002004109
RURAL,Q1,INDIA,ER,OD,2028,0.000868406
RURAL,Q2,INDIA,ER,OD,2028,0.001163169
RURAL,Q3,INDIA,ER,OD,2028,0.001611937
RURAL,Q4,INDIA,ER,OD,2028,0.001991965
RURAL,Q5,INDIA,ER,OD,2028,0.003536835
URBAN,Q1,INDIA,ER,OD,2028,0.001528978
URBAN,Q2,INDIA,ER,OD,2028,0.00211885
URBAN,Q3,INDIA,ER,OD,2028,0.002521564
URBAN,Q4,INDIA,ER,OD,2028,0.002591136
URBAN,Q5,INDIA,ER,OD,2028,0.002591136
RURAL,Q1,INDIA,ER,OD,2029,0.000850433
RURAL,Q2,INDIA,ER,OD,2029,0.001146542
RURAL,Q3,INDIA,ER,OD,2029,0.001597064
RURAL,Q4,INDIA,ER,OD,2029,0.001982541
RURAL,Q5,INDIA,ER,OD,2029,0.003495827
URBAN,Q1,INDIA,ER,OD,2029,0.002081853
URBAN,Q2,INDIA,ER,OD,2029,0.00281468
URBAN,Q3,INDIA,ER,OD,2029,0.003307204
URBAN,Q4,INDIA,ER,OD,2029,0.003358045
URBAN,Q5,INDIA,ER,OD,2029,0.003358045
RURAL,Q1,INDIA,ER,OD,2030,0.000838721
RURAL,Q2,INDIA,ER,OD,2030,0.001138125
RURAL,Q3,INDIA,ER,OD,2030,0.001593304
RURAL,Q4,INDIA,ER,OD,2030,0.001985749
RURAL,Q5,INDIA,ER,OD,2030,0.003472629
URBAN,Q1,INDIA,ER,OD,2030,0.002829404
URBAN,Q2,INDIA,ER,OD,2030,0.003736848
URBAN,Q3,INDIA,ER,OD,2030,0.00433995
URBAN,Q4,INDIA,ER,OD,2030,0.004359569
URBAN,Q5,INDIA,ER,OD,2030,0.004359569
RURAL,Q1,INDIA,ER,OD,2031,0.000832447
RURAL,Q2,INDIA,ER,OD,2031,0.001136834
RURAL,Q3,INDIA,ER,OD,2031,0.001599355
RURAL,Q4,INDIA,ER,OD,2031,0.001999861
RURAL,Q5,INDIA,ER,OD,2031,0.003463933
URBAN,Q1,INDIA,ER,OD,2031,0.00383667
URBAN,Q2,INDIA,ER,OD,2031,0.004956532
URBAN,Q3,INDIA,ER,OD,2031,0.005666745
URBAN,Q4,INDIA,ER,OD,2031,0.005666745
URBAN,Q5,INDIA,ER,OD,2031,0.005666745
RURAL,Q1,INDIA,ER,WB,2021,0.000392683
