ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q1,INDIA,NER,AS,2021,0.001650489
RURAL,Q2,INDIA,NER,AS,2021,0.002398664
RURAL,Q3,INDIA,NER,AS,2021,0.003108855
RURAL,Q4,INDIA,NER,AS,2021,0.004147223
RURAL,Q5,INDIA,NER,AS,2021,0.007731455
URBAN,Q1,INDIA,NER,AS,2021,0.005422844
URBAN,Q2,INDIA,NER,AS,2021,0.01033446
URBAN,Q3,INDIA,NER,AS,2021,0.015699284
URBAN,Q4,INDIA,NER,AS,2021,0.026184609
URBAN,Q5,INDIA,NER,AS,2021,0.064606277
RURAL,Q1,INDIA,NER,AS,2022,0.001795806
RURAL,Q2,INDIA,NER,AS,2022,0.002616613
RURAL,Q3,INDIA,NER,AS,2022,0.003412393
RURAL,Q4,INDIA,NER,AS,2022,0.004551172
RURAL,Q5,INDIA,NER,AS,2022,0.008478265
URBAN,Q1,INDIA,NER,AS,2022,0.005895833
URBAN,Q2,INDIA,NER,AS,2022,0.011255075
URBAN,Q3,INDIA,NER,AS,2022,0.017184297
URBAN,Q4,INDIA,NER,AS,2022,0.028596266
URBAN,Q5,INDIA,NER,AS,2022,0.070039422
RURAL,Q1,INDIA,NER,AS,2023,0.002023352
RURAL,Q2,INDIA,NER,AS,2023,0.002954709
RURAL,Q3,INDIA,NER,AS,2023,0.00387388
RURAL,Q4,INDIA,NER,AS,2023,0.005165633
RURAL,Q5,INDIA,NER,AS,2023,0.009616303
URBAN,Q1,INDIA,NER,AS,2023,0.006744963
URBAN,Q2,INDIA,NER,AS,2023,0.012894134
URBAN,Q3,INDIA,NER,AS,2023,0.019770612
URBAN,Q4,INDIA,NER,AS,2023,0.032830646
URBAN,Q5,INDIA,NER,AS,2023,0.079862347
RURAL,Q1,INDIA,NER,AS,2024,0.002301306
RURAL,Q2,INDIA,NER,AS,2024,0.003368967
RURAL,Q3,INDIA,NER,AS,2024,0.004443477
RURAL,Q4,INDIA,NER,AS,2024,0.005923708
RURAL,Q5,INDIA,NER,AS,2024,0.011018202
URBAN,Q1,INDIA,NER,AS,2024,0.007788216
URBAN,Q2,INDIA,NER,AS,2024,0.014910662
URBAN,Q3,INDIA,NER,AS,2024,0.022969068
URBAN,Q4,INDIA,NER,AS,2024,0.038043692
URBAN,Q5,INDIA,NER,AS,2024,0.091774279
RURAL,Q1,INDIA,NER,AS,2025,0.002613092
RURAL,Q2,INDIA,NER,AS,2025,0.003834671
RURAL,Q3,INDIA,NER,AS,2025,0.005087319
RURAL,Q4,INDIA,NER,AS,2025,0.006780245
RURAL,Q5,INDIA,NER,AS,2025,0.012599969
URBAN,Q1,INDIA,NER,AS,2025,0.008977406
URBAN,Q2,INDIA,NER,AS,2025,0.017210783
URBAN,Q3,INDIA,NER,AS,2025,0.026629491
URBAN,Q4,INDIA,NER,AS,2025,0.04398593
URBAN,Q5,INDIA,NER,AS,2025,0.105175429
RURAL,Q1,INDIA,NER,AS,2026,0.002964134
RURAL,Q2,INDIA,NER,AS,2026,0.004360162
RURAL,Q3,INDIA,NER,AS,2026,0.005817781
RURAL,Q4,INDIA,NER,AS,2026,0.007751589
RURAL,Q5,INDIA,NER,AS,2026,0.014391033
URBAN,Q1,INDIA,NER,AS,2026,0.01033712
URBAN,Q2,INDIA,NER,AS,2026,0.019842112
URBAN,Q3,INDIA,NER,AS,2026,0.030830168
URBAN,Q4,INDIA,NER,AS,2026,0.050776026
URBAN,Q5,INDIA,NER,AS,2026,0.12027591
RURAL,Q1,INDIA,NER,AS,2027,0.003358162
RURAL,Q2,INDIA,NER,AS,2027,0.004951248
RURAL,Q3,INDIA,NER,AS,2027,0.006643777
RURAL,Q4,INDIA,NER,AS,2027,0.008849452
RURAL,Q5,INDIA,NER,AS,2027,0.016412119
URBAN,Q1,INDIA,NER,AS,2027,0.011887268
URBAN,Q2,INDIA,NER,AS,2027,0.022843025
URBAN,Q3,INDIA,NER,AS,2027,0.035634382
URBAN,Q4,INDIA,NER,AS,2027,0.058506732
URBAN,Q5,INDIA,NER,AS,2027,0.137219597
RURAL,Q1,INDIA,NER,AS,2028,0.003803779
RURAL,Q2,INDIA,NER,AS,2028,0.005621161
RURAL,Q3,INDIA,NER,AS,2028,0.007584979
RURAL,Q4,INDIA,NER,AS,2028,0.010099791
RURAL,Q5,INDIA,NER,AS,2028,0.018709817
URBAN,Q1,INDIA,NER,AS,2028,0.013665953
URBAN,Q2,INDIA,NER,AS,2028,0.026287118
URBAN,Q3,INDIA,NER,AS,2028,0.041162909
URBAN,Q4,INDIA,NER,AS,2028,0.067359221
URBAN,Q5,INDIA,NER,AS,2028,0.156318365
RURAL,Q1,INDIA,NER,AS,2029,0.004307619
RURAL,Q2,INDIA,NER,AS,2029,0.006380206
RURAL,Q3,INDIA,NER,AS,2029,0.008657092
RURAL,Q4,INDIA,NER,AS,2029,0.011523236
RURAL,Q5,INDIA,NER,AS,2029,0.021320602
URBAN,Q1,INDIA,NER,AS,2029,0.015706134
URBAN,Q2,INDIA,NER,AS,2029,0.030237682
URBAN,Q3,INDIA,NER,AS,2029,0.047519644
URBAN,Q4,INDIA,NER,AS,2029,0.077484316
URBAN,Q5,INDIA,NER,AS,2029,0.17780172
RURAL,Q1,INDIA,NER,AS,2030,0.004877152
RURAL,Q2,INDIA,NER,AS,2030,0.007239997
RURAL,Q3,INDIA,NER,AS,2030,0.009877897
RURAL,Q4,INDIA,NER,AS,2030,0.01314311
RURAL,Q5,INDIA,NER,AS,2030,0.024285487
URBAN,Q1,INDIA,NER,AS,2030,0.018045377
URBAN,Q2,INDIA,NER,AS,2030,0.034766605
URBAN,Q3,INDIA,NER,AS,2030,0.054822228
URBAN,Q4,INDIA,NER,AS,2030,0.089050594
URBAN,Q5,INDIA,NER,AS,2030,0.201915896
RURAL,Q1,INDIA,NER,AS,2031,0.005520782
RURAL,Q2,INDIA,NER,AS,2031,0.008213621
RURAL,Q3,INDIA,NER,AS,2031,0.011267511
RURAL,Q4,INDIA,NER,AS,2031,0.014985757
RURAL,Q5,INDIA,NER,AS,2031,0.027650532
URBAN,Q1,INDIA,NER,AS,2031,0.02072648
URBAN,Q2,INDIA,NER,AS,2031,0.039955448
URBAN,Q3,INDIA,NER,AS,2031,0.063203619
URBAN,Q4,INDIA,NER,AS,2031,0.102245962
URBAN,Q5,INDIA,NER,AS,2031,0.228923937
RURAL,Q1,INDIA,NER,NE,2021,0.001761991
RURAL,Q2,INDIA,NER,NE,2021,0.002664369
RURAL,Q3,INDIA,NER,NE,2021,0.00351947
RURAL,Q4,INDIA,NER,NE,2021,0.004868229
RURAL,Q5,INDIA,NER,NE,2021,0.009088696
URBAN,Q1,INDIA,NER,NE,2021,0.00744635
URBAN,Q2,INDIA,NER,NE,2021,0.012556177
URBAN,Q3,INDIA,NER,NE,2021,0.019261289
URBAN,Q4,INDIA,NER,NE,2021,0.028408927
URBAN,Q5,INDIA,NER,NE,2021,0.051202814
RURAL,Q1,INDIA,NER,NE,2022,0.001849433
RURAL,Q2,INDIA,NER,NE,2022,0.002800243
RURAL,Q3,INDIA,NER,NE,2022,0.003712312
RURAL,Q4,INDIA,NER,NE,2022,0.005134412
RURAL,Q5,INDIA,NER,NE,2022,0.009582363
URBAN,Q1,INDIA,NER,NE,2022,0.007811814
URBAN,Q2,INDIA,NER,NE,2022,0.013188983
URBAN,Q3,INDIA,NER,NE,2022,0.020296646
URBAN,Q4,INDIA,NER,NE,2022,0.02991794
URBAN,Q5,INDIA,NER,NE,2022,0.053841646
RURAL,Q1,INDIA,NER,NE,2023,0.001958108
RURAL,Q2,INDIA,NER,NE,2023,0.002968155
RURAL,Q3,INDIA,NER,NE,2023,0.0039473
RURAL,Q4,INDIA,NER,NE,2023,0.005458872
RURAL,Q5,INDIA,NER,NE,2023,0.010184712
URBAN,Q1,INDIA,NER,NE,2023,0.008201157
URBAN,Q2,INDIA,NER,NE,2023,0.013861323
URBAN,Q3,INDIA,NER,NE,2023,0.021390277
URBAN,Q4,INDIA,NER,NE,2023,0.031512624
URBAN,Q5,INDIA,NER,NE,2023,0.056633956
RURAL,Q1,INDIA,NER,NE,2024,0.002085345
RURAL,Q2,INDIA,NER,NE,2024,0.003165092
RURAL,Q3,INDIA,NER,NE,2024,0.00422424
RURAL,Q4,INDIA,NER,NE,2024,0.005841163
RURAL,Q5,INDIA,NER,NE,2024,0.01089388
URBAN,Q1,INDIA,NER,NE,2024,0.008659787
URBAN,Q2,INDIA,NER,NE,2024,0.014654253
URBAN,Q3,INDIA,NER,NE,2024,0.022684274
URBAN,Q4,INDIA,NER,NE,2024,0.033397008
URBAN,Q5,INDIA,NER,NE,2024,0.059922807
RURAL,Q1,INDIA,NER,NE,2025,0.002219903
RURAL,Q2,INDIA,NER,NE,2025,0.003373605
RURAL,Q3,INDIA,NER,NE,2025,0.004518448
RURAL,Q4,INDIA,NER,NE,2025,0.006247204
RURAL,Q5,INDIA,NER,NE,2025,0.011646602
URBAN,Q1,INDIA,NER,NE,2025,0.009140058
URBAN,Q2,INDIA,NER,NE,2025,0.015485312
URBAN,Q3,INDIA,NER,NE,2025,0.024043925
URBAN,Q4,INDIA,NER,NE,2025,0.035374529
URBAN,Q5,INDIA,NER,NE,2025,0.063363603
RURAL,Q1,INDIA,NER,NE,2026,0.002363019
RURAL,Q2,INDIA,NER,NE,2026,0.003595647
RURAL,Q3,INDIA,NER,NE,2026,0.004832822
RURAL,Q4,INDIA,NER,NE,2026,0.006680977
RURAL,Q5,INDIA,NER,NE,2026,0.012450162
URBAN,Q1,INDIA,NER,NE,2026,0.009646302
URBAN,Q2,INDIA,NER,NE,2026,0.016362047
URBAN,Q3,INDIA,NER,NE,2026,0.025481885
URBAN,Q4,INDIA,NER,NE,2026,0.0374632
URBAN,Q5,INDIA,NER,NE,2026,0.066986045
RURAL,Q1,INDIA,NER,NE,2027,0.002514894
RURAL,Q2,INDIA,NER,NE,2027,0.003831556
RURAL,Q3,INDIA,NER,NE,2027,0.005167961
RURAL,Q4,INDIA,NER,NE,2027,0.007143292
RURAL,Q5,INDIA,NER,NE,2027,0.013305961
URBAN,Q1,INDIA,NER,NE,2027,0.01017854
URBAN,Q2,INDIA,NER,NE,2027,0.017284529
URBAN,Q3,INDIA,NER,NE,2027,0.026998529
URBAN,Q4,INDIA,NER,NE,2027,0.039663138
URBAN,Q5,INDIA,NER,NE,2027,0.070788621
RURAL,Q1,INDIA,NER,NE,2028,0.002677609
RURAL,Q2,INDIA,NER,NE,2028,0.004084612
RURAL,Q3,INDIA,NER,NE,2028,0.005528725
RURAL,Q4,INDIA,NER,NE,2028,0.007640829
RURAL,Q5,INDIA,NER,NE,2028,0.014226222
URBAN,Q1,INDIA,NER,NE,2028,0.010744215
URBAN,Q2,INDIA,NER,NE,2028,0.018265734
URBAN,Q3,INDIA,NER,NE,2028,0.028615618
URBAN,Q4,INDIA,NER,NE,2028,0.042005343
URBAN,Q5,INDIA,NER,NE,2028,0.074822597
RURAL,Q1,INDIA,NER,NE,2029,0.002851996
RURAL,Q2,INDIA,NER,NE,2029,0.004356152
RURAL,Q3,INDIA,NER,NE,2029,0.00591721
RURAL,Q4,INDIA,NER,NE,2029,0.00817645
RURAL,Q5,INDIA,NER,NE,2029,0.015216082
URBAN,Q1,INDIA,NER,NE,2029,0.011345594
URBAN,Q2,INDIA,NER,NE,2029,0.01930965
URBAN,Q3,INDIA,NER,NE,2029,0.030340124
URBAN,Q4,INDIA,NER,NE,2029,0.04449926
URBAN,Q5,INDIA,NER,NE,2029,0.07910162
RURAL,Q1,INDIA,NER,NE,2030,0.003038953
RURAL,Q2,INDIA,NER,NE,2030,0.004647623
RURAL,Q3,INDIA,NER,NE,2030,0.006335689
RURAL,Q4,INDIA,NER,NE,2030,0.008753257
RURAL,Q5,INDIA,NER,NE,2030,0.016281093
URBAN,Q1,INDIA,NER,NE,2030,0.0119851
URBAN,Q2,INDIA,NER,NE,2030,0.020420537
URBAN,Q3,INDIA,NER,NE,2030,0.032179489
URBAN,Q4,INDIA,NER,NE,2030,0.047154915
URBAN,Q5,INDIA,NER,NE,2030,0.083639949
RURAL,Q1,INDIA,NER,NE,2031,0.003239451
RURAL,Q2,INDIA,NER,NE,2031,0.004960587
RURAL,Q3,INDIA,NER,NE,2031,0.006786628
RURAL,Q4,INDIA,NER,NE,2031,0.009374613
