EnergyCarrier,Year,CostOfCarrier
COKING_COAL,2021,534323.6264932096
COKING_COAL,2022,566969.3059249319
COKING_COAL,2023,593209.1852621726
COKING_COAL,2024,623500.8245744426
COKING_COAL,2025,655622.1973971784
COKING_COAL,2026,687779.835939966
COKING_COAL,2027,720814.0157797447
COKING_COAL,2028,755404.5529509252
COKING_COAL,2029,791623.3660317677
COKING_COAL,2030,829545.637552272
COKING_COAL,2031,869249.9615863223
STEAM_COAL,2021,3170871.3511222005
STEAM_COAL,2022,3297909.9078561906
STEAM_COAL,2023,3241770.563061529
STEAM_COAL,2024,3254384.547974848
STEAM_COAL,2025,3292931.3692213222
STEAM_COAL,2026,3267369.2974261334
STEAM_COAL,2027,3258755.509188734
STEAM_COAL,2028,3286865.614887626
STEAM_COAL,2029,3362150.4940189123
STEAM_COAL,2030,3402669.7763088904
STEAM_COAL,2031,3526833.460764911
NATGAS,2021,433872.0606888131
NATGAS,2022,474567.0754767608
NATGAS,2023,506278.0440886492
NATGAS,2024,553135.177437644
NATGAS,2025,601232.9461679352
NATGAS,2026,665390.0011197316
NATGAS,2027,749041.848540905
NATGAS,2028,798870.0916335176
NATGAS,2029,879734.1851081625
NATGAS,2030,954651.0402520633
NATGAS,2031,1000677.784581166
BIOGAS,2021,17486.269784764583
BIOGAS,2022,16666.012722169206
BIOGAS,2023,16237.573934834092
BIOGAS,2024,16076.995142802776
BIOGAS,2025,16021.046013762725
BIOGAS,2026,16040.834298288622
BIOGAS,2027,15986.069109698987
BIOGAS,2028,15987.603126352398
BIOGAS,2029,16003.697754758301
BIOGAS,2030,16016.170030876023
BIOGAS,2031,16020.568166410008
BIOMASS,2021,1083000.4217859688
BIOMASS,2022,1091694.9471067528
BIOMASS,2023,1101209.220324925
BIOMASS,2024,1111665.3200961205
BIOMASS,2025,1119882.723551078
BIOMASS,2026,1128549.948167408
BIOMASS,2027,1138333.1816877094
BIOMASS,2028,1148354.6255638395
BIOMASS,2029,1158281.7723038648
BIOMASS,2030,1172226.0637271355
BIOMASS,2031,1187913.4602756575
CRUDE,2021,4591178.468319222
CRUDE,2022,5135544.974637801
CRUDE,2023,5981111.27228088
CRUDE,2024,6503239.578614133
CRUDE,2025,7072002.464910175
CRUDE,2026,7667209.32627981
CRUDE,2027,8303231.649470458
CRUDE,2028,8987128.847838376
CRUDE,2029,9721896.239989506
CRUDE,2030,10509407.96022195
CRUDE,2031,11352061.217857048
ELECTRICITY,2021,3922739.087953295
ELECTRICITY,2022,4198824.008435514
ELECTRICITY,2023,4371590.996075035
ELECTRICITY,2024,4658062.001702611
ELECTRICITY,2025,4900289.852239231
ELECTRICITY,2026,5153436.1541531775
ELECTRICITY,2027,5393797.873991636
ELECTRICITY,2028,5664599.73900079
ELECTRICITY,2029,6046248.287414553
ELECTRICITY,2030,6472082.367936734
ELECTRICITY,2031,6811521.950281331
MS,2021,2152944.654169527
MS,2022,2352789.5863279747
MS,2023,2533433.7298810184
MS,2024,2746672.6787911938
MS,2025,2965687.7815652057
MS,2026,3191555.0214032666
MS,2027,3422991.05265943
MS,2028,3662522.045272864
MS,2029,3909844.4793874123
MS,2030,4164627.252446057
MS,2031,4426514.30578154
HSD,2021,4484704.1343202405
HSD,2022,4599212.7467245795
HSD,2023,4701106.079684822
HSD,2024,4816755.3805277385
HSD,2025,4932545.7615934
HSD,2026,5049248.110304984
HSD,2027,5166502.315734508
HSD,2028,5285649.726364124
HSD,2029,5406699.241087003
HSD,2030,5529659.529989065
HSD,2031,5654539.042911077
ATF,2021,105952.73123981353
ATF,2022,112548.70058795459
ATF,2023,118494.29612716554
ATF,2024,125534.35663138104
ATF,2025,132783.0478444694
ATF,2026,140295.95762408237
ATF,2027,148049.84341027777
ATF,2028,156150.4471673876
ATF,2029,164608.84024641284
ATF,2030,173436.24379669293
ATF,2031,182644.02268271617
LPG,2021,228037.30510595875
LPG,2022,238921.14661958374
LPG,2023,250826.93996489386
LPG,2024,261116.16913362694
LPG,2025,271411.6373102143
LPG,2026,281483.01162335323
LPG,2027,291287.56659028353
LPG,2028,300818.151171925
LPG,2029,310027.51568322233
LPG,2030,318622.01796061784
LPG,2031,326402.7316480291
PP_OTHER,2021,112637.39520212846
PP_OTHER,2022,128993.51620294474
PP_OTHER,2023,153413.03596468264
PP_OTHER,2024,170685.4030380806
PP_OTHER,2025,189855.1848802233
PP_OTHER,2026,210479.96320353495
PP_OTHER,2027,233003.49576255324
PP_OTHER,2028,257777.525039321
PP_OTHER,2029,284989.79979234905
PP_OTHER,2030,314841.4352554318
PP_OTHER,2031,347547.77277629107
