EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeographySrc,SubGeography1Src,ModelGeographyDest,SubGeography1Dest,ImpSupplyFromTo
COKING_COAL,2021,,,,INDIA,ER,INDIA,ER,44.31962890307316
COKING_COAL,2021,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2021,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2021,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2021,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2021,,,,INDIA,WR,INDIA,WR,2.8579213491385267
COKING_COAL,2021,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2021,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2021,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2021,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2021,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2021,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2021,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2021,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2021,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,INDIA,SR,0.9385418637586059
COKING_COAL,2021,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2021,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2021,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2021,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,NER,INDIA,SR,0.0
COKING_COAL,2021,,,,INDIA,NER,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,INDIA,ER,46.36830032208648
COKING_COAL,2022,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2022,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2022,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2022,,,,INDIA,WR,INDIA,WR,3.031806724388559
COKING_COAL,2022,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2022,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2022,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2022,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2022,,,,INDIA,NR,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,SR,INDIA,ER,0.0
COKING_COAL,2022,,,,INDIA,SR,INDIA,WR,0.0
COKING_COAL,2022,,,,INDIA,SR,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,INDIA,SR,0.9946994207616358
COKING_COAL,2022,,,,INDIA,SR,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,NER,INDIA,ER,0.0
COKING_COAL,2022,,,,INDIA,NER,INDIA,WR,0.0
COKING_COAL,2022,,,,INDIA,NER,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,NER,INDIA,SR,0.0
COKING_COAL,2022,,,,INDIA,NER,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,INDIA,ER,48.13432649859089
COKING_COAL,2023,,,,INDIA,ER,INDIA,WR,0.0
COKING_COAL,2023,,,,INDIA,ER,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,ER,INDIA,SR,0.0
COKING_COAL,2023,,,,INDIA,ER,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,WR,INDIA,ER,0.0
COKING_COAL,2023,,,,INDIA,WR,INDIA,WR,3.1915108078912557
COKING_COAL,2023,,,,INDIA,WR,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,WR,INDIA,SR,0.0
COKING_COAL,2023,,,,INDIA,WR,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,NR,INDIA,ER,0.0
COKING_COAL,2023,,,,INDIA,NR,INDIA,WR,0.0
COKING_COAL,2023,,,,INDIA,NR,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,NR,INDIA,SR,0.0
COKING_COAL,2023,,,,INDIA,NR,INDIA,NER,0.0
