EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,PECCostInBT_BA
COKING_COAL,2021,,,,INDIA,ER,491375.1468489418
COKING_COAL,2021,,,,INDIA,WR,32421.90935911106
COKING_COAL,2021,,,,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,10526.570285156697
COKING_COAL,2021,,,,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,520832.7014355472
COKING_COAL,2022,,,,INDIA,WR,34835.50948358703
COKING_COAL,2022,,,,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,11301.095005797728
COKING_COAL,2022,,,,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,544332.3473087365
COKING_COAL,2023,,,,INDIA,WR,36913.36648409842
COKING_COAL,2023,,,,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,SR,11963.471469337695
COKING_COAL,2023,,,,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,ER,571478.7552901822
COKING_COAL,2024,,,,INDIA,WR,39299.35033343163
COKING_COAL,2024,,,,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,12722.718950828821
COKING_COAL,2024,,,,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,600226.9211765174
COKING_COAL,2025,,,,INDIA,WR,41859.788545910145
COKING_COAL,2025,,,,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,13535.487674750833
COKING_COAL,2025,,,,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,628925.9013152398
COKING_COAL,2026,,,,INDIA,WR,44487.652008851444
COKING_COAL,2026,,,,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,14366.282615874798
COKING_COAL,2026,,,,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,658342.415497991
COKING_COAL,2027,,,,INDIA,WR,47238.6711396252
COKING_COAL,2027,,,,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,15232.929142128429
COKING_COAL,2027,,,,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,689091.7208902006
COKING_COAL,2028,,,,INDIA,WR,50161.99639462837
COKING_COAL,2028,,,,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,SR,16150.83566609624
COKING_COAL,2028,,,,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,ER,721231.8467675099
COKING_COAL,2029,,,,INDIA,WR,53268.55682763017
COKING_COAL,2029,,,,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,SR,17122.962436627608
COKING_COAL,2029,,,,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,ER,754823.2205101858
COKING_COAL,2030,,,,INDIA,WR,56569.98135625474
COKING_COAL,2030,,,,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,SR,18152.43568583131
COKING_COAL,2030,,,,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,ER,789928.7612070891
COKING_COAL,2031,,,,INDIA,WR,60078.64374719144
COKING_COAL,2031,,,,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,SR,19242.556632041862
COKING_COAL,2031,,,,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,ER,800759.9880907306
STEAM_COAL,2021,,,,INDIA,WR,1053009.87404475
STEAM_COAL,2021,,,,INDIA,NR,437405.1593698039
STEAM_COAL,2021,,,,INDIA,SR,866390.8421086929
STEAM_COAL,2021,,,,INDIA,NER,13123.936665461071
STEAM_COAL,2022,,,,INDIA,ER,839516.0206572344
STEAM_COAL,2022,,,,INDIA,WR,1109256.375634659
STEAM_COAL,2022,,,,INDIA,NR,391898.809077022
STEAM_COAL,2022,,,,INDIA,SR,944432.01662477
STEAM_COAL,2022,,,,INDIA,NER,12617.431926463933
STEAM_COAL,2023,,,,INDIA,ER,897684.8048620021
STEAM_COAL,2023,,,,INDIA,WR,1168507.9641515405
STEAM_COAL,2023,,,,INDIA,NR,333656.23227384867
STEAM_COAL,2023,,,,INDIA,SR,833192.357989809
STEAM_COAL,2023,,,,INDIA,NER,8539.490426604116
STEAM_COAL,2024,,,,INDIA,ER,936398.614327626
STEAM_COAL,2024,,,,INDIA,WR,1230984.9841065693
STEAM_COAL,2024,,,,INDIA,NR,278266.19462999504
STEAM_COAL,2024,,,,INDIA,SR,801369.4240800651
STEAM_COAL,2024,,,,INDIA,NER,7172.9909862841805
STEAM_COAL,2025,,,,INDIA,ER,965165.031287087
STEAM_COAL,2025,,,,INDIA,WR,1199962.3075838687
STEAM_COAL,2025,,,,INDIA,NR,303305.84820658044
STEAM_COAL,2025,,,,INDIA,SR,817545.404244568
STEAM_COAL,2025,,,,INDIA,NER,6758.125587588493
STEAM_COAL,2026,,,,INDIA,ER,966981.9143100585
STEAM_COAL,2026,,,,INDIA,WR,1270927.4740933124
STEAM_COAL,2026,,,,INDIA,NR,229651.67995734862
STEAM_COAL,2026,,,,INDIA,SR,795708.2202727114
STEAM_COAL,2026,,,,INDIA,NER,3907.1457233001875
STEAM_COAL,2027,,,,INDIA,ER,940435.6225323622
STEAM_COAL,2027,,,,INDIA,WR,1288920.2661343934
STEAM_COAL,2027,,,,INDIA,NR,263857.0765995482
STEAM_COAL,2027,,,,INDIA,SR,760826.4390777969
STEAM_COAL,2027,,,,INDIA,NER,4527.267059367885
STEAM_COAL,2028,,,,INDIA,ER,923750.4403303479
STEAM_COAL,2028,,,,INDIA,WR,1317802.3469386469
STEAM_COAL,2028,,,,INDIA,NR,286673.04199477995
STEAM_COAL,2028,,,,INDIA,SR,753216.5818454543
STEAM_COAL,2028,,,,INDIA,NER,5235.930369312611
STEAM_COAL,2029,,,,INDIA,ER,951611.9718857466
STEAM_COAL,2029,,,,INDIA,WR,1327589.258013671
STEAM_COAL,2029,,,,INDIA,NR,316370.7651478407
STEAM_COAL,2029,,,,INDIA,SR,761010.781281329
STEAM_COAL,2029,,,,INDIA,NER,5376.414086657337
STEAM_COAL,2030,,,,INDIA,ER,984646.4715355709
STEAM_COAL,2030,,,,INDIA,WR,1340423.0885117874
STEAM_COAL,2030,,,,INDIA,NR,323196.53462646867
STEAM_COAL,2030,,,,INDIA,SR,748052.6912423358
STEAM_COAL,2030,,,,INDIA,NER,6158.9174965277325
STEAM_COAL,2031,,,,INDIA,ER,996777.8669542188
STEAM_COAL,2031,,,,INDIA,WR,1392405.0069530974
STEAM_COAL,2031,,,,INDIA,NR,374185.89229622314
STEAM_COAL,2031,,,,INDIA,SR,755441.5119352656
STEAM_COAL,2031,,,,INDIA,NER,7826.370740716384
NATGAS,2021,,,,INDIA,,433871.9742146609
NATGAS,2022,,,,INDIA,,474567.0232404279
NATGAS,2023,,,,INDIA,,506278.0440886492
NATGAS,2024,,,,INDIA,,553135.1540814298
NATGAS,2025,,,,INDIA,,601232.9166405185
NATGAS,2026,,,,INDIA,,665389.8542735601
NATGAS,2027,,,,INDIA,,749041.4559011103
NATGAS,2028,,,,INDIA,,798869.7800253897
NATGAS,2029,,,,INDIA,,879733.724765568
NATGAS,2030,,,,INDIA,,954650.5232627257
NATGAS,2031,,,,INDIA,,1000677.5056902799
BIOGAS,2021,,,,INDIA,,17486.269784764583
