Year,ModelGeography,SubGeography1,ConsumerType1,EnergyDemand
2021,INDIA,ER,ALL,1635.9484880333712
2021,INDIA,WR,ALL,1538.5911068782775
2021,INDIA,NR,ALL,442.3802889378056
2021,INDIA,SR,ALL,477.9781206720803
2021,INDIA,NER,ALL,9.242469309843653
2022,INDIA,ER,ALL,1720.5171760092328
2022,INDIA,WR,ALL,1635.1856803557177
2022,INDIA,NR,ALL,468.27411113274854
2022,INDIA,SR,ALL,507.6205877102345
2022,INDIA,NER,ALL,9.800611738022507
2023,INDIA,ER,ALL,1791.3186811526919
2023,INDIA,WR,ALL,1720.447378999023
2023,INDIA,NR,ALL,490.7013643222677
2023,INDIA,SR,ALL,533.6653684268402
2023,INDIA,NER,ALL,10.289178442814372
2024,INDIA,ER,ALL,1850.2990190636376
2024,INDIA,WR,ALL,1795.9015194047247
2024,INDIA,NR,ALL,510.13060729011073
2024,INDIA,SR,ALL,556.5874871698127
2024,INDIA,NER,ALL,10.717800946555927
2025,INDIA,ER,ALL,1909.7562498415505
2025,INDIA,WR,ALL,1873.365025624492
2025,INDIA,NR,ALL,529.9276747188277
2025,INDIA,SR,ALL,580.0463980656713
2025,INDIA,NER,ALL,11.157226427538836
2026,INDIA,ER,ALL,1970.2509570803745
2026,INDIA,WR,ALL,1953.4521160545091
2026,INDIA,NR,ALL,550.2551560824589
2026,INDIA,SR,ALL,604.224505241203
2026,INDIA,NER,ALL,11.61112378246641
2027,INDIA,ER,ALL,2031.5284491640298
2027,INDIA,WR,ALL,2035.9803850448827
2027,INDIA,NR,ALL,571.0497115956136
2027,INDIA,SR,ALL,629.0570957566696
2027,INDIA,NER,ALL,12.078421067429685
2028,INDIA,ER,ALL,2094.610469233228
2028,INDIA,WR,ALL,2122.0603848916526
2028,INDIA,NR,ALL,592.6088489279971
2028,INDIA,SR,ALL,654.8780841249916
2028,INDIA,NER,ALL,12.565710692849475
2029,INDIA,ER,ALL,2159.5462329952566
2029,INDIA,WR,ALL,2211.847785359256
2029,INDIA,NR,ALL,614.9596907896745
2029,INDIA,SR,ALL,681.7251858997703
2029,INDIA,NER,ALL,13.073909787006714
2030,INDIA,ER,ALL,2226.386144400886
2030,INDIA,WR,ALL,2305.505141746211
2030,INDIA,NR,ALL,638.1302747681908
2030,INDIA,SR,ALL,709.6374750684872
2030,INDIA,NER,ALL,13.60398197706135
2031,INDIA,ER,ALL,2295.1818228953175
2031,INDIA,WR,ALL,2403.2021962003687
2031,INDIA,NR,ALL,662.149581730069
2031,INDIA,SR,ALL,738.6554291382081
2031,INDIA,NER,ALL,14.15694001761815
