Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,0.0
2021,INDIA,ER,BR,RURAL,Q2,0.0
2021,INDIA,ER,BR,RURAL,Q3,0.0
2021,INDIA,ER,BR,RURAL,Q4,0.0
2021,INDIA,ER,BR,RURAL,Q5,0.0
2021,INDIA,ER,BR,URBAN,Q1,0.0
2021,INDIA,ER,BR,URBAN,Q2,0.0
2021,INDIA,ER,BR,URBAN,Q3,0.0
2021,INDIA,ER,BR,URBAN,Q4,0.0
2021,INDIA,ER,BR,URBAN,Q5,0.0
2021,INDIA,ER,JH,RURAL,Q1,0.0
2021,INDIA,ER,JH,RURAL,Q2,0.0
2021,INDIA,ER,JH,RURAL,Q3,0.0
2021,INDIA,ER,JH,RURAL,Q4,0.0
2021,INDIA,ER,JH,RURAL,Q5,0.0
2021,INDIA,ER,JH,URBAN,Q1,0.0
2021,INDIA,ER,JH,URBAN,Q2,0.0
2021,INDIA,ER,JH,URBAN,Q3,0.0
2021,INDIA,ER,JH,URBAN,Q4,0.0
2021,INDIA,ER,JH,URBAN,Q5,0.0
2021,INDIA,ER,OD,RURAL,Q1,0.0
2021,INDIA,ER,OD,RURAL,Q2,0.0
2021,INDIA,ER,OD,RURAL,Q3,0.0
2021,INDIA,ER,OD,RURAL,Q4,0.0
2021,INDIA,ER,OD,RURAL,Q5,0.0
2021,INDIA,ER,OD,URBAN,Q1,0.0
2021,INDIA,ER,OD,URBAN,Q2,0.0
2021,INDIA,ER,OD,URBAN,Q3,0.0
2021,INDIA,ER,OD,URBAN,Q4,0.0
2021,INDIA,ER,OD,URBAN,Q5,0.0
2021,INDIA,ER,WB,RURAL,Q1,0.0
2021,INDIA,ER,WB,RURAL,Q2,0.0
2021,INDIA,ER,WB,RURAL,Q3,0.0
2021,INDIA,ER,WB,RURAL,Q4,0.0
2021,INDIA,ER,WB,RURAL,Q5,0.0
2021,INDIA,ER,WB,URBAN,Q1,0.0
2021,INDIA,ER,WB,URBAN,Q2,0.0
2021,INDIA,ER,WB,URBAN,Q3,0.0
2021,INDIA,ER,WB,URBAN,Q4,0.0
2021,INDIA,ER,WB,URBAN,Q5,0.0
2021,INDIA,WR,CG,RURAL,Q1,0.0
2021,INDIA,WR,CG,RURAL,Q2,0.0
2021,INDIA,WR,CG,RURAL,Q3,0.0
2021,INDIA,WR,CG,RURAL,Q4,0.0
2021,INDIA,WR,CG,RURAL,Q5,0.0
2021,INDIA,WR,CG,URBAN,Q1,0.0
2021,INDIA,WR,CG,URBAN,Q2,0.0
2021,INDIA,WR,CG,URBAN,Q3,0.0
2021,INDIA,WR,CG,URBAN,Q4,0.0
2021,INDIA,WR,CG,URBAN,Q5,0.0
2021,INDIA,WR,GJ,RURAL,Q1,0.0091186684596339
2021,INDIA,WR,GJ,RURAL,Q2,0.0097992131766774
2021,INDIA,WR,GJ,RURAL,Q3,0.0102453670516354
2021,INDIA,WR,GJ,RURAL,Q4,0.0095871824245931
2021,INDIA,WR,GJ,RURAL,Q5,0.009642916059715
2021,INDIA,WR,GJ,URBAN,Q1,3.277791777651361
2021,INDIA,WR,GJ,URBAN,Q2,2.5361010447129466
2021,INDIA,WR,GJ,URBAN,Q3,2.3190761365613244
2021,INDIA,WR,GJ,URBAN,Q4,1.720468021941442
2021,INDIA,WR,GJ,URBAN,Q5,2.509493567757836
2021,INDIA,WR,MP,RURAL,Q1,0.0
2021,INDIA,WR,MP,RURAL,Q2,0.0
2021,INDIA,WR,MP,RURAL,Q3,0.0
2021,INDIA,WR,MP,RURAL,Q4,0.0
2021,INDIA,WR,MP,RURAL,Q5,0.0
2021,INDIA,WR,MP,URBAN,Q1,0.0322077132139674
2021,INDIA,WR,MP,URBAN,Q2,0.0385821125897583
2021,INDIA,WR,MP,URBAN,Q3,0.03723240739524
2021,INDIA,WR,MP,URBAN,Q4,0.0280643011889788
2021,INDIA,WR,MP,URBAN,Q5,0.0230456048799976
2021,INDIA,WR,MH,RURAL,Q1,0.0
2021,INDIA,WR,MH,RURAL,Q2,0.0
2021,INDIA,WR,MH,RURAL,Q3,0.0
2021,INDIA,WR,MH,RURAL,Q4,0.0
2021,INDIA,WR,MH,RURAL,Q5,0.0
2021,INDIA,WR,MH,URBAN,Q1,2.029522407281998
2021,INDIA,WR,MH,URBAN,Q2,1.6581821010817823
2021,INDIA,WR,MH,URBAN,Q3,1.4028379177512298
2021,INDIA,WR,MH,URBAN,Q4,1.1891852869273631
2021,INDIA,WR,MH,URBAN,Q5,1.0603030322012483
2021,INDIA,WR,GA,RURAL,Q1,0.0
2021,INDIA,WR,GA,RURAL,Q2,0.0
2021,INDIA,WR,GA,RURAL,Q3,0.0
2021,INDIA,WR,GA,RURAL,Q4,0.0
2021,INDIA,WR,GA,RURAL,Q5,0.0
2021,INDIA,WR,GA,URBAN,Q1,0.0
2021,INDIA,WR,GA,URBAN,Q2,0.0
2021,INDIA,WR,GA,URBAN,Q3,0.0
2021,INDIA,WR,GA,URBAN,Q4,0.0
2021,INDIA,WR,GA,URBAN,Q5,0.0
2021,INDIA,WR,UT,RURAL,Q1,0.0
2021,INDIA,WR,UT,RURAL,Q2,0.0
2021,INDIA,WR,UT,RURAL,Q3,0.0
2021,INDIA,WR,UT,RURAL,Q4,0.0
2021,INDIA,WR,UT,RURAL,Q5,0.0
2021,INDIA,WR,UT,URBAN,Q1,0.2859939736792804
2021,INDIA,WR,UT,URBAN,Q2,0.1794607241361873
2021,INDIA,WR,UT,URBAN,Q3,0.1520010308653805
2021,INDIA,WR,UT,URBAN,Q4,0.1484957166539434
2021,INDIA,WR,UT,URBAN,Q5,0.1348335340199105
2021,INDIA,NR,DL,RURAL,Q1,0.0
2021,INDIA,NR,DL,RURAL,Q2,0.0
2021,INDIA,NR,DL,RURAL,Q3,0.0
2021,INDIA,NR,DL,RURAL,Q4,0.0
2021,INDIA,NR,DL,RURAL,Q5,0.0
2021,INDIA,NR,DL,URBAN,Q1,1.9945094539203587
2021,INDIA,NR,DL,URBAN,Q2,1.4929991776703804
2021,INDIA,NR,DL,URBAN,Q3,1.0244570463574036
2021,INDIA,NR,DL,URBAN,Q4,0.7927568131510242
2021,INDIA,NR,DL,URBAN,Q5,1.168012585807161
2021,INDIA,NR,HR,RURAL,Q1,0.0
2021,INDIA,NR,HR,RURAL,Q2,0.0
2021,INDIA,NR,HR,RURAL,Q3,0.0
2021,INDIA,NR,HR,RURAL,Q4,0.0
2021,INDIA,NR,HR,RURAL,Q5,0.0
2021,INDIA,NR,HR,URBAN,Q1,0.1206755189178965
2021,INDIA,NR,HR,URBAN,Q2,0.1192471410165599
2021,INDIA,NR,HR,URBAN,Q3,0.1226668376968339
2021,INDIA,NR,HR,URBAN,Q4,0.0975920249575187
2021,INDIA,NR,HR,URBAN,Q5,0.0900877337477318
2021,INDIA,NR,HP,RURAL,Q1,0.0
2021,INDIA,NR,HP,RURAL,Q2,0.0
2021,INDIA,NR,HP,RURAL,Q3,0.0
2021,INDIA,NR,HP,RURAL,Q4,0.0
2021,INDIA,NR,HP,RURAL,Q5,0.0
2021,INDIA,NR,HP,URBAN,Q1,0.0
2021,INDIA,NR,HP,URBAN,Q2,0.0
2021,INDIA,NR,HP,URBAN,Q3,0.0
2021,INDIA,NR,HP,URBAN,Q4,0.0
2021,INDIA,NR,HP,URBAN,Q5,0.0
2021,INDIA,NR,JK,RURAL,Q1,0.0
2021,INDIA,NR,JK,RURAL,Q2,0.0
