Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,0.3905058611367201
2021,INDIA,ER,BR,RURAL,Q2,0.366315778715793
2021,INDIA,ER,BR,RURAL,Q3,0.3439486917475837
2021,INDIA,ER,BR,RURAL,Q4,0.3854521534196796
2021,INDIA,ER,BR,RURAL,Q5,0.42374116136288237
2021,INDIA,ER,BR,URBAN,Q1,0.0182003105116958
2021,INDIA,ER,BR,URBAN,Q2,0.021190212365467063
2021,INDIA,ER,BR,URBAN,Q3,0.02089884516826471
2021,INDIA,ER,BR,URBAN,Q4,0.01926024585849608
2021,INDIA,ER,BR,URBAN,Q5,0.012656941644076266
2021,INDIA,ER,JH,RURAL,Q1,0.005324035232995283
2021,INDIA,ER,JH,RURAL,Q2,0.007759791103784926
2021,INDIA,ER,JH,RURAL,Q3,0.0075828226383013
2021,INDIA,ER,JH,RURAL,Q4,0.010106617927498047
2021,INDIA,ER,JH,RURAL,Q5,0.010931888033316912
2021,INDIA,ER,JH,URBAN,Q1,0.0037740519318961233
2021,INDIA,ER,JH,URBAN,Q2,0.0040724702435683486
2021,INDIA,ER,JH,URBAN,Q3,0.004569293119763264
2021,INDIA,ER,JH,URBAN,Q4,0.004123793331367109
2021,INDIA,ER,JH,URBAN,Q5,0.0029293194218543575
2021,INDIA,ER,OD,RURAL,Q1,0.005763289104135182
2021,INDIA,ER,OD,RURAL,Q2,0.007286716463071138
2021,INDIA,ER,OD,RURAL,Q3,0.009399328566019514
2021,INDIA,ER,OD,RURAL,Q4,0.009783680665756975
2021,INDIA,ER,OD,RURAL,Q5,0.015227860580031491
2021,INDIA,ER,OD,URBAN,Q1,0.0035228971591448944
2021,INDIA,ER,OD,URBAN,Q2,0.005807004028176137
2021,INDIA,ER,OD,URBAN,Q3,0.006317130059287334
2021,INDIA,ER,OD,URBAN,Q4,0.005504901947315784
2021,INDIA,ER,OD,URBAN,Q5,0.00527777037529156
2021,INDIA,ER,WB,RURAL,Q1,0.018184397415085478
2021,INDIA,ER,WB,RURAL,Q2,0.023566015464026667
2021,INDIA,ER,WB,RURAL,Q3,0.021753513819148782
2021,INDIA,ER,WB,RURAL,Q4,0.03606335693698535
2021,INDIA,ER,WB,RURAL,Q5,0.049072663246902744
2021,INDIA,ER,WB,URBAN,Q1,0.04401842605563439
2021,INDIA,ER,WB,URBAN,Q2,0.0471721037956085
2021,INDIA,ER,WB,URBAN,Q3,0.04271454854650961
2021,INDIA,ER,WB,URBAN,Q4,0.04485741728677108
2021,INDIA,ER,WB,URBAN,Q5,0.04164951763968752
2021,INDIA,WR,CG,RURAL,Q1,0.011030960437369985
2021,INDIA,WR,CG,RURAL,Q2,0.012983848408977875
2021,INDIA,WR,CG,RURAL,Q3,0.009524124309312093
2021,INDIA,WR,CG,RURAL,Q4,0.018529107095176252
2021,INDIA,WR,CG,RURAL,Q5,0.02115143386183818
2021,INDIA,WR,CG,URBAN,Q1,0.0014062340485937398
2021,INDIA,WR,CG,URBAN,Q2,0.002225342451091715
2021,INDIA,WR,CG,URBAN,Q3,0.002198880116382985
2021,INDIA,WR,CG,URBAN,Q4,0.0022987370068918915
2021,INDIA,WR,CG,URBAN,Q5,0.0021479693884460774
2021,INDIA,WR,GJ,RURAL,Q1,0.13219836784425848
2021,INDIA,WR,GJ,RURAL,Q2,0.1420646246528417
2021,INDIA,WR,GJ,RURAL,Q3,0.1485326895455145
2021,INDIA,WR,GJ,RURAL,Q4,0.13899058671146788
2021,INDIA,WR,GJ,RURAL,Q5,0.1397986606241903
2021,INDIA,WR,GJ,URBAN,Q1,0.10098563394481296
2021,INDIA,WR,GJ,URBAN,Q2,0.07813485882344656
2021,INDIA,WR,GJ,URBAN,Q3,0.07144852430891892
2021,INDIA,WR,GJ,URBAN,Q4,0.0530059791228644
2021,INDIA,WR,GJ,URBAN,Q5,0.07731510038147144
2021,INDIA,WR,MP,RURAL,Q1,0.1233368058592624
2021,INDIA,WR,MP,RURAL,Q2,0.11985229526578436
2021,INDIA,WR,MP,RURAL,Q3,0.1366890569316015
2021,INDIA,WR,MP,RURAL,Q4,0.13550215326872056
2021,INDIA,WR,MP,RURAL,Q5,0.1340204207862161
2021,INDIA,WR,MP,URBAN,Q1,0.01073428007318559
2021,INDIA,WR,MP,URBAN,Q2,0.01285875862852386
2021,INDIA,WR,MP,URBAN,Q3,0.012408921300570638
2021,INDIA,WR,MP,URBAN,Q4,0.009353351725026587
2021,INDIA,WR,MP,URBAN,Q5,0.007680707805523734
2021,INDIA,WR,MH,RURAL,Q1,0.2825579355420563
2021,INDIA,WR,MH,RURAL,Q2,0.37021459517262695
2021,INDIA,WR,MH,RURAL,Q3,0.36972684008763285
2021,INDIA,WR,MH,RURAL,Q4,0.4363978234044545
2021,INDIA,WR,MH,RURAL,Q5,0.3569798898366896
2021,INDIA,WR,MH,URBAN,Q1,0.05357796940585992
2021,INDIA,WR,MH,URBAN,Q2,0.043774851627127256
2021,INDIA,WR,MH,URBAN,Q3,0.03703395065702399
2021,INDIA,WR,MH,URBAN,Q4,0.03139365826450183
2021,INDIA,WR,MH,URBAN,Q5,0.027991262853019457
2021,INDIA,WR,GA,RURAL,Q1,0.0
2021,INDIA,WR,GA,RURAL,Q2,0.0
2021,INDIA,WR,GA,RURAL,Q3,0.0
2021,INDIA,WR,GA,RURAL,Q4,0.0
2021,INDIA,WR,GA,RURAL,Q5,0.0
2021,INDIA,WR,GA,URBAN,Q1,0.0
2021,INDIA,WR,GA,URBAN,Q2,0.0
2021,INDIA,WR,GA,URBAN,Q3,0.0
2021,INDIA,WR,GA,URBAN,Q4,0.0
2021,INDIA,WR,GA,URBAN,Q5,0.0
2021,INDIA,WR,UT,RURAL,Q1,0.0
2021,INDIA,WR,UT,RURAL,Q2,0.0
2021,INDIA,WR,UT,RURAL,Q3,0.0
2021,INDIA,WR,UT,RURAL,Q4,0.0
2021,INDIA,WR,UT,RURAL,Q5,0.0
2021,INDIA,WR,UT,URBAN,Q1,0.0
2021,INDIA,WR,UT,URBAN,Q2,0.0
2021,INDIA,WR,UT,URBAN,Q3,0.0
2021,INDIA,WR,UT,URBAN,Q4,0.0
2021,INDIA,WR,UT,URBAN,Q5,0.0
2021,INDIA,NR,DL,RURAL,Q1,0.00041471253083909807
2021,INDIA,NR,DL,RURAL,Q2,0.00023971316979173762
2021,INDIA,NR,DL,RURAL,Q3,0.00015854062133767037
2021,INDIA,NR,DL,RURAL,Q4,0.0002321292148275452
2021,INDIA,NR,DL,RURAL,Q5,0.00023795900210886114
2021,INDIA,NR,DL,URBAN,Q1,0.0
2021,INDIA,NR,DL,URBAN,Q2,0.0
2021,INDIA,NR,DL,URBAN,Q3,0.0
2021,INDIA,NR,DL,URBAN,Q4,0.0
2021,INDIA,NR,DL,URBAN,Q5,0.0
2021,INDIA,NR,HR,RURAL,Q1,0.006120309950114172
2021,INDIA,NR,HR,RURAL,Q2,0.005841418418738816
2021,INDIA,NR,HR,RURAL,Q3,0.006998230346805709
2021,INDIA,NR,HR,RURAL,Q4,0.007109686914378392
2021,INDIA,NR,HR,RURAL,Q5,0.0056999542377611885
2021,INDIA,NR,HR,URBAN,Q1,0.006658111158126341
2021,INDIA,NR,HR,URBAN,Q2,0.006579302651728001
2021,INDIA,NR,HR,URBAN,Q3,0.006767981017829775
2021,INDIA,NR,HR,URBAN,Q4,0.00538451085860855
