Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,BR,9.607308683732818,586.0458297077018
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,JH,9.6271777697212,587.2578439529932
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,OD,22.91038539179242,1397.5335088993377
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,WB,18.965944628992936,1156.9226223685691
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,CG,16.344390367660704,997.007812427303
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GJ,38.642053433287764,2357.1652594305538
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MP,30.87077704936373,1883.1174000111876
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MH,53.48055898305662,3262.3140979664536
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GA,1.453901989355919,88.68802135071107
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,UT,4.157585189416511,253.61269655440717
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,DL,8.88084438541902,541.7315075105603
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HR,17.921756654666396,1093.2271559346502
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HP,2.6115341459894745,159.30358290535796
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,JK,2.232159313206503,136.1617181055967
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,PB,20.545903920850687,1253.300139171892
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,RJ,30.104564010571615,1836.3784046448684
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UP,44.54073639768696,2716.984920258905
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UK,3.9323860154472143,239.87554694228007
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,AP,26.281450379476237,1603.1684731480505
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KA,31.106752857120817,1897.5119242843698
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KL,6.727073005595178,410.3514533413059
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TN,36.188192469931785,2207.479740665839
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TS,28.84213000079239,1759.3699300483358
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,AS,2.2636727483440393,138.0840376489864
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,NE,1.3727973746299247,83.7406398524254
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,BR,11.578508431357807,706.2890143128262
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,JH,11.454477154061756,698.7231063977671
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,OD,27.264284721908023,1663.1213680363894
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,WB,20.751145188922727,1265.8198565242865
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,CG,19.210381361692004,1171.8332630632124
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GJ,45.67805642090081,2786.361441674949
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MP,34.95579506705336,2132.3034990902547
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MH,60.69216549718662,3702.222095328384
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GA,1.6556928794353838,100.99726564555841
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,UT,5.2134409290806,318.0198966739166
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,DL,12.305497669240221,750.6353578236535
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HR,21.509928128883065,1312.105615861867
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HP,3.2995036183361326,201.2697207185041
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,JK,2.916926873326294,177.93253927290394
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,PB,24.981871291824493,1523.894148801294
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,RJ,34.47092431247606,2102.7263830610395
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,UP,51.66182688759546,3151.371440143323
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,UK,5.226378984829937,318.80911807462616
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,AP,29.056362392358412,1772.4381059338632
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,KA,36.83728469810245,2247.0743665842497
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,KL,9.037678224767461,551.2983717108151
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,TN,42.202555964860885,2574.355913856514
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,TS,31.867941216273692,1943.9444141926951
2021,SUMMER,ALLDAYS,MORN,INDIA,NER,AS,3.3548011030286182,204.6428672847457
2021,SUMMER,ALLDAYS,MORN,INDIA,NER,NE,1.8291491967734732,111.57810100318187
2021,SUMMER,ALLDAYS,MID,INDIA,ER,BR,11.974050431337288,730.4170763115745
2021,SUMMER,ALLDAYS,MID,INDIA,ER,JH,11.66288422236499,711.4359375642645
2021,SUMMER,ALLDAYS,MID,INDIA,ER,OD,27.486341478012843,1676.6668301587833
2021,SUMMER,ALLDAYS,MID,INDIA,ER,WB,21.148702233256934,1290.070836228673
2021,SUMMER,ALLDAYS,MID,INDIA,WR,CG,18.871031716490766,1151.1329347059368
2021,SUMMER,ALLDAYS,MID,INDIA,WR,GJ,44.97131172841957,2743.250015433594
2021,SUMMER,ALLDAYS,MID,INDIA,WR,MP,33.63802033861905,2051.919240655762
2021,SUMMER,ALLDAYS,MID,INDIA,WR,MH,59.1484434353689,3608.0550495575026
2021,SUMMER,ALLDAYS,MID,INDIA,WR,GA,1.7012462212749306,103.77601949777078
2021,SUMMER,ALLDAYS,MID,INDIA,WR,UT,5.404662987599521,329.6844422435708
2021,SUMMER,ALLDAYS,MID,INDIA,NR,DL,16.222748944347682,989.5876856052085
2021,SUMMER,ALLDAYS,MID,INDIA,NR,HR,22.15946433702768,1351.7273245586885
2021,SUMMER,ALLDAYS,MID,INDIA,NR,HP,3.4405255309454312,209.8720573876713
2021,SUMMER,ALLDAYS,MID,INDIA,NR,JK,3.1870502647147037,194.41006614759692
2021,SUMMER,ALLDAYS,MID,INDIA,NR,PB,26.050412986954438,1589.0751922042207
2021,SUMMER,ALLDAYS,MID,INDIA,NR,RJ,32.99508640614354,2012.700270774756
2021,SUMMER,ALLDAYS,MID,INDIA,NR,UP,53.01917122618087,3234.169444797033
2021,SUMMER,ALLDAYS,MID,INDIA,NR,UK,5.436604968623319,331.63290308602245
2021,SUMMER,ALLDAYS,MID,INDIA,SR,AP,28.17425364140665,1718.6294721258057
2021,SUMMER,ALLDAYS,MID,INDIA,SR,KA,35.23047079003297,2149.058718192011
2021,SUMMER,ALLDAYS,MID,INDIA,SR,KL,9.561386276732016,583.244562880653
2021,SUMMER,ALLDAYS,MID,INDIA,SR,TN,42.00408321229373,2562.2490759499174
2021,SUMMER,ALLDAYS,MID,INDIA,SR,TS,29.76231350441443,1815.5011237692802
2021,SUMMER,ALLDAYS,MID,INDIA,NER,AS,4.271297891696362,260.54917139347805
2021,SUMMER,ALLDAYS,MID,INDIA,NER,NE,2.086935357671738,127.30305681797601
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,BR,11.777142222974827,718.4056756014645
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,JH,11.506701046905913,701.9087638612607
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,OD,27.255544710826754,1662.588227360432
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,WB,20.545380339114864,1253.2682006860066
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,CG,17.999412453958016,1097.964159691439
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,GJ,43.00275872530038,2623.168282243323
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,MP,30.688987199284064,1872.0282191563279
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,MH,55.20995235854939,3367.8070938715127
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,GA,1.6822424517619872,102.61678955748121
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,UT,5.301490186703369,323.3909013889055
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,DL,17.075928359840244,1041.6316299502548
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,HR,20.79806156068553,1268.6817552018172
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,HP,3.345055080086069,204.04835988525022
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,JK,3.123685865036281,190.54483776721312
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,PB,24.218652900908786,1477.337826955436
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,RJ,29.51743596562614,1800.5635939031947
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,UP,50.37609730146315,3072.941935389252
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,UK,5.1845623938832475,316.2583060268781
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,AP,26.157373487875155,1595.5997827603844
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,KA,31.666798692447998,1931.6747202393278
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,KL,9.380979606857117,572.2397560182842
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,TN,39.7861162681784,2426.9530923588823
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,TS,26.17297139790095,1596.551255271958
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,AS,3.8299936281894693,233.62961131955763
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,NE,1.9112211910466603,116.58449265384628
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,BR,26.631280402338128,1624.5081045426257
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,JH,17.658257930534855,1077.1537337626262
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,OD,33.37367488365655,2035.7941679030494
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,WB,34.9433813460095,2131.5462621065794
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,CG,23.25075180079487,1418.295859848487
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,GJ,53.24704244880526,3248.069589377121
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,MP,44.223048323769895,2697.6059477499634
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,MH,77.98945976621312,4757.357045739
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,GA,2.4523073343670454,149.59074739638976
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,UT,6.9134769547238575,421.7220942381553
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,DL,36.01647609750545,2197.0050419478325
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,HR,31.838511254516774,1942.1491865255232
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,HP,4.696806582146294,286.50520151092394
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,JK,5.2467960290175455,320.0545577700703
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,PB,37.47825144366031,2286.173338063279
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,RJ,40.02993484975543,2441.826025835081
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,UP,89.83489776428391,5479.9287636213185
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,UK,7.516685876306176,458.51783845467673
