Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,BR,2.5599816251328185,156.15887913310192
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,JH,1.4200958134244739,86.62584461889291
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,OD,0.3505996507833616,21.38657869778506
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,WB,0.706861951970829,43.11857907022057
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,CG,1.430379406935224,87.25314382304866
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GJ,1.1075636401191304,67.56138204726696
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MP,2.1945825682463345,133.8695366630264
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MH,3.625345389680238,221.14606877049454
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GA,0.3594052074185875,21.92371765253384
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,UT,0.4131712484965626,25.20344615829032
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,DL,2.883511193793882,175.89418282142682
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HR,2.0847499411270776,127.16974640875173
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HP,0.2807172455917571,17.123751981097183
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,JK,0.21832806113825598,13.318011729433614
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,PB,3.1090601456897686,189.6526688870759
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,RJ,0.9646689590931357,58.84480650468127
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UP,8.879844662710639,541.670524425349
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UK,0.5561110567755143,33.922774463306375
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,AP,1.1185899942913855,68.23398965177452
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KA,1.4727326059383516,89.83668896223945
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KL,0.9134573690769912,55.72089951369646
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TN,4.254489650478306,259.5238686791767
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TS,1.8820283654057892,114.80373028975315
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,AS,0.31885565277072714,19.450194819014357
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,NE,0.35079256416864146,21.39834641428713
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,BR,3.152133370540031,192.2801356029419
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,JH,1.5757746655823408,96.1222546005228
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,OD,0.3368374924838922,20.547087041517425
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,WB,0.6634298477023077,40.46922070984077
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,CG,1.5227538126780436,92.88798257336066
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GJ,1.225618184996163,74.76270928476593
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MP,2.448023526668148,149.329435126757
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MH,3.8820002499989847,236.80201524993808
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GA,0.3519974578715569,21.47184493016497
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,UT,0.5416575843848863,33.041112647478066
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,DL,4.562131347158247,278.2900121766531
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HR,2.7825290923875805,169.7342746356424
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HP,0.4012623873979948,24.477005631277684
