DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,2645218.4329053904,AVERAGE
D_RES,2022,INDIA,ER,BR,RURAL,Q1,2667329.17589358,AVERAGE
D_RES,2023,INDIA,ER,BR,RURAL,Q1,2690740.9699488003,AVERAGE
D_RES,2024,INDIA,ER,BR,RURAL,Q1,2715668.74198888,AVERAGE
D_RES,2025,INDIA,ER,BR,RURAL,Q1,2739885.2588834404,AVERAGE
D_RES,2026,INDIA,ER,BR,RURAL,Q1,2763268.91199436,AVERAGE
D_RES,2027,INDIA,ER,BR,RURAL,Q1,2785779.3426470994,AVERAGE
D_RES,2028,INDIA,ER,BR,RURAL,Q1,2807022.9679046497,AVERAGE
D_RES,2029,INDIA,ER,BR,RURAL,Q1,2826898.3572211205,AVERAGE
D_RES,2030,INDIA,ER,BR,RURAL,Q1,2845209.8735494,AVERAGE
D_RES,2031,INDIA,ER,BR,RURAL,Q1,2861844.70385115,AVERAGE
D_RES,2021,INDIA,ER,JH,RURAL,Q1,1051282.5598882001,AVERAGE
D_RES,2022,INDIA,ER,JH,RURAL,Q1,1063940.9950567002,AVERAGE
D_RES,2023,INDIA,ER,JH,RURAL,Q1,1076735.56848828,AVERAGE
D_RES,2024,INDIA,ER,JH,RURAL,Q1,1089765.06322432,AVERAGE
D_RES,2025,INDIA,ER,JH,RURAL,Q1,1102479.5033053001,AVERAGE
D_RES,2026,INDIA,ER,JH,RURAL,Q1,1114794.42146122,AVERAGE
D_RES,2027,INDIA,ER,JH,RURAL,Q1,1126699.0198816,AVERAGE
D_RES,2028,INDIA,ER,JH,RURAL,Q1,1138038.40902656,AVERAGE
D_RES,2029,INDIA,ER,JH,RURAL,Q1,1148743.1133887998,AVERAGE
D_RES,2030,INDIA,ER,JH,RURAL,Q1,1158741.24734669,AVERAGE
D_RES,2031,INDIA,ER,JH,RURAL,Q1,1167917.1353031,AVERAGE
D_RES,2021,INDIA,ER,OD,RURAL,Q1,1774377.6972057999,AVERAGE
D_RES,2022,INDIA,ER,OD,RURAL,Q1,1801531.7763606599,AVERAGE
D_RES,2023,INDIA,ER,OD,RURAL,Q1,1828559.35950508,AVERAGE
D_RES,2024,INDIA,ER,OD,RURAL,Q1,1855754.67829752,AVERAGE
D_RES,2025,INDIA,ER,OD,RURAL,Q1,1881669.08459775,AVERAGE
D_RES,2026,INDIA,ER,OD,RURAL,Q1,1905941.4691289002,AVERAGE
D_RES,2027,INDIA,ER,OD,RURAL,Q1,1928277.4929808902,AVERAGE
D_RES,2028,INDIA,ER,OD,RURAL,Q1,1948041.40220649,AVERAGE
D_RES,2029,INDIA,ER,OD,RURAL,Q1,1964742.6946977898,AVERAGE
D_RES,2030,INDIA,ER,OD,RURAL,Q1,1977764.4565578902,AVERAGE
D_RES,2031,INDIA,ER,OD,RURAL,Q1,1986475.82510164,AVERAGE
D_RES,2021,INDIA,ER,WB,RURAL,Q1,2923546.76490128,AVERAGE
D_RES,2022,INDIA,ER,WB,RURAL,Q1,2940324.45394652,AVERAGE
D_RES,2023,INDIA,ER,WB,RURAL,Q1,2957168.0981735997,AVERAGE
D_RES,2024,INDIA,ER,WB,RURAL,Q1,2974315.3208286,AVERAGE
