DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,31491.80788360328,AVERAGE
D_RES,2022,INDIA,ER,BR,RURAL,Q1,34250.46989762348,AVERAGE
D_RES,2023,INDIA,ER,BR,RURAL,Q1,36512.97399231659,AVERAGE
D_RES,2024,INDIA,ER,BR,RURAL,Q1,38261.12778689965,AVERAGE
D_RES,2025,INDIA,ER,BR,RURAL,Q1,39841.50758081589,AVERAGE
D_RES,2026,INDIA,ER,BR,RURAL,Q1,41197.33937063841,AVERAGE
D_RES,2027,INDIA,ER,BR,RURAL,Q1,42223.022527406014,AVERAGE
D_RES,2028,INDIA,ER,BR,RURAL,Q1,42830.117955126756,AVERAGE
D_RES,2029,INDIA,ER,BR,RURAL,Q1,42861.494255067184,AVERAGE
D_RES,2030,INDIA,ER,BR,RURAL,Q1,42115.5983223994,AVERAGE
D_RES,2031,INDIA,ER,BR,RURAL,Q1,40334.54915723624,AVERAGE
D_RES,2021,INDIA,ER,JH,RURAL,Q1,15385.668892932908,AVERAGE
D_RES,2022,INDIA,ER,JH,RURAL,Q1,17236.86319570066,AVERAGE
D_RES,2023,INDIA,ER,JH,RURAL,Q1,18815.123146896054,AVERAGE
D_RES,2024,INDIA,ER,JH,RURAL,Q1,20090.15905048827,AVERAGE
D_RES,2025,INDIA,ER,JH,RURAL,Q1,21301.167564410032,AVERAGE
D_RES,2026,INDIA,ER,JH,RURAL,Q1,22412.61364165155,AVERAGE
D_RES,2027,INDIA,ER,JH,RURAL,Q1,23353.136093892183,AVERAGE
D_RES,2028,INDIA,ER,JH,RURAL,Q1,24063.350522697536,AVERAGE
D_RES,2029,INDIA,ER,JH,RURAL,Q1,24431.541874093295,AVERAGE
D_RES,2030,INDIA,ER,JH,RURAL,Q1,24309.463074444408,AVERAGE
D_RES,2031,INDIA,ER,JH,RURAL,Q1,23501.33329165777,AVERAGE
D_RES,2021,INDIA,ER,OD,RURAL,Q1,64468.10744351804,AVERAGE
D_RES,2022,INDIA,ER,OD,RURAL,Q1,75033.30773214115,AVERAGE
D_RES,2023,INDIA,ER,OD,RURAL,Q1,84794.46927404351,AVERAGE
D_RES,2024,INDIA,ER,OD,RURAL,Q1,93446.2527130094,AVERAGE
D_RES,2025,INDIA,ER,OD,RURAL,Q1,102078.8624225396,AVERAGE
D_RES,2026,INDIA,ER,OD,RURAL,Q1,110396.26314513644,AVERAGE
