DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,1298063.582990791,AVERAGE
D_RES,2022,INDIA,ER,BR,RURAL,Q1,1334107.4742824442,AVERAGE
D_RES,2023,INDIA,ER,BR,RURAL,Q1,1368584.6021782088,AVERAGE
D_RES,2024,INDIA,ER,BR,RURAL,Q1,1401573.6281381294,AVERAGE
D_RES,2025,INDIA,ER,BR,RURAL,Q1,1435402.6266249847,AVERAGE
D_RES,2026,INDIA,ER,BR,RURAL,Q1,1470318.3681084176,AVERAGE
D_RES,2027,INDIA,ER,BR,RURAL,Q1,1507086.8224566313,AVERAGE
D_RES,2028,INDIA,ER,BR,RURAL,Q1,1545437.4010755992,AVERAGE
D_RES,2029,INDIA,ER,BR,RURAL,Q1,1585527.8010182066,AVERAGE
D_RES,2030,INDIA,ER,BR,RURAL,Q1,1627616.054002423,AVERAGE
D_RES,2031,INDIA,ER,BR,RURAL,Q1,1671857.2862261825,AVERAGE
D_RES,2021,INDIA,ER,JH,RURAL,Q1,133523.87033665273,AVERAGE
D_RES,2022,INDIA,ER,JH,RURAL,Q1,138916.71420793864,AVERAGE
D_RES,2023,INDIA,ER,JH,RURAL,Q1,144227.53299899425,AVERAGE
D_RES,2024,INDIA,ER,JH,RURAL,Q1,149361.45387775233,AVERAGE
D_RES,2025,INDIA,ER,JH,RURAL,Q1,154862.75302036473,AVERAGE
D_RES,2026,INDIA,ER,JH,RURAL,Q1,160810.98024472143,AVERAGE
D_RES,2027,INDIA,ER,JH,RURAL,Q1,167219.77418592136,AVERAGE
D_RES,2028,INDIA,ER,JH,RURAL,Q1,174228.03724544818,AVERAGE
D_RES,2029,INDIA,ER,JH,RURAL,Q1,181892.30337336744,AVERAGE
D_RES,2030,INDIA,ER,JH,RURAL,Q1,190275.40854775885,AVERAGE
D_RES,2031,INDIA,ER,JH,RURAL,Q1,199482.44309737528,AVERAGE
D_RES,2021,INDIA,ER,OD,RURAL,Q1,238679.9900309124,AVERAGE
D_RES,2022,INDIA,ER,OD,RURAL,Q1,252335.55322546492,AVERAGE
D_RES,2023,INDIA,ER,OD,RURAL,Q1,266579.23494198074,AVERAGE
D_RES,2024,INDIA,ER,OD,RURAL,Q1,281187.31132385146,AVERAGE
D_RES,2025,INDIA,ER,OD,RURAL,Q1,297636.6864689384,AVERAGE
D_RES,2026,INDIA,ER,OD,RURAL,Q1,316313.6506268529,AVERAGE
D_RES,2027,INDIA,ER,OD,RURAL,Q1,337635.4440298241,AVERAGE
D_RES,2028,INDIA,ER,OD,RURAL,Q1,362023.0725737433,AVERAGE
D_RES,2029,INDIA,ER,OD,RURAL,Q1,390094.5762695331,AVERAGE
D_RES,2030,INDIA,ER,OD,RURAL,Q1,422466.31714851776,AVERAGE
D_RES,2031,INDIA,ER,OD,RURAL,Q1,459767.6355306436,AVERAGE
D_RES,2021,INDIA,ER,WB,RURAL,Q1,393125.7371656813,AVERAGE
D_RES,2022,INDIA,ER,WB,RURAL,Q1,411199.8744905423,AVERAGE
D_RES,2023,INDIA,ER,WB,RURAL,Q1,428151.5357195446,AVERAGE
D_RES,2024,INDIA,ER,WB,RURAL,Q1,443666.5904684816,AVERAGE
D_RES,2025,INDIA,ER,WB,RURAL,Q1,460014.46503721917,AVERAGE
D_RES,2026,INDIA,ER,WB,RURAL,Q1,477439.6665039745,AVERAGE
D_RES,2027,INDIA,ER,WB,RURAL,Q1,495952.17514210864,AVERAGE
D_RES,2028,INDIA,ER,WB,RURAL,Q1,515883.4201593807,AVERAGE
D_RES,2029,INDIA,ER,WB,RURAL,Q1,537264.9569334815,AVERAGE
D_RES,2030,INDIA,ER,WB,RURAL,Q1,560262.4445817752,AVERAGE
D_RES,2031,INDIA,ER,WB,RURAL,Q1,584964.6758292898,AVERAGE
D_RES,2021,INDIA,NER,AS,RURAL,Q1,372065.6628366916,AVERAGE
