ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q1,INDIA,NR,JK,2021,0
RURAL,Q2,INDIA,NR,JK,2021,0
RURAL,Q3,INDIA,NR,JK,2021,0
RURAL,Q4,INDIA,NR,JK,2021,0
RURAL,Q5,INDIA,NR,JK,2021,0
RURAL,Q1,INDIA,NR,JK,2022,0
RURAL,Q2,INDIA,NR,JK,2022,0
RURAL,Q3,INDIA,NR,JK,2022,0
RURAL,Q4,INDIA,NR,JK,2022,0
RURAL,Q5,INDIA,NR,JK,2022,0
RURAL,Q1,INDIA,NR,JK,2023,0
RURAL,Q2,INDIA,NR,JK,2023,0
RURAL,Q3,INDIA,NR,JK,2023,0
RURAL,Q4,INDIA,NR,JK,2023,0
RURAL,Q5,INDIA,NR,JK,2023,0
RURAL,Q1,INDIA,NR,JK,2024,0
RURAL,Q2,INDIA,NR,JK,2024,0
RURAL,Q3,INDIA,NR,JK,2024,0
RURAL,Q4,INDIA,NR,JK,2024,0
RURAL,Q5,INDIA,NR,JK,2024,0
RURAL,Q1,INDIA,NR,JK,2025,0
RURAL,Q2,INDIA,NR,JK,2025,0
RURAL,Q3,INDIA,NR,JK,2025,0
RURAL,Q4,INDIA,NR,JK,2025,0
RURAL,Q5,INDIA,NR,JK,2025,0
RURAL,Q1,INDIA,NR,JK,2026,0
RURAL,Q2,INDIA,NR,JK,2026,0
RURAL,Q3,INDIA,NR,JK,2026,0
RURAL,Q4,INDIA,NR,JK,2026,0
RURAL,Q5,INDIA,NR,JK,2026,0
RURAL,Q1,INDIA,NR,JK,2027,0
RURAL,Q2,INDIA,NR,JK,2027,0
RURAL,Q3,INDIA,NR,JK,2027,0
RURAL,Q4,INDIA,NR,JK,2027,0
RURAL,Q5,INDIA,NR,JK,2027,0
RURAL,Q1,INDIA,NR,JK,2028,0
RURAL,Q2,INDIA,NR,JK,2028,0
RURAL,Q3,INDIA,NR,JK,2028,0
RURAL,Q4,INDIA,NR,JK,2028,0
RURAL,Q5,INDIA,NR,JK,2028,0
RURAL,Q1,INDIA,NR,JK,2029,0
RURAL,Q2,INDIA,NR,JK,2029,0
RURAL,Q3,INDIA,NR,JK,2029,0
RURAL,Q4,INDIA,NR,JK,2029,0
RURAL,Q5,INDIA,NR,JK,2029,0
RURAL,Q1,INDIA,NR,JK,2030,0
RURAL,Q2,INDIA,NR,JK,2030,0
RURAL,Q3,INDIA,NR,JK,2030,0
RURAL,Q4,INDIA,NR,JK,2030,0
RURAL,Q5,INDIA,NR,JK,2030,0
RURAL,Q1,INDIA,NR,JK,2031,0
RURAL,Q2,INDIA,NR,JK,2031,0
RURAL,Q3,INDIA,NR,JK,2031,0
RURAL,Q4,INDIA,NR,JK,2031,0
RURAL,Q5,INDIA,NR,JK,2031,0
RURAL,Q1,INDIA,ER,JH,2021,0.000350294
RURAL,Q2,INDIA,ER,JH,2021,0.000423725
RURAL,Q3,INDIA,ER,JH,2021,0.000497619
RURAL,Q4,INDIA,ER,JH,2021,0.000709065
RURAL,Q5,INDIA,ER,JH,2021,0.001035991
URBAN,Q1,INDIA,ER,JH,2021,0.001599306
URBAN,Q2,INDIA,ER,JH,2021,0.001822654
URBAN,Q3,INDIA,ER,JH,2021,0.002468391
URBAN,Q4,INDIA,ER,JH,2021,0.002751819
URBAN,Q5,INDIA,ER,JH,2021,0.002971254
RURAL,Q1,INDIA,ER,JH,2022,0.000319562
RURAL,Q2,INDIA,ER,JH,2022,0.000390319
RURAL,Q3,INDIA,ER,JH,2022,0.000461763
RURAL,Q4,INDIA,ER,JH,2022,0.000660879
RURAL,Q5,INDIA,ER,JH,2022,0.001010051
URBAN,Q1,INDIA,ER,JH,2022,0.00167809
URBAN,Q2,INDIA,ER,JH,2022,0.001902626
URBAN,Q3,INDIA,ER,JH,2022,0.002476411
URBAN,Q4,INDIA,ER,JH,2022,0.00270542
URBAN,Q5,INDIA,ER,JH,2022,0.002876849
RURAL,Q1,INDIA,ER,JH,2023,0.000298145
RURAL,Q2,INDIA,ER,JH,2023,0.000367215
RURAL,Q3,INDIA,ER,JH,2023,0.000436988
RURAL,Q4,INDIA,ER,JH,2023,0.000627578
RURAL,Q5,INDIA,ER,JH,2023,0.000992687
URBAN,Q1,INDIA,ER,JH,2023,0.001738124
URBAN,Q2,INDIA,ER,JH,2023,0.001952344
URBAN,Q3,INDIA,ER,JH,2023,0.002468403
URBAN,Q4,INDIA,ER,JH,2023,0.002657885
URBAN,Q5,INDIA,ER,JH,2023,0.002796498
RURAL,Q1,INDIA,ER,JH,2024,0.000282464
RURAL,Q2,INDIA,ER,JH,2024,0.000350396
RURAL,Q3,INDIA,ER,JH,2024,0.000418887
RURAL,Q4,INDIA,ER,JH,2024,0.000603191
RURAL,Q5,INDIA,ER,JH,2024,0.000979182
URBAN,Q1,INDIA,ER,JH,2024,0.00178155
URBAN,Q2,INDIA,ER,JH,2024,0.001980872
URBAN,Q3,INDIA,ER,JH,2024,0.002451088
URBAN,Q4,INDIA,ER,JH,2024,0.002611461
URBAN,Q5,INDIA,ER,JH,2024,0.002726952
RURAL,Q1,INDIA,ER,JH,2025,0.00027159
RURAL,Q2,INDIA,ER,JH,2025,0.00033935
RURAL,Q3,INDIA,ER,JH,2025,0.000407483
RURAL,Q4,INDIA,ER,JH,2025,0.000588163
RURAL,Q5,INDIA,ER,JH,2025,0.000977473
URBAN,Q1,INDIA,ER,JH,2025,0.001827258
URBAN,Q2,INDIA,ER,JH,2025,0.002007902
URBAN,Q3,INDIA,ER,JH,2025,0.00243653
URBAN,Q4,INDIA,ER,JH,2025,0.002571476
URBAN,Q5,INDIA,ER,JH,2025,0.002667371
RURAL,Q1,INDIA,ER,JH,2026,0.000264324
RURAL,Q2,INDIA,ER,JH,2026,0.000332735
RURAL,Q3,INDIA,ER,JH,2026,0.000401167
RURAL,Q4,INDIA,ER,JH,2026,0.000580295
RURAL,Q5,INDIA,ER,JH,2026,0.00098484
URBAN,Q1,INDIA,ER,JH,2026,0.001875035
URBAN,Q2,INDIA,ER,JH,2026,0.002033869
URBAN,Q3,INDIA,ER,JH,2026,0.002424463
URBAN,Q4,INDIA,ER,JH,2026,0.002536946
URBAN,Q5,INDIA,ER,JH,2026,0.002616032
RURAL,Q1,INDIA,ER,JH,2027,0.000257996
RURAL,Q2,INDIA,ER,JH,2027,0.000327221
RURAL,Q3,INDIA,ER,JH,2027,0.00039601
RURAL,Q4,INDIA,ER,JH,2027,0.000573899
RURAL,Q5,INDIA,ER,JH,2027,0.000991931
URBAN,Q1,INDIA,ER,JH,2027,0.001922894
URBAN,Q2,INDIA,ER,JH,2027,0.002057366
URBAN,Q3,INDIA,ER,JH,2027,0.00241322
URBAN,Q4,INDIA,ER,JH,2027,0.002505834
URBAN,Q5,INDIA,ER,JH,2027,0.00257043
RURAL,Q1,INDIA,ER,JH,2028,0.000253661
RURAL,Q2,INDIA,ER,JH,2028,0.000324166
RURAL,Q3,INDIA,ER,JH,2028,0.000393683
RURAL,Q4,INDIA,ER,JH,2028,0.000571383
RURAL,Q5,INDIA,ER,JH,2028,0.001003142
URBAN,Q1,INDIA,ER,JH,2028,0.00195271
URBAN,Q2,INDIA,ER,JH,2028,0.002059554
URBAN,Q3,INDIA,ER,JH,2028,0.002380194
URBAN,Q4,INDIA,ER,JH,2028,0.002454236
URBAN,Q5,INDIA,ER,JH,2028,0.002505623
RURAL,Q1,INDIA,ER,JH,2029,0.000251928
RURAL,Q2,INDIA,ER,JH,2029,0.00032441
RURAL,Q3,INDIA,ER,JH,2029,0.000395205
RURAL,Q4,INDIA,ER,JH,2029,0.00057421
RURAL,Q5,INDIA,ER,JH,2029,0.001021154
URBAN,Q1,INDIA,ER,JH,2029,0.001989525
URBAN,Q2,INDIA,ER,JH,2029,0.002067777
URBAN,Q3,INDIA,ER,JH,2029,0.002357453
URBAN,Q4,INDIA,ER,JH,2029,0.002415254
URBAN,Q5,INDIA,ER,JH,2029,0.002455322
RURAL,Q1,INDIA,ER,JH,2030,0.00025235
RURAL,Q2,INDIA,ER,JH,2030,0.000327444
RURAL,Q3,INDIA,ER,JH,2030,0.000399939
RURAL,Q4,INDIA,ER,JH,2030,0.000581486
RURAL,Q5,INDIA,ER,JH,2030,0.001044374
URBAN,Q1,INDIA,ER,JH,2030,0.002031054
URBAN,Q2,INDIA,ER,JH,2030,0.002079927
URBAN,Q3,INDIA,ER,JH,2030,0.002342037
URBAN,Q4,INDIA,ER,JH,2030,0.002385515
URBAN,Q5,INDIA,ER,JH,2030,0.002415769
RURAL,Q1,INDIA,ER,JH,2031,0.00025469
RURAL,Q2,INDIA,ER,JH,2031,0.000332948
RURAL,Q3,INDIA,ER,JH,2031,0.000407539
RURAL,Q4,INDIA,ER,JH,2031,0.000592592
RURAL,Q5,INDIA,ER,JH,2031,0.001071698
URBAN,Q1,INDIA,ER,JH,2031,0.002075556
URBAN,Q2,INDIA,ER,JH,2031,0.00209454
URBAN,Q3,INDIA,ER,JH,2031,0.00233194
URBAN,Q4,INDIA,ER,JH,2031,0.002362658
URBAN,Q5,INDIA,ER,JH,2031,0.002384354
RURAL,Q1,INDIA,ER,OD,2021,0.001242831
RURAL,Q2,INDIA,ER,OD,2021,0.001597408
RURAL,Q3,INDIA,ER,OD,2021,0.002134395
RURAL,Q4,INDIA,ER,OD,2021,0.00253636
RURAL,Q5,INDIA,ER,OD,2021,0.004559633
URBAN,Q1,INDIA,ER,OD,2021,0.000180307
URBAN,Q2,INDIA,ER,OD,2021,0.000297509
URBAN,Q3,INDIA,ER,OD,2021,0.000394031
URBAN,Q4,INDIA,ER,OD,2021,0.000436562
URBAN,Q5,INDIA,ER,OD,2021,0.000454064
RURAL,Q1,INDIA,ER,OD,2022,0.001167852
RURAL,Q2,INDIA,ER,OD,2022,0.001515283
RURAL,Q3,INDIA,ER,OD,2022,0.002027117
RURAL,Q4,INDIA,ER,OD,2022,0.002436435
RURAL,Q5,INDIA,ER,OD,2022,0.004389439
URBAN,Q1,INDIA,ER,OD,2022,0.0002654
URBAN,Q2,INDIA,ER,OD,2022,0.00040857
URBAN,Q3,INDIA,ER,OD,2022,0.000516564
URBAN,Q4,INDIA,ER,OD,2022,0.000560214
URBAN,Q5,INDIA,ER,OD,2022,0.000573552
RURAL,Q1,INDIA,ER,OD,2023,0.0011126
RURAL,Q2,INDIA,ER,OD,2023,0.001454899
RURAL,Q3,INDIA,ER,OD,2023,0.001946509
RURAL,Q4,INDIA,ER,OD,2023,0.002361167
RURAL,Q5,INDIA,ER,OD,2023,0.004249268
URBAN,Q1,INDIA,ER,OD,2023,0.000379607
URBAN,Q2,INDIA,ER,OD,2023,0.000553314
URBAN,Q3,INDIA,ER,OD,2023,0.000676773
URBAN,Q4,INDIA,ER,OD,2023,0.000722721
URBAN,Q5,INDIA,ER,OD,2023,0.000731751
RURAL,Q1,INDIA,ER,OD,2024,0.001070378
RURAL,Q2,INDIA,ER,OD,2024,0.00140869
RURAL,Q3,INDIA,ER,OD,2024,0.001883149
RURAL,Q4,INDIA,ER,OD,2024,0.002301277
RURAL,Q5,INDIA,ER,OD,2024,0.004128417
URBAN,Q1,INDIA,ER,OD,2024,0.000530584
URBAN,Q2,INDIA,ER,OD,2024,0.000740944
URBAN,Q3,INDIA,ER,OD,2024,0.000884704
URBAN,Q4,INDIA,ER,OD,2024,0.000934023
URBAN,Q5,INDIA,ER,OD,2024,0.000937097
RURAL,Q1,INDIA,ER,OD,2025,0.001042854
RURAL,Q2,INDIA,ER,OD,2025,0.001380616
RURAL,Q3,INDIA,ER,OD,2025,0.001842489
RURAL,Q4,INDIA,ER,OD,2025,0.002266833
RURAL,Q5,INDIA,ER,OD,2025,0.004045864
URBAN,Q1,INDIA,ER,OD,2025,0.000736986
URBAN,Q2,INDIA,ER,OD,2025,0.000989751
URBAN,Q3,INDIA,ER,OD,2025,0.001157695
URBAN,Q4,INDIA,ER,OD,2025,0.001203813
URBAN,Q5,INDIA,ER,OD,2025,0.001203813
RURAL,Q1,INDIA,ER,OD,2026,0.001027824
RURAL,Q2,INDIA,ER,OD,2026,0.001367874
RURAL,Q3,INDIA,ER,OD,2026,0.001820699
RURAL,Q4,INDIA,ER,OD,2026,0.002253796
RURAL,Q5,INDIA,ER,OD,2026,0.003993572
URBAN,Q1,INDIA,ER,OD,2026,0.001017645
URBAN,Q2,INDIA,ER,OD,2026,0.001319089
URBAN,Q3,INDIA,ER,OD,2026,0.001515935
URBAN,Q4,INDIA,ER,OD,2026,0.001551194
URBAN,Q5,INDIA,ER,OD,2026,0.001551194
RURAL,Q1,INDIA,ER,OD,2027,0.001014858
RURAL,Q2,INDIA,ER,OD,2027,0.001356621
RURAL,Q3,INDIA,ER,OD,2027,0.001799144
RURAL,Q4,INDIA,ER,OD,2027,0.002238756
RURAL,Q5,INDIA,ER,OD,2027,0.003930774
URBAN,Q1,INDIA,ER,OD,2027,0.001396884
URBAN,Q2,INDIA,ER,OD,2027,0.001754217
URBAN,Q3,INDIA,ER,OD,2027,0.001986052
URBAN,Q4,INDIA,ER,OD,2027,0.002004109
URBAN,Q5,INDIA,ER,OD,2027,0.002004109
RURAL,Q1,INDIA,ER,OD,2028,0.001013216
RURAL,Q2,INDIA,ER,OD,2028,0.001358971
RURAL,Q3,INDIA,ER,OD,2028,0.00179372
RURAL,Q4,INDIA,ER,OD,2028,0.002241716
RURAL,Q5,INDIA,ER,OD,2028,0.003892042
URBAN,Q1,INDIA,ER,OD,2028,0.001905159
URBAN,Q2,INDIA,ER,OD,2028,0.002325493
URBAN,Q3,INDIA,ER,OD,2028,0.002591136
URBAN,Q4,INDIA,ER,OD,2028,0.002591136
URBAN,Q5,INDIA,ER,OD,2028,0.002591136
RURAL,Q1,INDIA,ER,OD,2029,0.001022718
RURAL,Q2,INDIA,ER,OD,2029,0.001374598
RURAL,Q3,INDIA,ER,OD,2029,0.001803684
RURAL,Q4,INDIA,ER,OD,2029,0.002261637
RURAL,Q5,INDIA,ER,OD,2029,0.003875285
URBAN,Q1,INDIA,ER,OD,2029,0.002587273
URBAN,Q2,INDIA,ER,OD,2029,0.003079562
URBAN,Q3,INDIA,ER,OD,2029,0.003358045
URBAN,Q4,INDIA,ER,OD,2029,0.003358045
URBAN,Q5,INDIA,ER,OD,2029,0.003358045
RURAL,Q1,INDIA,ER,OD,2030,0.001042844
RURAL,Q2,INDIA,ER,OD,2030,0.001402506
RURAL,Q3,INDIA,ER,OD,2030,0.001827321
RURAL,Q4,INDIA,ER,OD,2030,0.002296179
RURAL,Q5,INDIA,ER,OD,2030,0.003875923
URBAN,Q1,INDIA,ER,OD,2030,0.003498467
URBAN,Q2,INDIA,ER,OD,2030,0.004072883
URBAN,Q3,INDIA,ER,OD,2030,0.004359569
URBAN,Q4,INDIA,ER,OD,2030,0.004359569
URBAN,Q5,INDIA,ER,OD,2030,0.004359569
RURAL,Q1,INDIA,ER,OD,2031,0.001073285
RURAL,Q2,INDIA,ER,OD,2031,0.00144196
RURAL,Q3,INDIA,ER,OD,2031,0.001863328
RURAL,Q4,INDIA,ER,OD,2031,0.002343526
RURAL,Q5,INDIA,ER,OD,2031,0.003890246
URBAN,Q1,INDIA,ER,OD,2031,0.004710482
URBAN,Q2,INDIA,ER,OD,2031,0.005379044
URBAN,Q3,INDIA,ER,OD,2031,0.005666745
URBAN,Q4,INDIA,ER,OD,2031,0.005666745
URBAN,Q5,INDIA,ER,OD,2031,0.005666745
RURAL,Q1,INDIA,ER,WB,2021,0.000398337
