ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Penetration
RURAL,Q1,INDIA,NER,AS,2021,0.001741169
RURAL,Q2,INDIA,NER,AS,2021,0.002510013
RURAL,Q3,INDIA,NER,AS,2021,0.003192768
RURAL,Q4,INDIA,NER,AS,2021,0.004258912
RURAL,Q5,INDIA,NER,AS,2021,0.007938053
URBAN,Q1,INDIA,NER,AS,2021,0.005718079
URBAN,Q2,INDIA,NER,AS,2021,0.010805172
URBAN,Q3,INDIA,NER,AS,2021,0.016110641
URBAN,Q4,INDIA,NER,AS,2021,0.026853752
URBAN,Q5,INDIA,NER,AS,2021,0.066124733
RURAL,Q1,INDIA,NER,AS,2022,0.002170811
RURAL,Q2,INDIA,NER,AS,2022,0.003114493
RURAL,Q3,INDIA,NER,AS,2022,0.003919487
RURAL,Q4,INDIA,NER,AS,2022,0.005226288
RURAL,Q5,INDIA,NER,AS,2022,0.009728191
URBAN,Q1,INDIA,NER,AS,2022,0.007231231
URBAN,Q2,INDIA,NER,AS,2022,0.013575946
URBAN,Q3,INDIA,NER,AS,2022,0.019995437
URBAN,Q4,INDIA,NER,AS,2022,0.033193277
URBAN,Q5,INDIA,NER,AS,2022,0.080659844
RURAL,Q1,INDIA,NER,AS,2023,0.002627437
RURAL,Q2,INDIA,NER,AS,2023,0.003754472
RURAL,Q3,INDIA,NER,AS,2023,0.004682653
RURAL,Q4,INDIA,NER,AS,2023,0.006241603
RURAL,Q5,INDIA,NER,AS,2023,0.011603377
URBAN,Q1,INDIA,NER,AS,2023,0.008878218
URBAN,Q2,INDIA,NER,AS,2023,0.016573451
URBAN,Q3,INDIA,NER,AS,2023,0.024157598
URBAN,Q4,INDIA,NER,AS,2023,0.039948437
URBAN,Q5,INDIA,NER,AS,2023,0.095871213
RURAL,Q1,INDIA,NER,AS,2024,0.003106072
RURAL,Q2,INDIA,NER,AS,2024,0.00442325
RURAL,Q3,INDIA,NER,AS,2024,0.00547513
RURAL,Q4,INDIA,NER,AS,2024,0.007295382
RURAL,Q5,INDIA,NER,AS,2024,0.013546235
URBAN,Q1,INDIA,NER,AS,2024,0.010647372
URBAN,Q2,INDIA,NER,AS,2024,0.019777124
URBAN,Q3,INDIA,NER,AS,2024,0.028572291
URBAN,Q4,INDIA,NER,AS,2024,0.04707986
URBAN,Q5,INDIA,NER,AS,2024,0.111688348
RURAL,Q1,INDIA,NER,AS,2025,0.00366289
RURAL,Q2,INDIA,NER,AS,2025,0.005198565
RURAL,Q3,INDIA,NER,AS,2025,0.006387118
RURAL,Q4,INDIA,NER,AS,2025,0.008507348
RURAL,Q5,INDIA,NER,AS,2025,0.015776154
URBAN,Q1,INDIA,NER,AS,2025,0.012735675
URBAN,Q2,INDIA,NER,AS,2025,0.023535921
URBAN,Q3,INDIA,NER,AS,2025,0.033703699
URBAN,Q4,INDIA,NER,AS,2025,0.055321241
URBAN,Q5,INDIA,NER,AS,2025,0.129627226
RURAL,Q1,INDIA,NER,AS,2026,0.004313025
RURAL,Q2,INDIA,NER,AS,2026,0.006100637
RURAL,Q3,INDIA,NER,AS,2026,0.007440443
RURAL,Q4,INDIA,NER,AS,2026,0.009906217
RURAL,Q5,INDIA,NER,AS,2026,0.018344142
URBAN,Q1,INDIA,NER,AS,2026,0.015207754
URBAN,Q2,INDIA,NER,AS,2026,0.027957348
URBAN,Q3,INDIA,NER,AS,2026,0.039682559
URBAN,Q4,INDIA,NER,AS,2026,0.06486353
URBAN,Q5,INDIA,NER,AS,2026,0.149983815
RURAL,Q1,INDIA,NER,AS,2027,0.005069147
RURAL,Q2,INDIA,NER,AS,2027,0.007146101
RURAL,Q3,INDIA,NER,AS,2027,0.008652424
RURAL,Q4,INDIA,NER,AS,2027,0.011514631
RURAL,Q5,INDIA,NER,AS,2027,0.021289566
URBAN,Q1,INDIA,NER,AS,2027,0.018122446
URBAN,Q2,INDIA,NER,AS,2027,0.033136291
URBAN,Q3,INDIA,NER,AS,2027,0.046619592
URBAN,Q4,INDIA,NER,AS,2027,0.075861032
URBAN,Q5,INDIA,NER,AS,2027,0.172954413
RURAL,Q1,INDIA,NER,AS,2028,0.005955693
RURAL,Q2,INDIA,NER,AS,2028,0.008367495
RURAL,Q3,INDIA,NER,AS,2028,0.010058011
