EnergyService,EnergyCarrier,ConsumerType1,ModelGeography,SubGeography1,SubGeography2,Year,Season,DayType,DaySlice,EnergyDemand
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,NIGHT,0.582181129
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EARLY,0.184234535
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,MORN,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,MID,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,AFTERNOON,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,SUMMER,ALLDAYS,EVENING,0.235820204
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,NIGHT,0.582181129
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,EARLY,0.184234535
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,MORN,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,MID,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,AFTERNOON,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,MONSOON,ALLDAYS,EVENING,0.235820204
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,NIGHT,0.582181129
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,EARLY,0.184234535
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,MORN,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,MID,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,AFTERNOON,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,AUTUMN,ALLDAYS,EVENING,0.235820204
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,NIGHT,0.582181129
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,EARLY,0.184234535
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,MORN,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,MID,0.176865153
TRANS_ELEC,ELECTRICITY,ALL,INDIA,NR,DL,2021,WINTER,ALLDAYS,AFTERNOON,0.176865153
