EnergyCarrier,Year,CostOfCarrier
COKING_COAL,2021,534323.6264932096
COKING_COAL,2022,579876.5192609286
COKING_COAL,2023,617041.4651966655
COKING_COAL,2024,648550.1520966862
COKING_COAL,2025,681962.0915685612
COKING_COAL,2026,715411.7632856208
COKING_COAL,2027,749773.2016368358
COKING_COAL,2028,785753.5354455321
COKING_COAL,2029,823427.5735374264
COKING_COAL,2030,862873.5196961113
COKING_COAL,2031,904173.1269917684
STEAM_COAL,2021,3146982.5042276736
STEAM_COAL,2022,3363756.3748709075
STEAM_COAL,2023,3360250.0627837298
STEAM_COAL,2024,3376168.4375684233
STEAM_COAL,2025,3348120.189650696
STEAM_COAL,2026,3296175.315156157
STEAM_COAL,2027,3249051.227914971
STEAM_COAL,2028,3254514.4286386385
STEAM_COAL,2029,3304623.046255548
STEAM_COAL,2030,3355611.3380224053
STEAM_COAL,2031,3520102.724626722
NATGAS,2021,427435.79484193213
NATGAS,2022,486038.69391235494
NATGAS,2023,531630.4015604408
NATGAS,2024,591686.9366640996
NATGAS,2025,646382.6702226839
NATGAS,2026,713809.4645472874
NATGAS,2027,795237.918950085
NATGAS,2028,848158.2587455668
NATGAS,2029,934659.5345498807
NATGAS,2030,1011424.1289761646
NATGAS,2031,1061034.1410117354
BIOGAS,2021,17651.082854795408
BIOGAS,2022,17110.25775970084
BIOGAS,2023,16874.76284706539
BIOGAS,2024,16744.101234278394
BIOGAS,2025,16717.420846442117
BIOGAS,2026,16757.43134358585
BIOGAS,2027,16696.730876902773
BIOGAS,2028,16674.62715591297
BIOGAS,2029,16672.98482753863
BIOGAS,2030,16685.111097665478
BIOGAS,2031,16698.302243120863
BIOMASS,2021,1074088.645654583
BIOMASS,2022,1066695.8439531517
BIOMASS,2023,1063141.654008483
BIOMASS,2024,1066239.2677329197
BIOMASS,2025,1067918.8297697513
BIOMASS,2026,1071215.4564899679
BIOMASS,2027,1075409.7428913126
BIOMASS,2028,1079801.749625065
BIOMASS,2029,1086503.5088921017
BIOMASS,2030,1095974.2488316086
BIOMASS,2031,1107994.7788356289
CRUDE,2021,4600470.061757629
CRUDE,2022,5247971.483244498
CRUDE,2023,6204862.001921258
CRUDE,2024,6756124.986628251
CRUDE,2025,7356661.099641229
CRUDE,2026,7985313.461455959
CRUDE,2027,8656670.392270992
CRUDE,2028,9378724.141345972
CRUDE,2029,10154613.745217452
CRUDE,2030,10987324.067042751
CRUDE,2031,11879186.155440424
ELECTRICITY,2021,3920818.1674712556
ELECTRICITY,2022,4241656.114994654
ELECTRICITY,2023,4471232.417002345
ELECTRICITY,2024,4752554.989156976
ELECTRICITY,2025,5035778.502730048
ELECTRICITY,2026,5259614.094195345
ELECTRICITY,2027,5499171.939320723
ELECTRICITY,2028,5777025.695938475
ELECTRICITY,2029,6171618.377722296
ELECTRICITY,2030,6536349.614863776
ELECTRICITY,2031,7006371.644172122
MS,2021,2152944.654169527
MS,2022,2437001.3031501328
MS,2023,2692361.8517651665
MS,2024,2918977.7700263984
MS,2025,3151732.1937165693
MS,2026,3391768.6046604253
MS,2027,3637723.15005938
MS,2028,3892280.472733263
MS,2029,4155118.0114225773
MS,2030,4425883.893114748
MS,2031,4704199.721899689
HSD,2021,4490597.067811048
HSD,2022,4654043.598865575
HSD,2023,4796104.349416075
HSD,2024,4920620.245728384
HSD,2025,5045629.575797135
HSD,2026,5171932.364544962
HSD,2027,5299176.105586178
HSD,2028,5428743.464387442
HSD,2029,5560659.231614039
HSD,2030,5694948.534914212
HSD,2031,5831636.866322019
ATF,2021,105952.73123981353
ATF,2022,115328.14511483851
ATF,2023,123642.86127179876
ATF,2024,130988.81168675171
ATF,2025,138552.4577988138
ATF,2026,146391.80274335417
ATF,2027,154482.59407587993
ATF,2028,162935.16825270915
ATF,2029,171761.0776436206
ATF,2030,180972.03096809803
ATF,2031,190579.88686287645
LPG,2021,229817.08592952235
LPG,2022,244877.5980577145
LPG,2023,260316.24548686662
LPG,2024,271650.5159263836
LPG,2025,282959.6770418126
LPG,2026,293947.2225015319
LPG,2027,304492.3666177709
LPG,2028,314705.6867261128
LPG,2029,324526.2805242799
LPG,2030,333830.99869540596
LPG,2031,342350.5431816743
PP_OTHER,2021,112641.34151398674
PP_OTHER,2022,132694.7927560315
PP_OTHER,2023,161308.2904121474
PP_OTHER,2024,179630.0775075243
PP_OTHER,2025,199959.07591148512
PP_OTHER,2026,221831.08622728958
PP_OTHER,2027,245713.34089766294
PP_OTHER,2028,271978.96813577705
PP_OTHER,2029,300826.6162312246
PP_OTHER,2030,332469.05817809666
PP_OTHER,2031,367134.102894857
