EnergyStorTech,Year,CostOfStorage
FOURHR_BATTERY,2021,0.0
FOURHR_BATTERY,2022,0.0
FOURHR_BATTERY,2023,0.0
FOURHR_BATTERY,2024,0.0
FOURHR_BATTERY,2025,0.0
FOURHR_BATTERY,2026,0.0
FOURHR_BATTERY,2027,1675.9733336424915
FOURHR_BATTERY,2028,1675.9733336424915
FOURHR_BATTERY,2029,26908.144089734837
FOURHR_BATTERY,2030,76164.000931707
FOURHR_BATTERY,2031,76164.000931707
SIXHR_BATTERY,2021,0.0
SIXHR_BATTERY,2022,0.0
SIXHR_BATTERY,2023,0.0
SIXHR_BATTERY,2024,0.0
SIXHR_BATTERY,2025,0.0
SIXHR_BATTERY,2026,0.0
SIXHR_BATTERY,2027,0.0
SIXHR_BATTERY,2028,0.0
SIXHR_BATTERY,2029,18267.377367291363
SIXHR_BATTERY,2030,34260.05774029953
SIXHR_BATTERY,2031,34260.05774029953
PUMPED_STOR,2021,39444.92310936
PUMPED_STOR,2022,39444.92310936
PUMPED_STOR,2023,39444.92310936
PUMPED_STOR,2024,51405.378385515854
PUMPED_STOR,2025,57385.60602359378
PUMPED_STOR,2026,58342.44244635447
PUMPED_STOR,2027,58342.44244635447
PUMPED_STOR,2028,58342.44244635447
PUMPED_STOR,2029,58342.44244635447
PUMPED_STOR,2030,58342.44244635447
PUMPED_STOR,2031,58342.44244635447
