EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,PECCostInBT_BA
COKING_COAL,2021,,,,INDIA,ER,491375.1468489418
COKING_COAL,2021,,,,INDIA,WR,32421.90935911106
COKING_COAL,2021,,,,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,10526.570285156697
COKING_COAL,2021,,,,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,532686.8414288147
COKING_COAL,2022,,,,INDIA,WR,35630.67251423789
COKING_COAL,2022,,,,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,11559.005317875968
COKING_COAL,2022,,,,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,566195.7560132762
COKING_COAL,2023,,,,INDIA,WR,38400.39790435832
COKING_COAL,2023,,,,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,SR,12445.311279030986
COKING_COAL,2023,,,,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,ER,594432.5143608309
COKING_COAL,2024,,,,INDIA,WR,40882.499585089645
COKING_COAL,2024,,,,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,13235.138150765652
COKING_COAL,2024,,,,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,624335.3662663172
COKING_COAL,2025,,,,INDIA,WR,43546.08341979746
COKING_COAL,2025,,,,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,14080.641882446425
COKING_COAL,2025,,,,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,654187.0567502199
COKING_COAL,2026,,,,INDIA,WR,46279.80868192296
COKING_COAL,2026,,,,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,14944.89785347798
COKING_COAL,2026,,,,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,684785.1014084396
COKING_COAL,2027,,,,INDIA,WR,49141.65086451328
COKING_COAL,2027,,,,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,15846.449363883008
COKING_COAL,2027,,,,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,716769.4696127482
COKING_COAL,2028,,,,INDIA,WR,52182.74041444054
COKING_COAL,2028,,,,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,SR,16801.325418343342
COKING_COAL,2028,,,,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,ER,750200.521402607
COKING_COAL,2029,,,,INDIA,WR,55414.446647869285
COKING_COAL,2029,,,,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,SR,17812.605486950095
COKING_COAL,2029,,,,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,ER,785141.1110320322
COKING_COAL,2030,,,,INDIA,WR,58848.86694682044
COKING_COAL,2030,,,,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,SR,18883.54171725873
COKING_COAL,2030,,,,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,ER,821656.6851691022
COKING_COAL,2031,,,,INDIA,WR,62498.87354999959
COKING_COAL,2031,,,,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,SR,20017.56827266663
COKING_COAL,2031,,,,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,ER,800759.9880907306
STEAM_COAL,2021,,,,INDIA,WR,1053009.87404475
STEAM_COAL,2021,,,,INDIA,NR,416010.9552349173
STEAM_COAL,2021,,,,INDIA,SR,863499.4080254394
STEAM_COAL,2021,,,,INDIA,NER,13521.603637744895
STEAM_COAL,2022,,,,INDIA,ER,843897.5416960905
STEAM_COAL,2022,,,,INDIA,WR,1109256.375634659
STEAM_COAL,2022,,,,INDIA,NR,450532.49670128943
STEAM_COAL,2022,,,,INDIA,SR,946260.0046813153
STEAM_COAL,2022,,,,INDIA,NER,13619.279904001249
STEAM_COAL,2023,,,,INDIA,ER,905651.5215134402
STEAM_COAL,2023,,,,INDIA,WR,1168507.9641515405
STEAM_COAL,2023,,,,INDIA,NR,370852.4117651981
STEAM_COAL,2023,,,,INDIA,SR,906501.2864809239
STEAM_COAL,2023,,,,INDIA,NER,8543.770450378335
STEAM_COAL,2024,,,,INDIA,ER,944672.7980843083
STEAM_COAL,2024,,,,INDIA,WR,1230984.9841065693
STEAM_COAL,2024,,,,INDIA,NR,377199.13041963644
STEAM_COAL,2024,,,,INDIA,SR,816839.3771674524
STEAM_COAL,2024,,,,INDIA,NER,6276.976866234404
STEAM_COAL,2025,,,,INDIA,ER,973727.9570634585
STEAM_COAL,2025,,,,INDIA,WR,1282097.3758698003
STEAM_COAL,2025,,,,INDIA,NR,261405.66121960361
STEAM_COAL,2025,,,,INDIA,SR,823666.0360074828
STEAM_COAL,2025,,,,INDIA,NER,7026.79474554675
STEAM_COAL,2026,,,,INDIA,ER,971583.0435851874
STEAM_COAL,2026,,,,INDIA,WR,1276331.346295666
STEAM_COAL,2026,,,,INDIA,NR,245487.48186859756
STEAM_COAL,2026,,,,INDIA,SR,796120.751944476
STEAM_COAL,2026,,,,INDIA,NER,6460.123067934786
STEAM_COAL,2027,,,,INDIA,ER,973602.2757586698
STEAM_COAL,2027,,,,INDIA,WR,1256869.4619932608
STEAM_COAL,2027,,,,INDIA,NR,270201.09700045834
STEAM_COAL,2027,,,,INDIA,SR,743155.9643749392
STEAM_COAL,2027,,,,INDIA,NER,5035.437697557741
STEAM_COAL,2028,,,,INDIA,ER,967151.7041681062
STEAM_COAL,2028,,,,INDIA,WR,1260462.0517553561
STEAM_COAL,2028,,,,INDIA,NR,291527.0721180052
STEAM_COAL,2028,,,,INDIA,SR,729195.4529109115
STEAM_COAL,2028,,,,INDIA,NER,5994.352744111514
STEAM_COAL,2029,,,,INDIA,ER,997181.4601801761
STEAM_COAL,2029,,,,INDIA,WR,1256174.4818050112
STEAM_COAL,2029,,,,INDIA,NR,319487.20591792534
STEAM_COAL,2029,,,,INDIA,SR,725215.6661011423
STEAM_COAL,2029,,,,INDIA,NER,6378.121025250891
STEAM_COAL,2030,,,,INDIA,ER,1016537.8096671402
STEAM_COAL,2030,,,,INDIA,WR,1275865.2247130196
STEAM_COAL,2030,,,,INDIA,NR,340117.7684265518
STEAM_COAL,2030,,,,INDIA,SR,716620.0147159668
STEAM_COAL,2030,,,,INDIA,NER,6283.143452947076
STEAM_COAL,2031,,,,INDIA,ER,1034554.3242422788
STEAM_COAL,2031,,,,INDIA,WR,1350439.780003796
STEAM_COAL,2031,,,,INDIA,NR,374914.20152369025
STEAM_COAL,2031,,,,INDIA,SR,751573.1024807836
STEAM_COAL,2031,,,,INDIA,NER,8426.356752504136
NATGAS,2021,,,,INDIA,,427435.7748423385
NATGAS,2022,,,,INDIA,,486038.6515418205
NATGAS,2023,,,,INDIA,,531630.4015604408
NATGAS,2024,,,,INDIA,,591686.8304833784
NATGAS,2025,,,,INDIA,,646382.5375211271
NATGAS,2026,,,,INDIA,,713809.2250399655
NATGAS,2027,,,,INDIA,,795237.4902714598
NATGAS,2028,,,,INDIA,,848157.9279486897
NATGAS,2029,,,,INDIA,,934659.0465739772
NATGAS,2030,,,,INDIA,,1011423.6123722794
NATGAS,2031,,,,INDIA,,1061033.8730811982
BIOGAS,2021,,,,INDIA,,17651.082854795408
