EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy,TotalEnergyDemand
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,54.873441068834495,3347.279905198904
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,134.9000975498578,8228.905950541326
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,118.75944552839631,7244.326177232175
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,117.76841415980164,7183.8732637479
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,3.06440636811843,186.92878845522424
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,68.77643892129487,4195.362774198987
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,163.89606076325478,9997.659706558541
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,148.46521374629862,9056.378038524215
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,144.24595481783086,8799.003243887682
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,4.3301424907487425,264.1386919356733
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,ER,70.95293557083184,4328.129069820742
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,WR,162.43665933541504,9908.636219460317
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NR,157.09032804354024,9582.510010655955
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,SR,142.51274701133966,8693.277567691719
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NER,5.436769781452778,331.64295666861943
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,69.42586232035923,4234.977601541913
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,152.4583621263018,9299.960089704411
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,148.39575798069887,9052.141236822632
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,130.3641460464979,7952.212908836372
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,4.817523628121783,293.86894131542874
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,108.40181975185224,6612.511004862987
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,202.9722469078175,12381.307061376867
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,235.73898662975333,14380.078184414953
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,179.90667720928732,10974.307309766527
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,9.153178288945146,558.3438756256539
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,123.18552213715842,7514.316850366663
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,298.71900166521414,18221.859101578062
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,276.35015511089523,16857.35946176461
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,251.99014214172908,15371.398670645474
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,7.5702483724972165,461.78515072233023
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,56.780291284027136,5223.786798130496
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,106.68523462260157,9815.041585279345
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,100.66696082756404,9261.360396135891
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,89.7765935647835,8259.446607960082
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NER,4.513280237331548,415.22178183450245
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,ER,65.48935928052792,6025.0210538085685
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,WR,124.88107303677383,11489.058719383193
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NR,115.14700880918541,10593.524810445058
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,SR,105.44372236792262,9700.82245784888
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NER,4.502876830968452,414.2646684490976
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,ER,68.59217865041084,6310.480435837798
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,WR,131.69319786914846,12115.774203961659
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NR,128.21872182463042,11796.122407865998
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,SR,114.39903882173456,10524.71157159958
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NER,5.663569652678584,521.0484080464297
