Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,BR,1.92339614379703,117.32716477161883
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,JH,1.1686264551371714,71.28621376336746
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,OD,2.445309150958771,149.16385820848504
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,WB,4.9365229800706105,301.12790178430726
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,CG,1.0751646441445863,65.58504329281976
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GJ,2.464070108824331,150.30827663828418
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MP,4.079342920589033,248.839918155931
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MH,5.1512230771214655,314.2246077044094
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GA,0.063421388648367,3.8687047075503864
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,UT,0.14417189389885732,8.794485527830297
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,DL,0.538338202198533,32.83863033411051
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HR,1.3152673097047054,80.23130589198703
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HP,0.0321169710507521,1.959135234095878
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,JK,0.010667106760686199,0.6506935124018581
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,PB,1.230533080971093,75.06251793923667
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,RJ,3.3797056555108593,206.1620449861624
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UP,6.983124290919359,425.9705817460809
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UK,0.0925775230189208,5.6472289041541694
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,AP,4.320810016780127,263.56941102358775
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KA,1.3676017642069533,83.42370761662416
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KL,0.24537745365381,14.968024672882411
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TN,2.97274846952177,181.337656640828
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TS,2.6906284450020856,164.12833514512724
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,AS,0.096333753531664,5.876358965431504
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,NE,0.042372700109146004,2.584734706657906
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,BR,3.7609497235215352,229.41793313481364
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,JH,1.7284389010095418,105.43477296158206
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,OD,2.9588857942031073,180.49203344638954
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,WB,5.716964778372451,348.7348514807195
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,CG,1.3660641456204599,83.32991288284805
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GJ,4.139293665762101,252.49691361148817
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MP,5.557600387588542,339.01362364290105
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MH,8.669779946065843,528.8565767100164
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GA,0.11467870666773519,6.995401106731847
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,UT,0.3046693778265084,18.58483204741701
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,DL,1.5244012585795763,92.98847677335415
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HR,2.2228090612949627,135.59135273899273
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HP,0.0919401691190106,5.608350316259647
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,JK,0.08099747717609221,4.940846107741625
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,PB,2.221321289232891,135.50059864320636
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,RJ,5.066142766495096,309.03470875620087
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,UP,10.629985116030515,648.4290920778614
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,UK,0.2860118281974808,17.446721520046328
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,AP,5.109776010963926,311.69633666879946
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,KA,3.597022713794144,219.4183855414428
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,KL,2.019820349110902,123.20904129576503
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,TN,5.3067721898802676,323.7131035826963
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,TS,3.7308912442700572,227.5843659004735
2021,SUMMER,ALLDAYS,MORN,INDIA,NER,AS,0.36779405934815335,22.435437620237355
2021,SUMMER,ALLDAYS,MORN,INDIA,NER,NE,0.1684491595646072,10.27539873344104
2021,SUMMER,ALLDAYS,MID,INDIA,ER,BR,4.394695128372394,268.07640283071606
2021,SUMMER,ALLDAYS,MID,INDIA,ER,JH,1.925616882512701,117.46262983327476
2021,SUMMER,ALLDAYS,MID,INDIA,ER,OD,3.193222031310279,194.78654390992702
2021,SUMMER,ALLDAYS,MID,INDIA,ER,WB,6.1226178372942694,373.47968807495045
2021,SUMMER,ALLDAYS,MID,INDIA,WR,CG,1.5148416409065866,92.40534009530178
2021,SUMMER,ALLDAYS,MID,INDIA,WR,GJ,5.092688622165016,310.654005952066
2021,SUMMER,ALLDAYS,MID,INDIA,WR,MP,6.37849371527558,389.08811663181035
2021,SUMMER,ALLDAYS,MID,INDIA,WR,MH,10.31426050431915,629.1698907634682
2021,SUMMER,ALLDAYS,MID,INDIA,WR,GA,0.1406052415746206,8.576919736051856
2021,SUMMER,ALLDAYS,MID,INDIA,WR,UT,0.40068351422082094,24.441694367470078
2021,SUMMER,ALLDAYS,MID,INDIA,NR,DL,2.9207590027350028,178.16629916683516
2021,SUMMER,ALLDAYS,MID,INDIA,NR,HR,3.2221829032918508,196.5531571008029
2021,SUMMER,ALLDAYS,MID,INDIA,NR,HP,0.1186820714665702,7.239606359460782
2021,SUMMER,ALLDAYS,MID,INDIA,NR,JK,0.1473782987980597,8.99007622668164
