DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2022,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2023,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2024,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2025,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2026,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2027,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2028,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2029,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2030,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2031,INDIA,ER,BR,RURAL,Q1,0.0,AVERAGE
D_RES,2021,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2022,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2023,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2024,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2025,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2026,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2027,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2028,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2029,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2030,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2031,INDIA,ER,JH,RURAL,Q1,0.0,AVERAGE
D_RES,2021,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2022,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2023,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2024,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2025,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2026,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2027,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2028,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2029,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2030,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2031,INDIA,ER,OD,RURAL,Q1,0.0,AVERAGE
D_RES,2021,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2022,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2023,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2024,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2025,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2026,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2027,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2028,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2029,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2030,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2031,INDIA,ER,WB,RURAL,Q1,0.0,AVERAGE
D_RES,2021,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2022,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2023,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2024,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2025,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2026,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2027,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2028,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2029,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2030,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2031,INDIA,NER,AS,RURAL,Q1,0.0,AVERAGE
D_RES,2021,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2022,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2023,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2024,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2025,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2026,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2027,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2028,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2029,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2030,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2031,INDIA,NER,NE,RURAL,Q1,0.0,AVERAGE
D_RES,2021,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
D_RES,2022,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
D_RES,2023,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
D_RES,2024,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
D_RES,2025,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
D_RES,2026,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
D_RES,2027,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
D_RES,2028,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
D_RES,2029,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
D_RES,2030,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
D_RES,2031,INDIA,NR,DL,RURAL,Q1,0.0,AVERAGE
