InstYear,EnergyStorTech,ModelGeography,SubGeography1,StorLifetimeYearsInModel
2020,PUMPED_STOR,INDIA,ER,21
2020,PUMPED_STOR,INDIA,WR,21
2020,PUMPED_STOR,INDIA,NER,21
2020,PUMPED_STOR,INDIA,SR,21
2020,PUMPED_STOR,INDIA,NR,21
2021,FOURHR_BATTERY,INDIA,ER,10
2021,FOURHR_BATTERY,INDIA,WR,10
2021,FOURHR_BATTERY,INDIA,NR,10
2021,FOURHR_BATTERY,INDIA,SR,10
2021,FOURHR_BATTERY,INDIA,NER,10
2022,FOURHR_BATTERY,INDIA,ER,10
2022,FOURHR_BATTERY,INDIA,WR,10
2022,FOURHR_BATTERY,INDIA,NR,10
2022,FOURHR_BATTERY,INDIA,SR,10
2022,FOURHR_BATTERY,INDIA,NER,10
2023,FOURHR_BATTERY,INDIA,ER,10
2023,FOURHR_BATTERY,INDIA,WR,10
2023,FOURHR_BATTERY,INDIA,NR,10
2023,FOURHR_BATTERY,INDIA,SR,10
2023,FOURHR_BATTERY,INDIA,NER,10
2024,FOURHR_BATTERY,INDIA,ER,10
2024,FOURHR_BATTERY,INDIA,WR,10
2024,FOURHR_BATTERY,INDIA,NR,10
2024,FOURHR_BATTERY,INDIA,SR,10
2024,FOURHR_BATTERY,INDIA,NER,10
2025,FOURHR_BATTERY,INDIA,ER,10
2025,FOURHR_BATTERY,INDIA,WR,10
2025,FOURHR_BATTERY,INDIA,NR,10
2025,FOURHR_BATTERY,INDIA,SR,10
2025,FOURHR_BATTERY,INDIA,NER,10
2026,FOURHR_BATTERY,INDIA,ER,10
2026,FOURHR_BATTERY,INDIA,WR,10
2026,FOURHR_BATTERY,INDIA,NR,10
2026,FOURHR_BATTERY,INDIA,SR,10
2026,FOURHR_BATTERY,INDIA,NER,10
2027,FOURHR_BATTERY,INDIA,ER,10
2027,FOURHR_BATTERY,INDIA,WR,10
2027,FOURHR_BATTERY,INDIA,NR,10
2027,FOURHR_BATTERY,INDIA,SR,10
2027,FOURHR_BATTERY,INDIA,NER,10
2028,FOURHR_BATTERY,INDIA,ER,10
2028,FOURHR_BATTERY,INDIA,WR,10
2028,FOURHR_BATTERY,INDIA,NR,10
2028,FOURHR_BATTERY,INDIA,SR,10
2028,FOURHR_BATTERY,INDIA,NER,10
2029,FOURHR_BATTERY,INDIA,ER,10
2029,FOURHR_BATTERY,INDIA,WR,10
2029,FOURHR_BATTERY,INDIA,NR,10
2029,FOURHR_BATTERY,INDIA,SR,10
2029,FOURHR_BATTERY,INDIA,NER,10
2030,FOURHR_BATTERY,INDIA,ER,10
2030,FOURHR_BATTERY,INDIA,WR,10
2030,FOURHR_BATTERY,INDIA,NR,10
2030,FOURHR_BATTERY,INDIA,SR,10
2030,FOURHR_BATTERY,INDIA,NER,10
2031,FOURHR_BATTERY,INDIA,ER,10
2031,FOURHR_BATTERY,INDIA,WR,10
2031,FOURHR_BATTERY,INDIA,NR,10
2031,FOURHR_BATTERY,INDIA,SR,10
2031,FOURHR_BATTERY,INDIA,NER,10
2021,SIXHR_BATTERY,INDIA,ER,10
2021,SIXHR_BATTERY,INDIA,WR,10
2021,SIXHR_BATTERY,INDIA,NR,10
2021,SIXHR_BATTERY,INDIA,SR,10
2021,SIXHR_BATTERY,INDIA,NER,10
2022,SIXHR_BATTERY,INDIA,ER,10
2022,SIXHR_BATTERY,INDIA,WR,10
2022,SIXHR_BATTERY,INDIA,NR,10
2022,SIXHR_BATTERY,INDIA,SR,10
2022,SIXHR_BATTERY,INDIA,NER,10
2023,SIXHR_BATTERY,INDIA,ER,10
2023,SIXHR_BATTERY,INDIA,WR,10
2023,SIXHR_BATTERY,INDIA,NR,10
2023,SIXHR_BATTERY,INDIA,SR,10
2023,SIXHR_BATTERY,INDIA,NER,10
2024,SIXHR_BATTERY,INDIA,ER,10
2024,SIXHR_BATTERY,INDIA,WR,10
2024,SIXHR_BATTERY,INDIA,NR,10
2024,SIXHR_BATTERY,INDIA,SR,10
2024,SIXHR_BATTERY,INDIA,NER,10
2025,SIXHR_BATTERY,INDIA,ER,10
2025,SIXHR_BATTERY,INDIA,WR,10
2025,SIXHR_BATTERY,INDIA,NR,10
2025,SIXHR_BATTERY,INDIA,SR,10
2025,SIXHR_BATTERY,INDIA,NER,10
2026,SIXHR_BATTERY,INDIA,ER,10
2026,SIXHR_BATTERY,INDIA,WR,10
2026,SIXHR_BATTERY,INDIA,NR,10
2026,SIXHR_BATTERY,INDIA,SR,10
2026,SIXHR_BATTERY,INDIA,NER,10
2027,SIXHR_BATTERY,INDIA,ER,10
2027,SIXHR_BATTERY,INDIA,WR,10
2027,SIXHR_BATTERY,INDIA,NR,10
2027,SIXHR_BATTERY,INDIA,SR,10
2027,SIXHR_BATTERY,INDIA,NER,10
2028,SIXHR_BATTERY,INDIA,ER,10
2028,SIXHR_BATTERY,INDIA,WR,10
2028,SIXHR_BATTERY,INDIA,NR,10
2028,SIXHR_BATTERY,INDIA,SR,10
2028,SIXHR_BATTERY,INDIA,NER,10
2029,SIXHR_BATTERY,INDIA,ER,10
2029,SIXHR_BATTERY,INDIA,WR,10
2029,SIXHR_BATTERY,INDIA,NR,10
2029,SIXHR_BATTERY,INDIA,SR,10
2029,SIXHR_BATTERY,INDIA,NER,10
2030,SIXHR_BATTERY,INDIA,ER,10
2030,SIXHR_BATTERY,INDIA,WR,10
2030,SIXHR_BATTERY,INDIA,NR,10
2030,SIXHR_BATTERY,INDIA,SR,10
2030,SIXHR_BATTERY,INDIA,NER,10
2031,SIXHR_BATTERY,INDIA,ER,10
2031,SIXHR_BATTERY,INDIA,WR,10
