Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,0.39006714562782213
2021,INDIA,ER,BR,RURAL,Q2,0.3654720692761706
2021,INDIA,ER,BR,RURAL,Q3,0.3433648124565842
2021,INDIA,ER,BR,RURAL,Q4,0.38459562933347835
2021,INDIA,ER,BR,RURAL,Q5,0.4216630422256708
2021,INDIA,ER,BR,URBAN,Q1,0.018082938972870794
2021,INDIA,ER,BR,URBAN,Q2,0.02108453740698256
2021,INDIA,ER,BR,URBAN,Q3,0.02085349313614553
2021,INDIA,ER,BR,URBAN,Q4,0.01923525199595197
2021,INDIA,ER,BR,URBAN,Q5,0.012663237979964787
2021,INDIA,ER,JH,RURAL,Q1,0.005305125006566913
2021,INDIA,ER,JH,RURAL,Q2,0.0077246819769271995
2021,INDIA,ER,JH,RURAL,Q3,0.007555569874655575
2021,INDIA,ER,JH,RURAL,Q4,0.010065042782242092
2021,INDIA,ER,JH,RURAL,Q5,0.010830575645731566
2021,INDIA,ER,JH,URBAN,Q1,0.0037153377827946793
2021,INDIA,ER,JH,URBAN,Q2,0.0039057952625297207
2021,INDIA,ER,JH,URBAN,Q3,0.004549888318261098
2021,INDIA,ER,JH,URBAN,Q4,0.0041160004069031066
2021,INDIA,ER,JH,URBAN,Q5,0.0029291083517742245
2021,INDIA,ER,OD,RURAL,Q1,0.00574215272183451
2021,INDIA,ER,OD,RURAL,Q2,0.007255392281313149
2021,INDIA,ER,OD,RURAL,Q3,0.009373000870296315
2021,INDIA,ER,OD,RURAL,Q4,0.009747415944903816
2021,INDIA,ER,OD,RURAL,Q5,0.015167675941643878
2021,INDIA,ER,OD,URBAN,Q1,0.0034408129190355635
2021,INDIA,ER,OD,URBAN,Q2,0.005739636865590845
2021,INDIA,ER,OD,URBAN,Q3,0.0062967790907365135
2021,INDIA,ER,OD,URBAN,Q4,0.005497535452124492
2021,INDIA,ER,OD,URBAN,Q5,0.005278107293416435
2021,INDIA,ER,WB,RURAL,Q1,0.018068883570302844
2021,INDIA,ER,WB,RURAL,Q2,0.02338147779590721
2021,INDIA,ER,WB,RURAL,Q3,0.021334054303686262
2021,INDIA,ER,WB,RURAL,Q4,0.03578531781200429
2021,INDIA,ER,WB,RURAL,Q5,0.048580726603261404
2021,INDIA,ER,WB,URBAN,Q1,0.04322410642571958
2021,INDIA,ER,WB,URBAN,Q2,0.04667513839254847
2021,INDIA,ER,WB,URBAN,Q3,0.04258366493312112
2021,INDIA,ER,WB,URBAN,Q4,0.044804975324118215
2021,INDIA,ER,WB,URBAN,Q5,0.04167023665380868
2021,INDIA,WR,CG,RURAL,Q1,0.011025672572067179
2021,INDIA,WR,CG,RURAL,Q2,0.012972473060856738
2021,INDIA,WR,CG,RURAL,Q3,0.009517208521602484
2021,INDIA,WR,CG,RURAL,Q4,0.018513030511647294
2021,INDIA,WR,CG,RURAL,Q5,0.021090602042812857
2021,INDIA,WR,CG,URBAN,Q1,0.0013960470549332531
2021,INDIA,WR,CG,URBAN,Q2,0.0022111074066704806
2021,INDIA,WR,CG,URBAN,Q3,0.002190421580018144
2021,INDIA,WR,CG,URBAN,Q4,0.0022931362522116434
2021,INDIA,WR,CG,URBAN,Q5,0.0021476946936121537
2021,INDIA,WR,GJ,RURAL,Q1,0.13191389407049775
2021,INDIA,WR,GJ,RURAL,Q2,0.14185489494014333
2021,INDIA,WR,GJ,RURAL,Q3,0.13767319100474087
2021,INDIA,WR,GJ,RURAL,Q4,0.12890771443643076
2021,INDIA,WR,GJ,RURAL,Q5,0.13661596261795866
2021,INDIA,WR,GJ,URBAN,Q1,0.10088767957130146
2021,INDIA,WR,GJ,URBAN,Q2,0.07814177251643345
2021,INDIA,WR,GJ,URBAN,Q3,0.07148406716914839
2021,INDIA,WR,GJ,URBAN,Q4,0.05303234753460576
2021,INDIA,WR,GJ,URBAN,Q5,0.07735356163498319
2021,INDIA,WR,MP,RURAL,Q1,0.12316606788783384
2021,INDIA,WR,MP,RURAL,Q2,0.11937063531743344
2021,INDIA,WR,MP,RURAL,Q3,0.13615979473797638
2021,INDIA,WR,MP,RURAL,Q4,0.13465055977558588
2021,INDIA,WR,MP,RURAL,Q5,0.1327603725288017
2021,INDIA,WR,MP,URBAN,Q1,0.010652483234936536
2021,INDIA,WR,MP,URBAN,Q2,0.012797233315552856
2021,INDIA,WR,MP,URBAN,Q3,0.012227799492399771
2021,INDIA,WR,MP,URBAN,Q4,0.009251851543724956
2021,INDIA,WR,MP,URBAN,Q5,0.0076832935461153985
2021,INDIA,WR,MH,RURAL,Q1,0.28072431120960273
2021,INDIA,WR,MH,RURAL,Q2,0.36846259681620724
2021,INDIA,WR,MH,RURAL,Q3,0.369910764801648
2021,INDIA,WR,MH,RURAL,Q4,0.4366149143379866
2021,INDIA,WR,MH,RURAL,Q5,0.3571574734390372
2021,INDIA,WR,MH,URBAN,Q1,0.05349264326309492
2021,INDIA,WR,MH,URBAN,Q2,0.043773709022100066
2021,INDIA,WR,MH,URBAN,Q3,0.03705237360619865
2021,INDIA,WR,MH,URBAN,Q4,0.03140927538771858
2021,INDIA,WR,MH,URBAN,Q5,0.02800518741693249
2021,INDIA,WR,GA,RURAL,Q1,0.0
2021,INDIA,WR,GA,RURAL,Q2,0.0
2021,INDIA,WR,GA,RURAL,Q3,0.0
2021,INDIA,WR,GA,RURAL,Q4,0.0
2021,INDIA,WR,GA,RURAL,Q5,0.0
2021,INDIA,WR,GA,URBAN,Q1,0.0
2021,INDIA,WR,GA,URBAN,Q2,0.0
2021,INDIA,WR,GA,URBAN,Q3,0.0
2021,INDIA,WR,GA,URBAN,Q4,0.0
2021,INDIA,WR,GA,URBAN,Q5,0.0
2021,INDIA,WR,UT,RURAL,Q1,0.0
2021,INDIA,WR,UT,RURAL,Q2,0.0
2021,INDIA,WR,UT,RURAL,Q3,0.0
2021,INDIA,WR,UT,RURAL,Q4,0.0
2021,INDIA,WR,UT,RURAL,Q5,0.0
2021,INDIA,WR,UT,URBAN,Q1,0.0
2021,INDIA,WR,UT,URBAN,Q2,0.0
2021,INDIA,WR,UT,URBAN,Q3,0.0
2021,INDIA,WR,UT,URBAN,Q4,0.0
2021,INDIA,WR,UT,URBAN,Q5,0.0
2021,INDIA,NR,DL,RURAL,Q1,0.0004104791870330132
2021,INDIA,NR,DL,RURAL,Q2,0.0002389690141287739
2021,INDIA,NR,DL,RURAL,Q3,0.00015827685725883277
2021,INDIA,NR,DL,RURAL,Q4,0.00023204500689721848
2021,INDIA,NR,DL,RURAL,Q5,0.0002379226339547014
2021,INDIA,NR,DL,URBAN,Q1,0.0
2021,INDIA,NR,DL,URBAN,Q2,0.0
2021,INDIA,NR,DL,URBAN,Q3,0.0
2021,INDIA,NR,DL,URBAN,Q4,0.0
2021,INDIA,NR,DL,URBAN,Q5,0.0
2021,INDIA,NR,HR,RURAL,Q1,0.0060902848224498275
2021,INDIA,NR,HR,RURAL,Q2,0.005809142883229587
2021,INDIA,NR,HR,RURAL,Q3,0.0068049373948216
2021,INDIA,NR,HR,RURAL,Q4,0.006955544086360365
2021,INDIA,NR,HR,RURAL,Q5,0.005702789743165208
2021,INDIA,NR,HR,URBAN,Q1,0.00664653801115522
2021,INDIA,NR,HR,URBAN,Q2,0.006578902506404064
2021,INDIA,NR,HR,URBAN,Q3,0.006771347824991704
2021,INDIA,NR,HR,URBAN,Q4,0.005387189443207781
2021,INDIA,NR,HR,URBAN,Q5,0.004972944135748296
2021,INDIA,NR,HP,RURAL,Q1,0.0
2021,INDIA,NR,HP,RURAL,Q2,0.0
2021,INDIA,NR,HP,RURAL,Q3,0.0
2021,INDIA,NR,HP,RURAL,Q4,0.0
2021,INDIA,NR,HP,RURAL,Q5,0.0
2021,INDIA,NR,HP,URBAN,Q1,0.00041723359819872583
2021,INDIA,NR,HP,URBAN,Q2,0.00036312741993647707
2021,INDIA,NR,HP,URBAN,Q3,0.0002420294119327292
2021,INDIA,NR,HP,URBAN,Q4,0.0001757256197595986
2021,INDIA,NR,HP,URBAN,Q5,0.00014921621944259555
2021,INDIA,NR,JK,RURAL,Q1,0.0
2021,INDIA,NR,JK,RURAL,Q2,0.0
2021,INDIA,NR,JK,RURAL,Q3,0.0
2021,INDIA,NR,JK,RURAL,Q4,0.0
2021,INDIA,NR,JK,RURAL,Q5,0.0
2021,INDIA,NR,JK,URBAN,Q1,0.0
2021,INDIA,NR,JK,URBAN,Q2,0.0
2021,INDIA,NR,JK,URBAN,Q3,0.0
2021,INDIA,NR,JK,URBAN,Q4,0.0
2021,INDIA,NR,JK,URBAN,Q5,0.0
2021,INDIA,NR,PB,RURAL,Q1,0.15476562890591505
2021,INDIA,NR,PB,RURAL,Q2,0.16485435254148528
2021,INDIA,NR,PB,RURAL,Q3,0.18240401199964484
2021,INDIA,NR,PB,RURAL,Q4,0.18472722657397367
2021,INDIA,NR,PB,RURAL,Q5,0.16188274709686848
2021,INDIA,NR,PB,URBAN,Q1,0.03533807046411832
2021,INDIA,NR,PB,URBAN,Q2,0.028826984713981353
2021,INDIA,NR,PB,URBAN,Q3,0.03558777091128847
2021,INDIA,NR,PB,URBAN,Q4,0.02659791057011653
2021,INDIA,NR,PB,URBAN,Q5,0.025670835459816924
2021,INDIA,NR,RJ,RURAL,Q1,0.005145207709915047
2021,INDIA,NR,RJ,RURAL,Q2,0.0054795033373746345
2021,INDIA,NR,RJ,RURAL,Q3,0.006504278086738406
