Year,ModelGeography,SubGeography1,SubGeography2,EnergyDemand
2021,INDIA,ER,BR,71.88940958673608
2021,INDIA,ER,JH,15.568295388064792
2021,INDIA,ER,OD,19.415164584601744
2021,INDIA,ER,WB,55.80677617750437
2021,INDIA,WR,CG,15.628706200833436
2021,INDIA,WR,GJ,50.496616064308014
2021,INDIA,WR,MP,53.74840072023807
2021,INDIA,WR,MH,125.73354404345869
2021,INDIA,WR,GA,2.1679392992312714
2021,INDIA,WR,UT,3.7604260951136874
2021,INDIA,NR,DL,21.45829570310315
2021,INDIA,NR,HR,25.71115510045228
2021,INDIA,NR,HP,4.8827897873529915
2021,INDIA,NR,JK,13.331573925584621
2021,INDIA,NR,PB,32.90175380692993
2021,INDIA,NR,RJ,50.383405745889085
2021,INDIA,NR,UP,144.91787481063216
2021,INDIA,NR,UK,10.405848716795303
2021,INDIA,SR,AP,58.652385671163785
2021,INDIA,SR,KA,71.45058944738535
2021,INDIA,SR,KL,27.50793982148211
2021,INDIA,SR,TN,93.83764750550816
2021,INDIA,SR,TS,43.65164945203631
2021,INDIA,NER,AS,25.1453226136224
2021,INDIA,NER,NE,11.188916183906263
2022,INDIA,ER,BR,74.38571048241639
2022,INDIA,ER,JH,16.437105827441805
2022,INDIA,ER,OD,20.450264655619694
2022,INDIA,ER,WB,58.54292259226213
2022,INDIA,WR,CG,16.076783461858113
2022,INDIA,WR,GJ,52.61761170054975
2022,INDIA,WR,MP,56.622098078126704
2022,INDIA,WR,MH,130.21443688717463
2022,INDIA,WR,GA,2.1945625410270817
2022,INDIA,WR,UT,3.81854646411751
2022,INDIA,NR,DL,21.545791318905753
2022,INDIA,NR,HR,27.145626603296567
2022,INDIA,NR,HP,5.180186728301388
2022,INDIA,NR,JK,13.886735409111804
2022,INDIA,NR,PB,33.99725588374955
2022,INDIA,NR,RJ,53.607731921000145
2022,INDIA,NR,UP,152.0204340662513
2022,INDIA,NR,UK,10.75093021261478
2022,INDIA,SR,AP,61.69318588980784
2022,INDIA,SR,KA,75.23567834655478
2022,INDIA,SR,KL,28.63117802101985
2022,INDIA,SR,TN,96.02403131840603
2022,INDIA,SR,TS,45.126035903305336
2022,INDIA,NER,AS,27.211648245487517
2022,INDIA,NER,NE,11.710955208578673
2023,INDIA,ER,BR,76.39007303472286
2023,INDIA,ER,JH,17.1324855336771
2023,INDIA,ER,OD,21.285228564127763
2023,INDIA,ER,WB,60.621843357944925
2023,INDIA,WR,CG,16.438430657631457
2023,INDIA,WR,GJ,54.32478327460856
2023,INDIA,WR,MP,58.96931331994703
2023,INDIA,WR,MH,133.59170372524346
2023,INDIA,WR,GA,2.212214523823655
2023,INDIA,WR,UT,3.856352615001888
2023,INDIA,NR,DL,21.58573319651837
2023,INDIA,NR,HR,28.260489091105374
2023,INDIA,NR,HP,5.408773072823999
2023,INDIA,NR,JK,14.287085987365868
2023,INDIA,NR,PB,34.71423102467445
2023,INDIA,NR,RJ,56.156056316033144
2023,INDIA,NR,UP,157.6964129993661
2023,INDIA,NR,UK,11.031824930734707
2023,INDIA,SR,AP,63.80831791571947
2023,INDIA,SR,KA,78.10553657297241
2023,INDIA,SR,KL,29.41722153231201
2023,INDIA,SR,TN,97.54928561900641
2023,INDIA,SR,TS,46.23371685514467
2023,INDIA,NER,AS,28.82868039631535
2023,INDIA,NER,NE,12.126300480623192
2024,INDIA,ER,BR,78.37848388569516
2024,INDIA,ER,JH,17.844563008124055
2024,INDIA,ER,OD,22.138496774025175
2024,INDIA,ER,WB,62.70827671561189
2024,INDIA,WR,CG,16.800430077741304
2024,INDIA,WR,GJ,56.01680115299743
2024,INDIA,WR,MP,61.32045803220157
2024,INDIA,WR,MH,136.84841048510617
2024,INDIA,WR,GA,2.2268435836746887
2024,INDIA,WR,UT,3.885172584254849
2024,INDIA,NR,DL,21.58149375835466
2024,INDIA,NR,HR,29.343080961422277
2024,INDIA,NR,HP,5.63570526147436
2024,INDIA,NR,JK,14.661415403688247
2024,INDIA,NR,PB,35.382162814391144
2024,INDIA,NR,RJ,58.740470690029944
2024,INDIA,NR,UP,163.3625555137203
2024,INDIA,NR,UK,11.307424214618866
2024,INDIA,SR,AP,65.71641841315007
2024,INDIA,SR,KA,80.8139049432748
2024,INDIA,SR,KL,30.14457359001174
2024,INDIA,SR,TN,98.95129455006338
2024,INDIA,SR,TS,47.27731974242334
2024,INDIA,NER,AS,30.4516952407773
2024,INDIA,NER,NE,12.540340615956811
2025,INDIA,ER,BR,80.36848978383807
2025,INDIA,ER,JH,18.571954182599917
2025,INDIA,ER,OD,23.006990882881265
2025,INDIA,ER,WB,64.79458861276034
2025,INDIA,WR,CG,17.163285991518478
2025,INDIA,WR,GJ,57.663006311408445
2025,INDIA,WR,MP,63.65940355749222
2025,INDIA,WR,MH,139.95619282613123
2025,INDIA,WR,GA,2.2379768502515685
2025,INDIA,WR,UT,3.903898495105568
2025,INDIA,NR,DL,21.525811895236348
2025,INDIA,NR,HR,30.384583894472627
2025,INDIA,NR,HP,5.859541046846284
2025,INDIA,NR,JK,15.012409306288818
2025,INDIA,NR,PB,35.99440834769653
2025,INDIA,NR,RJ,61.34261021794876
2025,INDIA,NR,UP,168.9585683014479
2025,INDIA,NR,UK,11.577169528444431
2025,INDIA,SR,AP,67.390844656419
2025,INDIA,SR,KA,83.2296979351573
2025,INDIA,SR,KL,30.80514454604653
2025,INDIA,SR,TN,100.21152029226441
2025,INDIA,SR,TS,48.24300874174709
2025,INDIA,NER,AS,32.06470699708645
2025,INDIA,NER,NE,12.951677316619802
2026,INDIA,ER,BR,82.39713712536715
2026,INDIA,ER,JH,19.319208879935537
2026,INDIA,ER,OD,23.886856383644663
2026,INDIA,ER,WB,66.89260928415526
2026,INDIA,WR,CG,17.51791749809358
2026,INDIA,WR,GJ,59.28251847637035
2026,INDIA,WR,MP,65.97953995375661
2026,INDIA,WR,MH,142.95625068857666
2026,INDIA,WR,GA,2.244464073806393
2026,INDIA,WR,UT,3.911416854603796
2026,INDIA,NR,DL,21.409852749417965
2026,INDIA,NR,HR,31.383351680526772
2026,INDIA,NR,HP,6.080717857372617
2026,INDIA,NR,JK,15.358820811579827
2026,INDIA,NR,PB,36.5508002121513
2026,INDIA,NR,RJ,63.965988133161325
2026,INDIA,NR,UP,174.45299418914132
2026,INDIA,NR,UK,11.847514944064002
2026,INDIA,SR,AP,68.82574279425421
2026,INDIA,SR,KA,85.19785694279416
2026,INDIA,SR,KL,31.39537438129826
2026,INDIA,SR,TN,101.05284129849437
2026,INDIA,SR,TS,49.110933905931205
2026,INDIA,NER,AS,33.66542458968173
2026,INDIA,NER,NE,13.361997641661258
2027,INDIA,ER,BR,84.44356998280001
2027,INDIA,ER,JH,20.084160147991103
2027,INDIA,ER,OD,24.792241300388486
2027,INDIA,ER,WB,68.91387897116692
2027,INDIA,WR,CG,17.87096742939265
2027,INDIA,WR,GJ,60.85384139243411
2027,INDIA,WR,MP,68.26665828899473
2027,INDIA,WR,MH,145.8105778176741
2027,INDIA,WR,GA,2.2443610363294693
2027,INDIA,WR,UT,3.8925844912544063
2027,INDIA,NR,DL,21.22247053556385
2027,INDIA,NR,HR,32.32943306635632
2027,INDIA,NR,HP,6.297383370742402
2027,INDIA,NR,JK,15.697634930407848
2027,INDIA,NR,PB,37.0478280164106
2027,INDIA,NR,RJ,66.57321788152744
2027,INDIA,NR,UP,179.75943540386535
2027,INDIA,NR,UK,12.117633157181317
2027,INDIA,SR,AP,69.44287015900358
2027,INDIA,SR,KA,86.84623924505189
2027,INDIA,SR,KL,31.903814739717184
2027,INDIA,SR,TN,101.46922178932121
2027,INDIA,SR,TS,49.86123072226514
2027,INDIA,NER,AS,35.239370676019604
2027,INDIA,NER,NE,13.769932944015121
2028,INDIA,ER,BR,86.51594106092871
2028,INDIA,ER,JH,20.875223474163537
2028,INDIA,ER,OD,25.726781857135975
2028,INDIA,ER,WB,70.99765208837053
2028,INDIA,WR,CG,18.231756857188778
2028,INDIA,WR,GJ,62.377370512428485
2028,INDIA,WR,MP,70.49597347071844
2028,INDIA,WR,MH,148.50538632296872
2028,INDIA,WR,GA,2.234640560108903
2028,INDIA,WR,UT,3.859243291508166
2028,INDIA,NR,DL,20.950639997313022
2028,INDIA,NR,HR,33.22379916999421
2028,INDIA,NR,HP,6.510782548092206
2028,INDIA,NR,JK,16.031390382311535
2028,INDIA,NR,PB,37.41801922167667
2028,INDIA,NR,RJ,69.1575542547572
2028,INDIA,NR,UP,184.821185096178
2028,INDIA,NR,UK,12.389106862877357
2028,INDIA,SR,AP,69.39583395655347
2028,INDIA,SR,KA,88.16863195889484
2028,INDIA,SR,KL,32.31314933522596
2028,INDIA,SR,TN,101.57306433561429
2028,INDIA,SR,TS,50.46696847426356
2028,INDIA,NER,AS,36.78550497584605
2028,INDIA,NER,NE,14.17771944138147
2029,INDIA,ER,BR,88.64265783754541
