DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,1381.040946659799,3STAR
D_RES,2022,INDIA,ER,BR,RURAL,Q1,1498.1503336912963,3STAR
D_RES,2023,INDIA,ER,BR,RURAL,Q1,1890.2488029942488,3STAR
D_RES,2024,INDIA,ER,BR,RURAL,Q1,2382.4059920472755,3STAR
D_RES,2025,INDIA,ER,BR,RURAL,Q1,2999.2751017247288,3STAR
D_RES,2026,INDIA,ER,BR,RURAL,Q1,3773.2376774070917,3STAR
D_RES,2027,INDIA,ER,BR,RURAL,Q1,4742.864511231162,3STAR
D_RES,2028,INDIA,ER,BR,RURAL,Q1,5960.743062149238,3STAR
D_RES,2029,INDIA,ER,BR,RURAL,Q1,7490.18043436324,3STAR
D_RES,2030,INDIA,ER,BR,RURAL,Q1,9410.572213434725,3STAR
D_RES,2031,INDIA,ER,BR,RURAL,Q1,11821.45454180616,3STAR
D_RES,2021,INDIA,ER,JH,RURAL,Q1,562.3997695472235,3STAR
D_RES,2022,INDIA,ER,JH,RURAL,Q1,624.1347143195634,3STAR
D_RES,2023,INDIA,ER,JH,RURAL,Q1,811.6459796188291,3STAR
D_RES,2024,INDIA,ER,JH,RURAL,Q1,1053.7843497476506,3STAR
D_RES,2025,INDIA,ER,JH,RURAL,Q1,1365.8150209911557,3STAR
D_RES,2026,INDIA,ER,JH,RURAL,Q1,1768.2672945758206,3STAR
D_RES,2027,INDIA,ER,JH,RURAL,Q1,2286.259429775281,3STAR
D_RES,2028,INDIA,ER,JH,RURAL,Q1,2954.845838027816,3STAR
D_RES,2029,INDIA,ER,JH,RURAL,Q1,3817.447706707708,3STAR
D_RES,2030,INDIA,ER,JH,RURAL,Q1,4929.887257057629,3STAR
D_RES,2031,INDIA,ER,JH,RURAL,Q1,6363.899826577114,3STAR
D_RES,2021,INDIA,ER,OD,RURAL,Q1,1941.1929161153766,3STAR
D_RES,2022,INDIA,ER,OD,RURAL,Q1,2770.996205181261,3STAR
D_RES,2023,INDIA,ER,OD,RURAL,Q1,3833.825848501402,3STAR
D_RES,2024,INDIA,ER,OD,RURAL,Q1,5294.060925303665,3STAR
