DemandSector,Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,TotalNumInstances,EfficiencyLevelName
D_RES,2021,INDIA,ER,BR,RURAL,Q1,1295960.6201195482,AVERAGE
D_RES,2022,INDIA,ER,BR,RURAL,Q1,1328700.5577506626,AVERAGE
D_RES,2023,INDIA,ER,BR,RURAL,Q1,1358542.1198412685,AVERAGE
D_RES,2024,INDIA,ER,BR,RURAL,Q1,1388561.51143499,AVERAGE
D_RES,2025,INDIA,ER,BR,RURAL,Q1,1418970.2961827884,AVERAGE
D_RES,2026,INDIA,ER,BR,RURAL,Q1,1450040.3992277985,AVERAGE
D_RES,2027,INDIA,ER,BR,RURAL,Q1,1482428.6849145424,AVERAGE
D_RES,2028,INDIA,ER,BR,RURAL,Q1,1515769.0948442593,AVERAGE
D_RES,2029,INDIA,ER,BR,RURAL,Q1,1550196.7891924835,AVERAGE
D_RES,2030,INDIA,ER,BR,RURAL,Q1,1585814.8257031485,AVERAGE
D_RES,2031,INDIA,ER,BR,RURAL,Q1,1622793.6032854766,AVERAGE
D_RES,2021,INDIA,ER,JH,RURAL,Q1,132983.3357783886,AVERAGE
D_RES,2022,INDIA,ER,JH,RURAL,Q1,137555.4871537965,AVERAGE
D_RES,2023,INDIA,ER,JH,RURAL,Q1,141644.24507610124,AVERAGE
D_RES,2024,INDIA,ER,JH,RURAL,Q1,145938.04928218725,AVERAGE
D_RES,2025,INDIA,ER,JH,RURAL,Q1,150450.24526063018,AVERAGE
D_RES,2026,INDIA,ER,JH,RURAL,Q1,155229.46706502026,AVERAGE
D_RES,2027,INDIA,ER,JH,RURAL,Q1,160282.3161037415,AVERAGE
D_RES,2028,INDIA,ER,JH,RURAL,Q1,165688.9826824606,AVERAGE
D_RES,2029,INDIA,ER,JH,RURAL,Q1,171484.08006682558,AVERAGE
D_RES,2030,INDIA,ER,JH,RURAL,Q1,177680.79073271973,AVERAGE
D_RES,2031,INDIA,ER,JH,RURAL,Q1,184332.3949923003,AVERAGE
D_RES,2021,INDIA,ER,OD,RURAL,Q1,237686.48532992427,AVERAGE
D_RES,2022,INDIA,ER,OD,RURAL,Q1,249266.963503553,AVERAGE
D_RES,2023,INDIA,ER,OD,RURAL,Q1,260184.15692243807,AVERAGE
D_RES,2024,INDIA,ER,OD,RURAL,Q1,272049.72907654714,AVERAGE
D_RES,2025,INDIA,ER,OD,RURAL,Q1,284999.84023280867,AVERAGE
D_RES,2026,INDIA,ER,OD,RURAL,Q1,299291.3973358438,AVERAGE
D_RES,2027,INDIA,ER,OD,RURAL,Q1,315151.9457566499,AVERAGE
D_RES,2028,INDIA,ER,OD,RURAL,Q1,332729.4627121151,AVERAGE
D_RES,2029,INDIA,ER,OD,RURAL,Q1,352399.4122050076,AVERAGE
D_RES,2030,INDIA,ER,OD,RURAL,Q1,374479.9531488149,AVERAGE
D_RES,2031,INDIA,ER,OD,RURAL,Q1,399283.4285218422,AVERAGE
D_RES,2021,INDIA,ER,WB,RURAL,Q1,390433.9943398907,AVERAGE
D_RES,2022,INDIA,ER,WB,RURAL,Q1,404958.5060926905,AVERAGE
D_RES,2023,INDIA,ER,WB,RURAL,Q1,416843.7709957162,AVERAGE
D_RES,2024,INDIA,ER,WB,RURAL,Q1,429194.0430249216,AVERAGE
D_RES,2025,INDIA,ER,WB,RURAL,Q1,441982.0634620475,AVERAGE
D_RES,2026,INDIA,ER,WB,RURAL,Q1,455309.44443791057,AVERAGE
D_RES,2027,INDIA,ER,WB,RURAL,Q1,469211.7026784996,AVERAGE
D_RES,2028,INDIA,ER,WB,RURAL,Q1,483842.4964996739,AVERAGE
D_RES,2029,INDIA,ER,WB,RURAL,Q1,499262.5985740052,AVERAGE
D_RES,2030,INDIA,ER,WB,RURAL,Q1,515492.69670224737,AVERAGE
D_RES,2031,INDIA,ER,WB,RURAL,Q1,532583.5228721818,AVERAGE
D_RES,2021,INDIA,NER,AS,RURAL,Q1,365650.3234825755,AVERAGE
D_RES,2022,INDIA,NER,AS,RURAL,Q1,408578.13253539236,AVERAGE
D_RES,2023,INDIA,NER,AS,RURAL,Q1,446332.73091456766,AVERAGE
D_RES,2024,INDIA,NER,AS,RURAL,Q1,487762.47409559047,AVERAGE
D_RES,2025,INDIA,NER,AS,RURAL,Q1,532663.3946385554,AVERAGE
