EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,66.97151181491603
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,152.69947181460694
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,143.19964764625942
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,141.41468262436175
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,4.587949155351298
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,72.96510593783637
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,170.27615202267646
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,162.55137342092686
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,155.8164453685241
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,6.145530412251341
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,ER,73.69595303530001
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,WR,165.7557434729697
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NR,166.73777437000183
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,SR,150.5406273378671
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NER,7.0815918461561775
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,72.73285417688585
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,156.06311966866264
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,157.97311149576308
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,139.3461329863295
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,6.624406858430463
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,114.23798431452683
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,212.12947804605292
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,267.4541793490067
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,192.94992633361687
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,12.337831708660524
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,170.78219976873692
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,354.2222864174297
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,371.2664197998602
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,325.67880179965323
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,9.71591898303236
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,75.69940061279918
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,128.1830745224945
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,136.80360782723923
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,112.02753300642098
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NER,7.255886225558236
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,ER,76.37419641268636
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,WR,142.67389063799365
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NR,141.14787462364927
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,SR,121.42117310212858
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NER,6.914554418709879
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,ER,77.51297310834578
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,WR,146.96076695470694
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NR,150.15488449047496
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,SR,125.94970306318842
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NER,7.663679271033957
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,77.16497161048468
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,144.50241151630675
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,148.98546775680433
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,122.84216128319449
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,7.435288139955323
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,ER,112.65706534745651
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,WR,181.75274295838423
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,NR,229.95884362096447
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,SR,162.45268146775177
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,NER,14.986882882243766
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,ER,177.9882823623881
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,WR,253.52774851200542
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NR,311.16025096938284
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,SR,221.18130905643307
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,NER,12.820131391449697
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,ER,60.91008357794163
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,WR,129.03612250488234
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NR,110.82460519642419
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,SR,116.59098892688624
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,NER,4.3776145454900135
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,ER,71.74307264508751
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,WR,159.04633349271978
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NR,141.81720806254054
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,SR,141.63833617538427
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,NER,6.251062654407684
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,ER,73.98594576551933
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,WR,170.55390470421125
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NR,161.9374359490365
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,SR,152.97888682861606
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,NER,7.403072632092943
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,72.70063607908894
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,WR,165.03384681342177
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NR,156.6257051163435
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,SR,147.06245827512586
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,NER,6.52500582069127
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,ER,111.00512814537542
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,WR,196.59630066913627
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NR,216.98581015505587
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,SR,181.0750428090451
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,NER,11.950964889419492
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,143.76872822861438
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,WR,285.4531104670966
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NR,262.42708693321794
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,SR,265.93496654884825
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,NER,9.550038459665174
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,ER,51.48159137146192
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,WR,128.00390979358326
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NR,106.52090165962055
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,SR,112.90420751391781
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,NER,4.286399344107297
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,ER,60.640300752548534
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,WR,155.66216662789827
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NR,116.81619096083092
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,SR,139.70413032671968
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,NER,4.033943564358186
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,ER,67.92386841821306
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,WR,171.6522185368611
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NR,130.09585884983989
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,SR,156.0453724126967
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,NER,4.93649439572268
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,63.820218437646766
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,WR,165.1375154559814
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NR,123.47931264630407
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,SR,149.62186119562944
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,NER,4.277082612104588
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,ER,81.57589450667682
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,WR,171.47820845534181
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NR,136.40852286772142
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,SR,163.65240511048347
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,NER,8.258677665759986
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,ER,110.57681411313345
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,WR,271.2214509088419
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NR,207.68447944334997
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,SR,237.2214747976236
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,NER,7.509027162262219
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,ER,51.4576645882498
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,WR,123.59530838017281
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NR,94.56284963633611
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,SR,112.22773191421376
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,NER,3.203588179398617
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,ER,67.34715178175121
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,WR,157.62624662015466
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NR,119.65461286042257
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,SR,143.3846129759387
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,NER,4.742453906457541
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,ER,73.31890228959249
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,WR,173.24508932363497
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NR,139.85965499289676
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,SR,157.42931857069902
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,NER,6.053350091747636
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,72.26413722858655
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,WR,169.08297839489606
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NR,137.74355583691775
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,SR,152.58428438954437
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,NER,5.413616106681748
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,ER,103.3517581822906
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,WR,196.46202703108855
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NR,164.9565434160171
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,SR,188.56130508443374
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,NER,9.687667620987884
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,ER,123.5593808244357
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,WR,282.5572199787533
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NR,215.57785456614525
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,SR,270.80405797356786
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,NER,8.18036821097847
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,ER,72.27365595791649
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,WR,159.8265881843092
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NR,149.6666960985347
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,SR,152.01098777492905
ELECTRICITY,2022,SUMMER,ALLDAYS,EARLY,INDIA,NER,5.444178375231382
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,ER,78.31032720321825
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,WR,180.65861872461602
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NR,173.05841544352504
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,SR,168.17240318641046
ELECTRICITY,2022,SUMMER,ALLDAYS,MORN,INDIA,NER,6.964299255867674
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,ER,78.99678354131154
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,WR,176.43325012242536
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NR,177.62826554696807
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,SR,162.78683856523293
ELECTRICITY,2022,SUMMER,ALLDAYS,MID,INDIA,NER,7.818839118965228
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,78.0259444044611
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,166.10994177474822
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,167.8649116324309
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,150.62448782034156
ELECTRICITY,2022,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,7.4028022201762385
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,ER,120.8081535653693
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,WR,224.67663360683852
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NR,281.4502586071553
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,SR,206.66247046434955
ELECTRICITY,2022,SUMMER,ALLDAYS,EVENING,INDIA,NER,13.9845012104054
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,ER,185.15230948103056
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,WR,362.6587708676623
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,NR,383.50334673865876
ELECTRICITY,2022,SUMMER,ALLDAYS,NIGHT,INDIA,SR,342.0583416763163
