EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,DECCostInBT_BA
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,186.51836208875662
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,571.9034962441502
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,499.4737383502276
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,325.24079987671803
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,12.177258573041005
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,203.2107635074583
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,637.7332253447504
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,572.3797730870357
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,344.29619924044556
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,17.62108788458103
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,ER,204.17012536503742
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,WR,620.7610091874511
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NR,586.9632275600575
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,SR,332.5787016920569
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NER,21.236295063662723
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,202.56393298398976
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,583.0298806018898
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,556.3502482656688
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,307.84750146145353
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,19.548887130045227
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,326.9351639143626
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,794.4859841969628
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,976.9883041949795
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,426.2705498602017
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,32.83940351647107
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,475.63531584611843
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,1325.5749073300383
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,1289.5466541578492
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,SR,719.4990148942209
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NER,24.82561658395823
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,210.05183546920443
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,475.7398474142681
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NR,473.4604561036472
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,SR,247.49446139492497
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,NER,20.936780525362273
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,ER,211.62914121353293
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,WR,529.3499388231135
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NR,491.98077299049334
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,SR,268.2471623929169
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,NER,18.856884032280426
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,ER,214.80068025010482
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,WR,545.4055251611669
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NR,520.3748091281351
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,SR,278.2517215717667
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,NER,21.36272513184372
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,214.36760877685563
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,536.1982760886957
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NR,510.56956982176627
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,SR,271.3864505222137
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,NER,20.553348415849264
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,ER,313.75447166855855
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,WR,675.7849302688055
