EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,EndUseDemandEnergy,TotalEnergyDemand
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,66.97151181491603,4085.2622207098775
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,152.69947181460694,9314.667780691023
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,143.19964764625942,8735.178506421824
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,141.41468262436175,8626.295640086066
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,4.587949155351295,279.864898476429
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,72.96510593783637,4450.871462208019
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,170.27615202267646,10386.845273383264
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NR,162.55137342092684,9915.633778676536
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,SR,155.8164453685241,9504.803167479971
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,NER,6.145530412251338,374.8773551473316
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,ER,73.69595303530001,4495.4531351533005
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,WR,165.75574347296967,10111.10035185115
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NR,166.73777437000183,10171.004236570112
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,SR,150.5406273378671,9182.978267609893
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,NER,7.081591846156175,431.9771026155267
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,72.73285417688585,4436.704104790037
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,156.06311966866264,9519.85029978842
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,157.97311149576308,9636.359801241548
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,139.3461329863295,8500.1141121661
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,6.624406858430461,404.08881836425815
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,114.2379843145268,6968.517043186134
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,212.12947804605292,12939.898160809229
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,267.4541793490067,16314.70494028941
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,SR,192.94992633361687,11769.945506350628
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,NER,12.33783170866052,752.6077342282917
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,170.78219976873692,10417.714185892952
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,354.2222864174297,21607.559471463213
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,NR,371.2664197998602,22647.251607791473
