EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,FixedTaxOHDEC
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,ER,0.58306819
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,0.58306819
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,0.58306819
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,ER,0.58306819
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,ER,0.58306819
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,ER,0.58306819
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,ER,0.58306819
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,ER,0.58306819
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,ER,0.58306819
ELECTRICITY,2021,AUTUMN,ALLDAYS,AFTERNOON,INDIA,ER,0.58306819
ELECTRICITY,2021,AUTUMN,ALLDAYS,EVENING,INDIA,ER,0.58306819
ELECTRICITY,2021,AUTUMN,ALLDAYS,NIGHT,INDIA,ER,0.58306819
ELECTRICITY,2021,WINTER,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2021,WINTER,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2021,WINTER,ALLDAYS,MID,INDIA,ER,0.58306819
ELECTRICITY,2021,WINTER,ALLDAYS,AFTERNOON,INDIA,ER,0.58306819
ELECTRICITY,2021,WINTER,ALLDAYS,EVENING,INDIA,ER,0.58306819
ELECTRICITY,2021,WINTER,ALLDAYS,NIGHT,INDIA,ER,0.58306819
ELECTRICITY,2021,SPRING,ALLDAYS,EARLY,INDIA,ER,0.58306819
ELECTRICITY,2021,SPRING,ALLDAYS,MORN,INDIA,ER,0.58306819
ELECTRICITY,2021,SPRING,ALLDAYS,MID,INDIA,ER,0.58306819
ELECTRICITY,2021,SPRING,ALLDAYS,AFTERNOON,INDIA,ER,0.58306819
ELECTRICITY,2021,SPRING,ALLDAYS,EVENING,INDIA,ER,0.58306819
ELECTRICITY,2021,SPRING,ALLDAYS,NIGHT,INDIA,ER,0.58306819
ELECTRICITY,2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,0.69053689
ELECTRICITY,2021,SUMMER,ALLDAYS,MORN,INDIA,WR,0.69053689
ELECTRICITY,2021,SUMMER,ALLDAYS,MID,INDIA,WR,0.69053689
ELECTRICITY,2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,0.69053689
ELECTRICITY,2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,0.69053689
ELECTRICITY,2021,SUMMER,ALLDAYS,NIGHT,INDIA,WR,0.69053689
ELECTRICITY,2021,MONSOON,ALLDAYS,EARLY,INDIA,WR,0.69053689
ELECTRICITY,2021,MONSOON,ALLDAYS,MORN,INDIA,WR,0.69053689
ELECTRICITY,2021,MONSOON,ALLDAYS,MID,INDIA,WR,0.69053689
ELECTRICITY,2021,MONSOON,ALLDAYS,AFTERNOON,INDIA,WR,0.69053689
ELECTRICITY,2021,MONSOON,ALLDAYS,EVENING,INDIA,WR,0.69053689
ELECTRICITY,2021,MONSOON,ALLDAYS,NIGHT,INDIA,WR,0.69053689
ELECTRICITY,2021,AUTUMN,ALLDAYS,EARLY,INDIA,WR,0.69053689
ELECTRICITY,2021,AUTUMN,ALLDAYS,MORN,INDIA,WR,0.69053689
ELECTRICITY,2021,AUTUMN,ALLDAYS,MID,INDIA,WR,0.69053689
