EnergyStorTech,Year,CostOfStorage
FOURHR_BATTERY,2021,0.0
FOURHR_BATTERY,2022,0.0
FOURHR_BATTERY,2023,0.0
FOURHR_BATTERY,2024,0.0
FOURHR_BATTERY,2025,0.0
FOURHR_BATTERY,2026,0.0
FOURHR_BATTERY,2027,6039.861843970172
FOURHR_BATTERY,2028,10903.181881678824
FOURHR_BATTERY,2029,33841.51892969085
FOURHR_BATTERY,2030,78619.57060583278
FOURHR_BATTERY,2031,78619.57060583278
SIXHR_BATTERY,2021,0.0
SIXHR_BATTERY,2022,0.0
SIXHR_BATTERY,2023,0.0
SIXHR_BATTERY,2024,0.0
SIXHR_BATTERY,2025,0.0
SIXHR_BATTERY,2026,0.0
SIXHR_BATTERY,2027,1983.9642159629448
SIXHR_BATTERY,2028,1983.9642159629448
SIXHR_BATTERY,2029,31699.246392979567
SIXHR_BATTERY,2030,34733.79550631247
SIXHR_BATTERY,2031,34733.79550631247
PUMPED_STOR,2021,39444.92310936
PUMPED_STOR,2022,39444.92310936
PUMPED_STOR,2023,39444.92310936
PUMPED_STOR,2024,51377.68058436
PUMPED_STOR,2025,57344.059321860004
PUMPED_STOR,2026,58298.679919860006
PUMPED_STOR,2027,58298.679919860006
PUMPED_STOR,2028,58298.679919860006
PUMPED_STOR,2029,58298.679919860006
PUMPED_STOR,2030,58298.679919860006
PUMPED_STOR,2031,58298.679919860006
