EnergyCarrier,Year,CostOfCarrier
COKING_COAL,2021,486737.40228595806
COKING_COAL,2022,526360.1850731199
COKING_COAL,2023,554671.0854114802
COKING_COAL,2024,582961.667529488
COKING_COAL,2025,612949.6096668964
COKING_COAL,2026,642980.6253574151
COKING_COAL,2027,673830.0051370604
COKING_COAL,2028,706131.3502349007
COKING_COAL,2029,739951.6927983122
COKING_COAL,2030,775361.105057248
COKING_COAL,2031,812432.8365143101
STEAM_COAL,2021,3017631.0548084043
STEAM_COAL,2022,3206947.0348620308
STEAM_COAL,2023,3182804.635761179
STEAM_COAL,2024,3225514.310487521
STEAM_COAL,2025,3243525.600931846
STEAM_COAL,2026,3182503.881112733
STEAM_COAL,2027,3164490.472338197
STEAM_COAL,2028,3182279.915751771
STEAM_COAL,2029,3252676.4328670646
STEAM_COAL,2030,3289990.293566631
STEAM_COAL,2031,3415164.551394029
NATGAS,2021,408408.24007393606
NATGAS,2022,459872.3198620413
NATGAS,2023,493872.41816496867
NATGAS,2024,549467.3976767453
NATGAS,2025,599580.2788701917
NATGAS,2026,659478.3270020991
NATGAS,2027,734959.5580104025
NATGAS,2028,783183.5314375518
NATGAS,2029,862008.6991465947
NATGAS,2030,935724.2388308124
NATGAS,2031,982246.4799048087
BIOGAS,2021,17546.940840270774
BIOGAS,2022,16935.116689425937
BIOGAS,2023,16582.38226303937
BIOGAS,2024,16435.051652479327
BIOGAS,2025,16392.504863671893
BIOGAS,2026,16424.2271104121
BIOGAS,2027,16370.109174951513
BIOGAS,2028,16366.077795113457
BIOGAS,2029,16366.592286480172
BIOGAS,2030,16374.985968130717
BIOGAS,2031,16383.487533646643
BIOMASS,2021,1079800.5611753317
BIOMASS,2022,1077503.5496969405
BIOMASS,2023,1082110.9631208903
BIOMASS,2024,1088261.635408455
BIOMASS,2025,1093281.1351088563
BIOMASS,2026,1099884.074469209
BIOMASS,2027,1106801.3730070905
BIOMASS,2028,1112702.4671079835
BIOMASS,2029,1120645.1295637006
BIOMASS,2030,1132895.8986003094
BIOMASS,2031,1142750.4416667824
CRUDE,2021,4595263.418715429
CRUDE,2022,5224123.821194718
CRUDE,2023,6124399.620185847
CRUDE,2024,6664399.145138025
CRUDE,2025,7252617.790468897
CRUDE,2026,7868446.263561813
CRUDE,2027,8526366.52536986
CRUDE,2028,9234034.500149516
CRUDE,2029,9993712.988954078
CRUDE,2030,10808993.47454965
CRUDE,2031,11682138.588572059
ELECTRICITY,2021,3952723.859306418
ELECTRICITY,2022,4265082.717557732
ELECTRICITY,2023,4474342.816853966
ELECTRICITY,2024,4757972.592538317
ELECTRICITY,2025,5035046.53088655
ELECTRICITY,2026,5275767.397746263
ELECTRICITY,2027,5525185.204726152
ELECTRICITY,2028,5799282.153175653
ELECTRICITY,2029,6197387.958981763
ELECTRICITY,2030,6553676.538880726
ELECTRICITY,2031,7006315.723525561
MS,2021,2152944.654169527
MS,2022,2424162.7762729325
MS,2023,2639208.170497587
MS,2024,2861350.1471049762
MS,2025,3089509.440113229
MS,2026,3324806.9564253963
MS,2027,3565905.7693495913
MS,2028,3815437.519935888
MS,2029,4073086.0152388862
MS,2030,4338506.329481727
MS,2031,4611327.536383036
HSD,2021,4487650.601129879
HSD,2022,4641463.855544704
HSD,2023,4761314.529792229
HSD,2024,4881681.451058222
HSD,2025,5002346.656605089
HSD,2026,5124096.703985304
HSD,2027,5246572.630070513
HSD,2028,5371139.252583333
HSD,2029,5497811.8085862715
HSD,2030,5626605.504917774
HSD,2031,5757535.5327580515
ATF,2021,105952.73123981353
ATF,2022,114904.40392289199
ATF,2023,121917.65070390432
ATF,2024,129161.10178749665
ATF,2025,136619.21101503944
ATF,2026,144349.17219906862
ATF,2027,152327.0713063135
ATF,2028,160661.7052330913
ATF,2029,169364.46516303974
ATF,2030,178446.8964561612
ATF,2031,187920.69225557422
LPG,2021,228778.51146370187
LPG,2022,242775.9292811925
LPG,2023,256225.11786457515
LPG,2024,267057.65849402547
LPG,2025,277872.44128049776
LPG,2026,288440.84911371546
LPG,2027,298663.39185169665
LPG,2028,308606.60914963426
LPG,2029,318051.5372480003
LPG,2030,327019.54366012046
LPG,2031,335246.0589623231
PP_OTHER,2021,112639.36835811228
PP_OTHER,2022,132127.52878158743
PP_OTHER,2023,158654.54717797387
PP_OTHER,2024,176623.49000358908
PP_OTHER,2025,196562.68986508253
PP_OTHER,2026,218015.26955153517
PP_OTHER,2027,241440.5616556131
PP_OTHER,2028,267204.51140867674
PP_OTHER,2029,295502.0972206304
PP_OTHER,2030,326542.1666840013
PP_OTHER,2031,360548.3302361196
