InstYear,EnergyConvTech,Year,ModelGeography,SubGeography1,MaxAnnualUF
2020,RF_LPG,2021,INDIA,,1.0
2020,RF_LPG,2022,INDIA,,1.0
2020,RF_LPG,2023,INDIA,,1.0
2020,RF_LPG,2024,INDIA,,1.0
2020,RF_LPG,2025,INDIA,,1.0
2020,RF_LPG,2026,INDIA,,1.0
2020,RF_LPG,2027,INDIA,,1.0
2020,RF_LPG,2028,INDIA,,1.0
2020,RF_LPG,2029,INDIA,,1.0
2020,RF_LPG,2030,INDIA,,1.0
2020,RF_LPG,2031,INDIA,,1.0
2021,RF_LPG,2021,INDIA,,1.0
2021,RF_LPG,2022,INDIA,,1.0
2022,RF_LPG,2022,INDIA,,1.0
2021,RF_LPG,2023,INDIA,,1.0
2022,RF_LPG,2023,INDIA,,1.0
2023,RF_LPG,2023,INDIA,,1.0
2021,RF_LPG,2024,INDIA,,1.0
2022,RF_LPG,2024,INDIA,,1.0
2023,RF_LPG,2024,INDIA,,1.0
2024,RF_LPG,2024,INDIA,,1.0
2021,RF_LPG,2025,INDIA,,1.0
2022,RF_LPG,2025,INDIA,,1.0
2023,RF_LPG,2025,INDIA,,1.0
2024,RF_LPG,2025,INDIA,,1.0
2025,RF_LPG,2025,INDIA,,1.0
2021,RF_LPG,2026,INDIA,,1.0
2022,RF_LPG,2026,INDIA,,1.0
2023,RF_LPG,2026,INDIA,,1.0
2024,RF_LPG,2026,INDIA,,1.0
2025,RF_LPG,2026,INDIA,,1.0
2026,RF_LPG,2026,INDIA,,1.0
2021,RF_LPG,2027,INDIA,,1.0
2022,RF_LPG,2027,INDIA,,1.0
2023,RF_LPG,2027,INDIA,,1.0
2024,RF_LPG,2027,INDIA,,1.0
2025,RF_LPG,2027,INDIA,,1.0
2026,RF_LPG,2027,INDIA,,1.0
2027,RF_LPG,2027,INDIA,,1.0
2021,RF_LPG,2028,INDIA,,1.0
2022,RF_LPG,2028,INDIA,,1.0
2023,RF_LPG,2028,INDIA,,1.0
2024,RF_LPG,2028,INDIA,,1.0
2025,RF_LPG,2028,INDIA,,1.0
2026,RF_LPG,2028,INDIA,,1.0
2027,RF_LPG,2028,INDIA,,1.0
2028,RF_LPG,2028,INDIA,,1.0
2021,RF_LPG,2029,INDIA,,1.0
2022,RF_LPG,2029,INDIA,,1.0
2023,RF_LPG,2029,INDIA,,1.0
2024,RF_LPG,2029,INDIA,,1.0
2025,RF_LPG,2029,INDIA,,1.0
2026,RF_LPG,2029,INDIA,,1.0
2027,RF_LPG,2029,INDIA,,1.0
2028,RF_LPG,2029,INDIA,,1.0
2029,RF_LPG,2029,INDIA,,1.0
2021,RF_LPG,2030,INDIA,,1.0
2022,RF_LPG,2030,INDIA,,1.0
2023,RF_LPG,2030,INDIA,,1.0
2024,RF_LPG,2030,INDIA,,1.0
2025,RF_LPG,2030,INDIA,,1.0
2026,RF_LPG,2030,INDIA,,1.0
2027,RF_LPG,2030,INDIA,,1.0
2028,RF_LPG,2030,INDIA,,1.0
2029,RF_LPG,2030,INDIA,,1.0
2030,RF_LPG,2030,INDIA,,1.0
2021,RF_LPG,2031,INDIA,,1.0
2022,RF_LPG,2031,INDIA,,1.0
2023,RF_LPG,2031,INDIA,,1.0
2024,RF_LPG,2031,INDIA,,1.0
2025,RF_LPG,2031,INDIA,,1.0
2026,RF_LPG,2031,INDIA,,1.0
2027,RF_LPG,2031,INDIA,,1.0
2028,RF_LPG,2031,INDIA,,1.0
2029,RF_LPG,2031,INDIA,,1.0
2030,RF_LPG,2031,INDIA,,1.0
2031,RF_LPG,2031,INDIA,,1.0
2020,RF_MS,2021,INDIA,,1.0
