EnergyConvTech,Year,ECTFixedCost
EG_COAL,2021,2324455.6812184867
EG_COAL,2022,2439741.37372631
EG_COAL,2023,2534018.5985270874
EG_COAL,2024,2566050.240506063
EG_COAL,2025,2637149.239494641
EG_COAL,2026,2642530.51276527
EG_COAL,2027,2571604.9313577246
EG_COAL,2028,2591232.8055204675
EG_COAL,2029,2766255.552938386
EG_COAL,2030,2804211.9582651467
EG_COAL,2031,2788556.164474449
EG_CCGT,2021,145605.8266122519
EG_CCGT,2022,149450.6192351912
EG_CCGT,2023,149702.01519448854
EG_CCGT,2024,149953.84445168092
EG_CCGT,2025,149556.62720587422
EG_CCGT,2026,149157.60588902942
EG_CCGT,2027,148756.77546914064
EG_CCGT,2028,148354.13089256553
EG_CCGT,2029,150456.91344307992
EG_CCGT,2030,150706.84955627174
EG_CCGT,2031,150957.2164636158
EG_OCGT,2021,0.0
EG_OCGT,2022,0.0
EG_OCGT,2023,0.0
EG_OCGT,2024,0.0
EG_OCGT,2025,0.0
EG_OCGT,2026,2742.9538634567707
EG_OCGT,2027,22106.14906064781
EG_OCGT,2028,22106.14906064781
EG_OCGT,2029,41469.34425783886
EG_OCGT,2030,60832.53945502991
EG_OCGT,2031,60832.53945502992
EG_PHWR,2021,121169.77780019998
EG_PHWR,2022,135273.9474182
EG_PHWR,2023,149378.11703619998
EG_PHWR,2024,163482.28665419994
EG_PHWR,2025,177586.45627219998
EG_PHWR,2026,177586.45627219992
EG_PHWR,2027,197735.27001219994
EG_PHWR,2028,217884.08375219995
EG_PHWR,2029,217884.08375219995
EG_PHWR,2030,217884.08375219995
EG_PHWR,2031,217884.08375219995
EG_LH,2021,359243.34754877986
EG_LH,2022,379376.9466214047
EG_LH,2023,399510.5456940297
EG_LH,2024,419644.1447666548
EG_LH,2025,439779.18185719784
EG_LH,2026,459914.21894774097
EG_LH,2027,480932.0220969706
EG_LH,2028,480932.0220969705
EG_LH,2029,486147.65075230546
EG_LH,2030,490332.5829271283
EG_LH,2031,490332.5829271283
EG_SH,2021,18420.40334277038
EG_SH,2022,20510.320833989186
EG_SH,2023,22600.238325207985
EG_SH,2024,27140.677367061653
EG_SH,2025,31681.116408915324
EG_SH,2026,36221.55545076899
EG_SH,2027,40761.99449262266
