EnergyCarrier,Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,PECCostInBT_BA
COKING_COAL,2021,,,,INDIA,ER,535206.7155513664
COKING_COAL,2021,,,,INDIA,WR,35248.35847570566
COKING_COAL,2021,,,,INDIA,NR,0.0
COKING_COAL,2021,,,,INDIA,SR,11454.776662322109
COKING_COAL,2021,,,,INDIA,NER,0.0
COKING_COAL,2022,,,,INDIA,ER,578309.2795369292
COKING_COAL,2022,,,,INDIA,WR,38610.82088761156
COKING_COAL,2022,,,,INDIA,NR,0.0
COKING_COAL,2022,,,,INDIA,SR,12537.205708248179
COKING_COAL,2022,,,,INDIA,NER,0.0
COKING_COAL,2023,,,,INDIA,ER,608824.0393424875
COKING_COAL,2023,,,,INDIA,WR,41214.51260082964
COKING_COAL,2023,,,,INDIA,NR,0.0
COKING_COAL,2023,,,,INDIA,SR,13369.467641140229
COKING_COAL,2023,,,,INDIA,NER,0.0
COKING_COAL,2024,,,,INDIA,ER,639217.8462514081
COKING_COAL,2024,,,,INDIA,WR,43880.9986536465
COKING_COAL,2024,,,,INDIA,NR,0.0
COKING_COAL,2024,,,,INDIA,SR,14218.695563130948
COKING_COAL,2024,,,,INDIA,NER,0.0
COKING_COAL,2025,,,,INDIA,ER,671415.451148698
COKING_COAL,2025,,,,INDIA,WR,46743.331542186796
COKING_COAL,2025,,,,INDIA,NR,0.0
COKING_COAL,2025,,,,INDIA,SR,15128.053851223669
COKING_COAL,2025,,,,INDIA,NER,0.0
COKING_COAL,2026,,,,INDIA,ER,703549.7888806124
COKING_COAL,2026,,,,INDIA,WR,49680.3695386483
COKING_COAL,2026,,,,INDIA,NR,0.0
COKING_COAL,2026,,,,INDIA,SR,16057.380350523737
COKING_COAL,2026,,,,INDIA,NER,0.0
COKING_COAL,2027,,,,INDIA,ER,736487.8358615696
COKING_COAL,2027,,,,INDIA,WR,52755.09590010466
COKING_COAL,2027,,,,INDIA,NR,0.0
COKING_COAL,2027,,,,INDIA,SR,17026.823905206056
COKING_COAL,2027,,,,INDIA,NER,0.0
COKING_COAL,2028,,,,INDIA,ER,770919.5984244896
COKING_COAL,2028,,,,INDIA,WR,56022.552034215965
COKING_COAL,2028,,,,INDIA,NR,0.0
COKING_COAL,2028,,,,INDIA,SR,18053.65244296461
COKING_COAL,2028,,,,INDIA,NER,0.0
COKING_COAL,2029,,,,INDIA,ER,806910.1708317891
COKING_COAL,2029,,,,INDIA,WR,59494.97104894434
COKING_COAL,2029,,,,INDIA,NR,0.0
COKING_COAL,2029,,,,INDIA,SR,19141.18244829138
COKING_COAL,2029,,,,INDIA,NER,0.0
COKING_COAL,2030,,,,INDIA,ER,844527.3407092582
COKING_COAL,2030,,,,INDIA,WR,63185.36996741763
COKING_COAL,2030,,,,INDIA,NR,0.0
COKING_COAL,2030,,,,INDIA,SR,20292.91652446682
COKING_COAL,2030,,,,INDIA,NER,0.0
COKING_COAL,2031,,,,INDIA,ER,883841.6923628397
COKING_COAL,2031,,,,INDIA,WR,67107.59995640464
COKING_COAL,2031,,,,INDIA,NR,0.0
COKING_COAL,2031,,,,INDIA,SR,21512.553419612428
COKING_COAL,2031,,,,INDIA,NER,0.0
STEAM_COAL,2021,,,,INDIA,ER,844307.6905879288
STEAM_COAL,2021,,,,INDIA,WR,1105159.0329830416
STEAM_COAL,2021,,,,INDIA,NR,481529.2383732381
STEAM_COAL,2021,,,,INDIA,SR,925723.133144348
STEAM_COAL,2021,,,,INDIA,NER,14213.031921053762
STEAM_COAL,2022,,,,INDIA,ER,889294.9348952441
STEAM_COAL,2022,,,,INDIA,WR,1164467.0032916386
STEAM_COAL,2022,,,,INDIA,NR,505190.6874406304
STEAM_COAL,2022,,,,INDIA,SR,1016307.9409004773
STEAM_COAL,2022,,,,INDIA,NER,14234.168680833727
STEAM_COAL,2023,,,,INDIA,ER,952536.5330376652
STEAM_COAL,2023,,,,INDIA,WR,1226958.3743666946
STEAM_COAL,2023,,,,INDIA,NR,390403.11909069936
STEAM_COAL,2023,,,,INDIA,SR,965244.125302699
STEAM_COAL,2023,,,,INDIA,NER,9180.784019518629
STEAM_COAL,2024,,,,INDIA,ER,993822.5201034507
STEAM_COAL,2024,,,,INDIA,WR,1292866.7969117314
STEAM_COAL,2024,,,,INDIA,NR,394412.191991103
STEAM_COAL,2024,,,,INDIA,SR,868522.5694443681
STEAM_COAL,2024,,,,INDIA,NER,7195.5641008265775
STEAM_COAL,2025,,,,INDIA,ER,1024633.1191039814
STEAM_COAL,2025,,,,INDIA,WR,1289315.0603722257
STEAM_COAL,2025,,,,INDIA,NR,339055.6510600297
STEAM_COAL,2025,,,,INDIA,SR,886349.9938280357
STEAM_COAL,2025,,,,INDIA,NER,6561.402976903391
STEAM_COAL,2026,,,,INDIA,ER,1019460.1519292755
STEAM_COAL,2026,,,,INDIA,WR,1342273.1057342452
STEAM_COAL,2026,,,,INDIA,NR,253787.2432884893
STEAM_COAL,2026,,,,INDIA,SR,859067.496660704
STEAM_COAL,2026,,,,INDIA,NER,5349.479813970476
STEAM_COAL,2027,,,,INDIA,ER,1029435.1959167665
STEAM_COAL,2027,,,,INDIA,WR,1326616.3120043622
STEAM_COAL,2027,,,,INDIA,NR,278092.672736593
STEAM_COAL,2027,,,,INDIA,SR,801390.8832444724
STEAM_COAL,2027,,,,INDIA,NER,4924.5649582376955
STEAM_COAL,2028,,,,INDIA,ER,1034221.7028357049
STEAM_COAL,2028,,,,INDIA,WR,1340674.962268656
STEAM_COAL,2028,,,,INDIA,NR,286704.2301623817
STEAM_COAL,2028,,,,INDIA,SR,777363.3176456018
STEAM_COAL,2028,,,,INDIA,NER,5271.593614026029
STEAM_COAL,2029,,,,INDIA,ER,1066437.3171385545
STEAM_COAL,2029,,,,INDIA,WR,1334302.7906210772
STEAM_COAL,2029,,,,INDIA,NR,332432.3385133513
STEAM_COAL,2029,,,,INDIA,SR,783089.1271862765
STEAM_COAL,2029,,,,INDIA,NER,6283.299620749549
STEAM_COAL,2030,,,,INDIA,ER,1098680.7652013854
STEAM_COAL,2030,,,,INDIA,WR,1330579.4769170985
STEAM_COAL,2030,,,,INDIA,NR,353102.55821036105
STEAM_COAL,2030,,,,INDIA,SR,773342.4639070844
STEAM_COAL,2030,,,,INDIA,NER,7013.7045159882255
STEAM_COAL,2031,,,,INDIA,ER,1114004.7675119203
