EnergyCarrier,EmissionType,DemandSector,EnergyService,ServiceTech,ConsumerType1,ConsumerType2,ModelGeography,SubGeography1,SubGeography2,Year,Emission
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2021,178027.49183442665
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2021,167432.84872347803
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2021,48140.79040548614
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2021,52014.62429741711
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2021,1005.785721019943
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2022,186753.41855413618
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2022,177488.25423574416
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2022,50828.27342778046
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2022,55098.81372208973
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2022,1063.7932396769183
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2023,193040.76276512988
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2023,185391.72621622216
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2023,52878.198264279315
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2023,57506.90213603135
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2023,1108.7543356849128
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2024,199396.7560335514
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2024,193522.50286511608
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2024,54971.90216739451
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2024,59976.95193691973
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2024,1154.9423828908716
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2025,205804.1414147688
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2025,201869.80444338085
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2025,57105.24300167091
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2025,62504.84558280066
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2025,1202.2945510234651
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2026,212323.33007142265
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2026,210499.81784998174
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2026,59295.74147272385
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2026,65110.23863393499
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2026,1251.2061976859345
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2027,218926.87523060496
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2027,219392.88743630398
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2027,61536.57207147608
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2027,67786.15773530159
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NER,,2027,1301.5618110167609
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,ER,,2028,225724.88469555264
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,WR,,2028,228668.68392093794
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,NR,,2028,63859.79434320667
STEAM_COAL,GHG,D_IND,IND_ALL,,ALL,,INDIA,SR,,2028,70568.58496208575
