InstYear,EnergyStorTech,ModelGeography,SubGeography1,StorLifetimeCyclesInModel
2020,PUMPED_STOR,INDIA,ER,50000.0
2020,PUMPED_STOR,INDIA,WR,50000.0
2020,PUMPED_STOR,INDIA,NER,50000.0
2020,PUMPED_STOR,INDIA,SR,50000.0
2020,PUMPED_STOR,INDIA,NR,50000.0
2021,FOURHR_BATTERY,INDIA,ER,3650.0
2021,FOURHR_BATTERY,INDIA,WR,3650.0
2021,FOURHR_BATTERY,INDIA,NR,3650.0
2021,FOURHR_BATTERY,INDIA,SR,3650.0
2021,FOURHR_BATTERY,INDIA,NER,3650.0
2022,FOURHR_BATTERY,INDIA,ER,3723.0
2022,FOURHR_BATTERY,INDIA,WR,3723.0
2022,FOURHR_BATTERY,INDIA,NR,3723.0
2022,FOURHR_BATTERY,INDIA,SR,3723.0
2022,FOURHR_BATTERY,INDIA,NER,3723.0
2023,FOURHR_BATTERY,INDIA,ER,3797.0
2023,FOURHR_BATTERY,INDIA,WR,3797.0
2023,FOURHR_BATTERY,INDIA,NR,3797.0
2023,FOURHR_BATTERY,INDIA,SR,3797.0
2023,FOURHR_BATTERY,INDIA,NER,3797.0
2024,FOURHR_BATTERY,INDIA,ER,3873.0
2024,FOURHR_BATTERY,INDIA,WR,3873.0
2024,FOURHR_BATTERY,INDIA,NR,3873.0
2024,FOURHR_BATTERY,INDIA,SR,3873.0
2024,FOURHR_BATTERY,INDIA,NER,3873.0
2025,FOURHR_BATTERY,INDIA,ER,3951.0
2025,FOURHR_BATTERY,INDIA,WR,3951.0
2025,FOURHR_BATTERY,INDIA,NR,3951.0
2025,FOURHR_BATTERY,INDIA,SR,3951.0
2025,FOURHR_BATTERY,INDIA,NER,3951.0
2026,FOURHR_BATTERY,INDIA,ER,4030.0
2026,FOURHR_BATTERY,INDIA,WR,4030.0
2026,FOURHR_BATTERY,INDIA,NR,4030.0
2026,FOURHR_BATTERY,INDIA,SR,4030.0
2026,FOURHR_BATTERY,INDIA,NER,4030.0
2027,FOURHR_BATTERY,INDIA,ER,4110.0
2027,FOURHR_BATTERY,INDIA,WR,4110.0
2027,FOURHR_BATTERY,INDIA,NR,4110.0
2027,FOURHR_BATTERY,INDIA,SR,4110.0
2027,FOURHR_BATTERY,INDIA,NER,4110.0
2028,FOURHR_BATTERY,INDIA,ER,4193.0
2028,FOURHR_BATTERY,INDIA,WR,4193.0
2028,FOURHR_BATTERY,INDIA,NR,4193.0
2028,FOURHR_BATTERY,INDIA,SR,4193.0
2028,FOURHR_BATTERY,INDIA,NER,4193.0
2029,FOURHR_BATTERY,INDIA,ER,4277.0
2029,FOURHR_BATTERY,INDIA,WR,4277.0
2029,FOURHR_BATTERY,INDIA,NR,4277.0
2029,FOURHR_BATTERY,INDIA,SR,4277.0
2029,FOURHR_BATTERY,INDIA,NER,4277.0
2030,FOURHR_BATTERY,INDIA,ER,4362.0
2030,FOURHR_BATTERY,INDIA,WR,4362.0
2030,FOURHR_BATTERY,INDIA,NR,4362.0
2030,FOURHR_BATTERY,INDIA,SR,4362.0
2030,FOURHR_BATTERY,INDIA,NER,4362.0
2031,FOURHR_BATTERY,INDIA,ER,4449.0
2031,FOURHR_BATTERY,INDIA,WR,4449.0
2031,FOURHR_BATTERY,INDIA,NR,4449.0
2031,FOURHR_BATTERY,INDIA,SR,4449.0
2031,FOURHR_BATTERY,INDIA,NER,4449.0
2021,SIXHR_BATTERY,INDIA,ER,3650.0
2021,SIXHR_BATTERY,INDIA,WR,3650.0
2021,SIXHR_BATTERY,INDIA,NR,3650.0
2021,SIXHR_BATTERY,INDIA,SR,3650.0
2021,SIXHR_BATTERY,INDIA,NER,3650.0
2022,SIXHR_BATTERY,INDIA,ER,3723.0
2022,SIXHR_BATTERY,INDIA,WR,3723.0
2022,SIXHR_BATTERY,INDIA,NR,3723.0
2022,SIXHR_BATTERY,INDIA,SR,3723.0
2022,SIXHR_BATTERY,INDIA,NER,3723.0
2023,SIXHR_BATTERY,INDIA,ER,3797.0
2023,SIXHR_BATTERY,INDIA,WR,3797.0
2023,SIXHR_BATTERY,INDIA,NR,3797.0
2023,SIXHR_BATTERY,INDIA,SR,3797.0
2023,SIXHR_BATTERY,INDIA,NER,3797.0
2024,SIXHR_BATTERY,INDIA,ER,3873.0
2024,SIXHR_BATTERY,INDIA,WR,3873.0
2024,SIXHR_BATTERY,INDIA,NR,3873.0
2024,SIXHR_BATTERY,INDIA,SR,3873.0
2024,SIXHR_BATTERY,INDIA,NER,3873.0
2025,SIXHR_BATTERY,INDIA,ER,3951.0
2025,SIXHR_BATTERY,INDIA,WR,3951.0
2025,SIXHR_BATTERY,INDIA,NR,3951.0
2025,SIXHR_BATTERY,INDIA,SR,3951.0
2025,SIXHR_BATTERY,INDIA,NER,3951.0
2026,SIXHR_BATTERY,INDIA,ER,4030.0
2026,SIXHR_BATTERY,INDIA,WR,4030.0
2026,SIXHR_BATTERY,INDIA,NR,4030.0
2026,SIXHR_BATTERY,INDIA,SR,4030.0
2026,SIXHR_BATTERY,INDIA,NER,4030.0
2027,SIXHR_BATTERY,INDIA,ER,4110.0
