EnergyCarrier,EmissionType,EnergyConvTech,InstYear,ModelGeography,SubGeography1,Year,Season,DayType,DaySlice,Emission
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SUMMER,ALLDAYS,EARLY,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SUMMER,ALLDAYS,MORN,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SUMMER,ALLDAYS,MID,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SUMMER,ALLDAYS,AFTERNOON,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SUMMER,ALLDAYS,EVENING,11234.596274544447
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,SUMMER,ALLDAYS,NIGHT,22469.192549088908
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,MONSOON,ALLDAYS,EARLY,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,MONSOON,ALLDAYS,MORN,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,MONSOON,ALLDAYS,MID,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,MONSOON,ALLDAYS,AFTERNOON,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,MONSOON,ALLDAYS,EVENING,16943.98126652605
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,MONSOON,ALLDAYS,NIGHT,33887.96253305212
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,AUTUMN,ALLDAYS,EARLY,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,AUTUMN,ALLDAYS,MORN,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,AUTUMN,ALLDAYS,MID,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,AUTUMN,ALLDAYS,AFTERNOON,8425.947205908333
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,AUTUMN,ALLDAYS,EVENING,11234.596274544447
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,AUTUMN,ALLDAYS,NIGHT,22469.192549088908
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,WINTER,ALLDAYS,EARLY,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,WINTER,ALLDAYS,MORN,12707.985949894533
STEAM_COAL,GHG,EG_COAL,2020,INDIA,ER,2021,WINTER,ALLDAYS,MID,12707.985949894533
