Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,0.3853726340072564
2021,INDIA,ER,BR,RURAL,Q2,0.3610735627743023
2021,INDIA,ER,BR,RURAL,Q3,0.3392323698239796
2021,INDIA,ER,BR,RURAL,Q4,0.3799669681622874
2021,INDIA,ER,BR,RURAL,Q5,0.4165882696541295
2021,INDIA,ER,BR,URBAN,Q1,0.0178653083210877
2021,INDIA,ER,BR,URBAN,Q2,0.0208307821061816
2021,INDIA,ER,BR,URBAN,Q3,0.0206025184848468
2021,INDIA,ER,BR,URBAN,Q4,0.0190037530988219
2021,INDIA,ER,BR,URBAN,Q5,0.0125108341732938
2021,INDIA,ER,JH,RURAL,Q1,0.0052412770991719
2021,INDIA,ER,JH,RURAL,Q2,0.0076317143693951
2021,INDIA,ER,JH,RURAL,Q3,0.007464637554479
2021,INDIA,ER,JH,RURAL,Q4,0.0099439086112862
2021,INDIA,ER,JH,RURAL,Q5,0.0107002281817213
2021,INDIA,ER,JH,URBAN,Q1,0.0036706231827798
2021,INDIA,ER,JH,URBAN,Q2,0.0038587884806127
2021,INDIA,ER,JH,URBAN,Q3,0.0044951297880394
2021,INDIA,ER,JH,URBAN,Q4,0.0040664637772303
2021,INDIA,ER,JH,URBAN,Q5,0.0028938561308439
2021,INDIA,ER,OD,RURAL,Q1,0.0056730451259196
2021,INDIA,ER,OD,RURAL,Q2,0.0071680726396612
2021,INDIA,ER,OD,RURAL,Q3,0.009260195518709
2021,INDIA,ER,OD,RURAL,Q4,0.0096301044565184
2021,INDIA,ER,OD,RURAL,Q5,0.0149851308804585
2021,INDIA,ER,OD,URBAN,Q1,0.0033994022634249
2021,INDIA,ER,OD,URBAN,Q2,0.005670559548351
2021,INDIA,ER,OD,URBAN,Q3,0.006220996490369
2021,INDIA,ER,OD,URBAN,Q4,0.0054313718586156
2021,INDIA,ER,OD,URBAN,Q5,0.0052145845479064
2021,INDIA,ER,WB,RURAL,Q1,0.0178514220772183
2021,INDIA,ER,WB,RURAL,Q2,0.0231000785023516
2021,INDIA,ER,WB,RURAL,Q3,0.0210772960327961
2021,INDIA,ER,WB,RURAL,Q4,0.0353546366018662
2021,INDIA,ER,WB,RURAL,Q5,0.0479960508926027
2021,INDIA,ER,WB,URBAN,Q1,0.0427038983739045
2021,INDIA,ER,WB,URBAN,Q2,0.0461133966974804
2021,INDIA,ER,WB,URBAN,Q3,0.0420711646825474
2021,INDIA,ER,WB,URBAN,Q4,0.0442657412981925
2021,INDIA,ER,WB,URBAN,Q5,0.0411687296379123
2021,INDIA,WR,CG,RURAL,Q1,0.0108929770897783
2021,INDIA,WR,CG,RURAL,Q2,0.0128163475675557
2021,INDIA,WR,CG,RURAL,Q3,0.0094026676111443
2021,INDIA,WR,CG,RURAL,Q4,0.0182902236491802
2021,INDIA,WR,CG,RURAL,Q5,0.0208367737532875
2021,INDIA,WR,CG,URBAN,Q1,0.0013792454370689
2021,INDIA,WR,CG,URBAN,Q2,0.0021844964256348
2021,INDIA,WR,CG,URBAN,Q3,0.0021640595557446
2021,INDIA,WR,CG,URBAN,Q4,0.0022655380427643
2021,INDIA,WR,CG,URBAN,Q5,0.0021218468932793
2021,INDIA,WR,GJ,RURAL,Q1,0.1303262922548378
2021,INDIA,WR,GJ,RURAL,Q2,0.140147651814966
2021,INDIA,WR,GJ,RURAL,Q3,0.1360162752602172
2021,INDIA,WR,GJ,RURAL,Q4,0.1273562924051587
