Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,0.38537263400725646
2021,INDIA,ER,BR,RURAL,Q2,0.36107356277430236
2021,INDIA,ER,BR,RURAL,Q3,0.33923236982397964
2021,INDIA,ER,BR,RURAL,Q4,0.3799669681622874
2021,INDIA,ER,BR,RURAL,Q5,0.4165882696541295
2021,INDIA,ER,BR,URBAN,Q1,0.01786530832108778
2021,INDIA,ER,BR,URBAN,Q2,0.020830782106181674
2021,INDIA,ER,BR,URBAN,Q3,0.02060251848484683
2021,INDIA,ER,BR,URBAN,Q4,0.019003753098821925
2021,INDIA,ER,BR,URBAN,Q5,0.012510834173293885
2021,INDIA,ER,JH,RURAL,Q1,0.005241277099171901
2021,INDIA,ER,JH,RURAL,Q2,0.007631714369395189
2021,INDIA,ER,JH,RURAL,Q3,0.007464637554479065
2021,INDIA,ER,JH,RURAL,Q4,0.009943908611286282
2021,INDIA,ER,JH,RURAL,Q5,0.01070022818172132
2021,INDIA,ER,JH,URBAN,Q1,0.0036706231827798963
2021,INDIA,ER,JH,URBAN,Q2,0.003858788480612766
2021,INDIA,ER,JH,URBAN,Q3,0.0044951297880394
2021,INDIA,ER,JH,URBAN,Q4,0.004066463777230388
2021,INDIA,ER,JH,URBAN,Q5,0.0028938561308439847
2021,INDIA,ER,OD,RURAL,Q1,0.005673045125919639
2021,INDIA,ER,OD,RURAL,Q2,0.007168072639661285
2021,INDIA,ER,OD,RURAL,Q3,0.009260195518709073
2021,INDIA,ER,OD,RURAL,Q4,0.009630104456518431
2021,INDIA,ER,OD,RURAL,Q5,0.014985130880458537
2021,INDIA,ER,OD,URBAN,Q1,0.0033994022634249595
2021,INDIA,ER,OD,URBAN,Q2,0.0056705595483510784
2021,INDIA,ER,OD,URBAN,Q3,0.006220996490369032
2021,INDIA,ER,OD,URBAN,Q4,0.0054313718586156585
