Year,ModelGeography,SubGeography1,SubGeography2,ConsumerType1,ConsumerType2,EnergyDemand
2021,INDIA,ER,BR,RURAL,Q1,11.128221706478676
2021,INDIA,ER,BR,RURAL,Q2,10.426548875126251
2021,INDIA,ER,BR,RURAL,Q3,9.795851371096772
2021,INDIA,ER,BR,RURAL,Q4,10.972125098586615
2021,INDIA,ER,BR,RURAL,Q5,12.029620854384898
2021,INDIA,ER,BR,URBAN,Q1,3.27978346292218
2021,INDIA,ER,BR,URBAN,Q2,3.8241967037112743
2021,INDIA,ER,BR,URBAN,Q3,3.782291094161225
2021,INDIA,ER,BR,URBAN,Q4,3.488783546242576
2021,INDIA,ER,BR,URBAN,Q5,2.2967879653676015
2021,INDIA,ER,JH,RURAL,Q1,0.8411859807829382
2021,INDIA,ER,JH,RURAL,Q2,1.2248341414413144
2021,INDIA,ER,JH,RURAL,Q3,1.1980200573552602
2021,INDIA,ER,JH,RURAL,Q4,1.595924381976671
2021,INDIA,ER,JH,RURAL,Q5,1.7173084561601593
2021,INDIA,ER,JH,URBAN,Q1,1.7021412082129719
2021,INDIA,ER,JH,URBAN,Q2,1.7893964649475176
2021,INDIA,ER,JH,URBAN,Q3,2.0844802650455394
2021,INDIA,ER,JH,URBAN,Q4,1.8856996280982188
2021,INDIA,ER,JH,URBAN,Q5,1.3419382328503189
2021,INDIA,ER,OD,RURAL,Q1,1.290439272305697
2021,INDIA,ER,OD,RURAL,Q2,1.6305114607311986
2021,INDIA,ER,OD,RURAL,Q3,2.106404245845271
2021,INDIA,ER,OD,RURAL,Q4,2.1905463793047697
2021,INDIA,ER,OD,RURAL,Q5,3.4086468075194793
2021,INDIA,ER,OD,URBAN,Q1,1.12124870591816
2021,INDIA,ER,OD,URBAN,Q2,1.870359584513684
2021,INDIA,ER,OD,URBAN,Q3,2.051914091854075
2021,INDIA,ER,OD,URBAN,Q4,1.7914672311102713
2021,INDIA,ER,OD,URBAN,Q5,1.7199626356780422
2021,INDIA,ER,WB,RURAL,Q1,2.1196086588849803
2021,INDIA,ER,WB,RURAL,Q2,2.7428152052239976
2021,INDIA,ER,WB,RURAL,Q3,2.502637770782393
2021,INDIA,ER,WB,RURAL,Q4,4.197873365632408
2021,INDIA,ER,WB,RURAL,Q5,5.6988660264296955
2021,INDIA,ER,WB,URBAN,Q1,7.476503033767048
2021,INDIA,ER,WB,URBAN,Q2,8.073429376648052
2021,INDIA,ER,WB,URBAN,Q3,7.365725242198368
2021,INDIA,ER,WB,URBAN,Q4,7.749946473585099
2021,INDIA,ER,WB,URBAN,Q5,7.207728815547655
2021,INDIA,WR,CG,RURAL,Q1,1.2153693427863081
2021,INDIA,WR,CG,RURAL,Q2,1.429966897468129
2021,INDIA,WR,CG,RURAL,Q3,1.0490902214879434
2021,INDIA,WR,CG,RURAL,Q4,2.040707284584473
2021,INDIA,WR,CG,RURAL,Q5,2.324835259743749
