Year,Season,DayType,DaySlice,ModelGeography,SubGeography1,SubGeography2,EnergyDemand,SeasonEnergyDemand
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,BR,9.387341432508432,572.6278273830144
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,JH,9.512886019461126,580.2860471871287
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,OD,22.77401692419648,1389.2150323759854
2021,SUMMER,ALLDAYS,EARLY,INDIA,ER,WB,18.6129212090277,1135.3881937506897
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,CG,16.24912876507242,991.1968546694177
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GJ,38.456344097541276,2345.836989950018
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MP,30.6230667937835,1868.0070744207935
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,MH,52.85463341726034,3224.1326384528807
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,GA,1.4373007690719786,87.6753469133907
2021,SUMMER,ALLDAYS,EARLY,INDIA,WR,UT,4.1370773205950035,252.36171655629522
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,DL,8.711736787492494,531.4159440370422
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HR,17.781503705733925,1084.6717260497694
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,HP,2.6000209241397725,158.60127637252612
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,JK,2.2251151058759224,135.73202145843126
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,PB,20.427148922493174,1246.0560842720836
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,RJ,29.92984139745648,1825.7203252448453
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UP,43.71643333963274,2666.7024337175967
2021,SUMMER,ALLDAYS,EARLY,INDIA,NR,UK,3.901719679760091,238.00490046536555
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,AP,26.05015447656088,1589.0594230702138
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KA,30.839228658123524,1881.192948145535
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,KL,6.372288550098743,388.7096015560233
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TN,35.79901150323134,2183.7397016971117
2021,SUMMER,ALLDAYS,EARLY,INDIA,SR,TS,28.658762851012547,1748.1845339117654
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,AS,2.240288080927994,136.65757293660764
2021,SUMMER,ALLDAYS,EARLY,INDIA,NER,NE,1.3559792587237767,82.71473478215037
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,BR,11.295944063378226,689.0525878660718
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,JH,11.330881795994538,691.1837895556667
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,OD,27.139415250682475,1655.504330291631
2021,SUMMER,ALLDAYS,MORN,INDIA,ER,WB,20.467822058280348,1248.5371455551012
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,CG,19.113155219259387,1165.9024683748225
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GJ,45.48535979618452,2774.6069475672557
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MP,34.69813944661735,2116.5865062436583
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,MH,60.195164191619384,3671.9050156887824
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,GA,1.639788805496197,100.02711713526803
2021,SUMMER,ALLDAYS,MORN,INDIA,WR,UT,5.190851993913504,316.64197162872375
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,DL,12.031757576549785,733.9372121695369
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HR,21.354239234060916,1302.608593277716
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,HP,3.281339258509604,200.16169476908584
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,JK,2.8968314346743296,176.7067175151341
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,PB,24.82499379090292,1514.324621245078
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,RJ,34.2838872745419,2091.3171237470556
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,UP,50.85744360976861,3102.304060195885
2021,SUMMER,ALLDAYS,MORN,INDIA,NR,UK,5.175237097648932,315.68946295658486
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,AP,28.853793423958606,1760.081398861475
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,KA,36.57193178818511,2230.8878390792916
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,KL,8.81540849932923,537.739918459083
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,TN,41.77503409074823,2548.277079535642
2021,SUMMER,ALLDAYS,MORN,INDIA,SR,TS,31.693684439085956,1933.3147507842434
2021,SUMMER,ALLDAYS,MORN,INDIA,NER,AS,3.300603143254182,201.3367917385051
2021,SUMMER,ALLDAYS,MORN,INDIA,NER,NE,1.800064040566221,109.80390647453947
2021,SUMMER,ALLDAYS,MID,INDIA,ER,BR,11.678870372523445,712.4110927239301
2021,SUMMER,ALLDAYS,MID,INDIA,ER,JH,11.535151204039828,703.6442234464295
2021,SUMMER,ALLDAYS,MID,INDIA,ER,OD,27.358421348057906,1668.8637022315322
2021,SUMMER,ALLDAYS,MID,INDIA,ER,WB,20.861853135398675,1272.573041259319
2021,SUMMER,ALLDAYS,MID,INDIA,WR,CG,18.770939072534205,1145.0272834245866
2021,SUMMER,ALLDAYS,MID,INDIA,WR,GJ,44.76984902194949,2730.9607903389187
2021,SUMMER,ALLDAYS,MID,INDIA,WR,MP,33.37112953937233,2035.6389019017124
2021,SUMMER,ALLDAYS,MID,INDIA,WR,MH,58.68538738844228,3579.808630694979
2021,SUMMER,ALLDAYS,MID,INDIA,WR,GA,1.6851089829579813,102.79164796043686
2021,SUMMER,ALLDAYS,MID,INDIA,WR,UT,5.380680730734692,328.2215245748162
2021,SUMMER,ALLDAYS,MID,INDIA,NR,DL,15.980205747941138,974.7925506244094
2021,SUMMER,ALLDAYS,MID,INDIA,NR,HR,21.99488450367024,1341.6879547238846
2021,SUMMER,ALLDAYS,MID,INDIA,NR,HP,3.4175471126392556,208.4703738709946
2021,SUMMER,ALLDAYS,MID,INDIA,NR,JK,3.158054512119497,192.6413252392893
2021,SUMMER,ALLDAYS,MID,INDIA,NR,PB,25.860395121498815,1577.4841024114278
2021,SUMMER,ALLDAYS,MID,INDIA,NR,RJ,32.79370588435389,2000.4160589455873
2021,SUMMER,ALLDAYS,MID,INDIA,NR,UP,52.195534363176364,3183.9275961537583
2021,SUMMER,ALLDAYS,MID,INDIA,NR,UK,5.380033348521391,328.1820342598049
2021,SUMMER,ALLDAYS,MID,INDIA,SR,AP,27.96902176671255,1706.1103277694656
2021,SUMMER,ALLDAYS,MID,INDIA,SR,KA,34.97272537700472,2133.336247997288
2021,SUMMER,ALLDAYS,MID,INDIA,SR,KL,9.367216676073758,571.4002172404993
2021,SUMMER,ALLDAYS,MID,INDIA,SR,TN,41.56652980500709,2535.5583181054326
2021,SUMMER,ALLDAYS,MID,INDIA,SR,TS,29.5834097285957,1804.5879934443378
2021,SUMMER,ALLDAYS,MID,INDIA,NER,AS,4.181660511023457,255.0812911724309
2021,SUMMER,ALLDAYS,MID,INDIA,NER,NE,2.049046769050345,124.99185291207104
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,BR,11.48511861706191,700.5922356407766
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,JH,11.38192237683743,694.2972649870833
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,OD,27.130310633452865,1654.9489486406248
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,ER,WB,20.267252900535674,1236.302426932676
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,CG,17.90347207070336,1092.111796312905
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,GJ,42.8010872285341,2610.86632094058
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,MP,30.424009873655905,1855.8646022930102
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,MH,54.74779775902875,3339.6156633007536
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,GA,1.6660956646133962,101.63183554141717
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,WR,UT,5.278259898418434,321.9738538035245
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,DL,16.813540259857536,1025.6259558513098
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,HR,20.631881459185383,1258.5447690103083
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,HP,3.324947125417468,202.82177465046553
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,JK,3.095258322375513,188.81075766490628
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,PB,24.030632559952686,1465.868586157114
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,RJ,29.317169165440635,1788.3473190918787
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,UP,49.55351221210765,3022.7642449385667
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NR,UK,5.135668586027245,313.275783747662
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,AP,25.95330470246903,1583.1515868506108
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,KA,31.40330883902245,1915.6018391803696
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,KL,9.180013635824382,559.9808317852874
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,TN,39.3529134935225,2400.5277231048726
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,SR,TS,25.99517837480189,1585.7058808629151
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,AS,3.7578269216845697,229.22744222275875
2021,SUMMER,ALLDAYS,AFTERNOON,INDIA,NER,NE,1.8797624324633173,114.66550838026235
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,BR,25.81729839794079,1574.8552022743881
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,JH,17.32652036138146,1056.917742044269
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,OD,33.051798279865096,2016.1596950717708
2021,SUMMER,ALLDAYS,EVENING,INDIA,ER,WB,34.12686863774829,2081.7389869026456
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,CG,22.975839652754573,1401.5262188180288
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,GJ,52.7406934442719,3217.182300100586
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,MP,43.54762431440465,2656.4050831786835
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,MH,76.77489197490401,4683.268410469144
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,GA,2.4128330289443167,147.18281476560333
2021,SUMMER,ALLDAYS,EVENING,INDIA,WR,UT,6.8520533569728155,417.97525477534174
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,DL,35.31662932016984,2154.3143885303602
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,HR,31.392914593063466,1914.9677901768714
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,HP,4.633595301679081,282.64931340242396
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,JK,5.155036830978133,314.45724668966614
2021,SUMMER,ALLDAYS,EVENING,INDIA,NR,PB,36.99727521903427,2256.8337883610907
